Month,Hour,Cost
1,0,256.4243397894344
1,1,256.4243397894344
1,2,256.4243397894344
1,3,256.4243397894344
1,4,256.4243397894344
1,5,256.4243397894344
1,6,256.4243397894344
1,7,256.4243397894344
1,8,256.4243397894344
1,9,256.4243397894344
1,10,256.4243397894344
1,11,256.4243397894344
1,12,256.4243397894344
1,13,256.4243397894344
1,14,256.4243397894344
1,15,256.4243397894344
1,16,256.4243397894344
1,17,256.4243397894344
1,18,256.4243397894344
1,19,256.4243397894344
1,20,256.4243397894344
1,21,256.4243397894344
1,22,256.4243397894344
1,23,256.4243397894344
2,0,258.1246183196017
2,1,258.1246183196017
2,2,258.1246183196017
2,3,258.1246183196017
2,4,258.1246183196017
2,5,258.1246183196017
2,6,258.1246183196017
2,7,258.1246183196017
2,8,258.1246183196017
2,9,258.1246183196017
2,10,258.1246183196017
2,11,258.1246183196017
2,12,258.1246183196017
2,13,258.1246183196017
2,14,258.1246183196017
2,15,258.1246183196017
2,16,258.1246183196017
2,17,258.1246183196017
2,18,258.1246183196017
2,19,258.1246183196017
2,20,258.1246183196017
2,21,258.1246183196017
2,22,258.1246183196017
2,23,258.1246183196017
3,0,255.90484011533343
3,1,255.90484011533343
3,2,255.90484011533343
3,3,255.90484011533343
3,4,255.90484011533343
3,5,255.90484011533343
3,6,255.90484011533343
3,7,255.90484011533343
3,8,255.90484011533343
3,9,255.90484011533343
3,10,255.90484011533343
3,11,255.90484011533343
3,12,255.90484011533343
3,13,255.90484011533343
3,14,255.90484011533343
3,15,255.90484011533343
3,16,255.90484011533343
3,17,255.90484011533343
3,18,255.90484011533343
3,19,255.90484011533343
3,20,255.90484011533343
3,21,255.90484011533343
3,22,255.90484011533343
3,23,255.90484011533343
4,0,256.448458017511
4,1,256.448458017511
4,2,256.448458017511
4,3,256.448458017511
4,4,256.448458017511
4,5,256.448458017511
4,6,256.448458017511
4,7,256.448458017511
4,8,256.448458017511
4,9,256.448458017511
4,10,256.448458017511
4,11,256.448458017511
4,12,256.448458017511
4,13,256.448458017511
4,14,256.448458017511
4,15,256.448458017511
4,16,256.448458017511
4,17,256.448458017511
4,18,256.448458017511
4,19,256.448458017511
4,20,256.448458017511
4,21,256.448458017511
4,22,256.448458017511
4,23,256.448458017511
5,0,256.32256841661484
5,1,256.32256841661484
5,2,256.32256841661484
5,3,256.32256841661484
5,4,256.32256841661484
5,5,256.32256841661484
5,6,256.32256841661484
5,7,256.32256841661484
5,8,256.32256841661484
5,9,256.32256841661484
5,10,256.32256841661484
5,11,256.32256841661484
5,12,256.32256841661484
5,13,256.32256841661484
5,14,256.32256841661484
5,15,256.32256841661484
5,16,256.32256841661484
5,17,256.32256841661484
5,18,256.32256841661484
5,19,256.32256841661484
5,20,256.32256841661484
5,21,256.32256841661484
5,22,256.32256841661484
5,23,256.32256841661484
6,0,256.39036802362057
6,1,256.39036802362057
6,2,256.39036802362057
6,3,256.39036802362057
6,4,256.39036802362057
6,5,256.39036802362057
6,6,256.39036802362057
6,7,256.39036802362057
6,8,256.39036802362057
6,9,256.39036802362057
6,10,256.39036802362057
6,11,256.39036802362057
6,12,256.39036802362057
6,13,256.39036802362057
6,14,256.39036802362057
6,15,256.39036802362057
6,16,256.39036802362057
6,17,256.39036802362057
6,18,256.39036802362057
6,19,256.39036802362057
6,20,256.39036802362057
6,21,256.39036802362057
6,22,256.39036802362057
6,23,256.39036802362057
7,0,255.46342031891675
7,1,255.46342031891675
7,2,255.46342031891675
7,3,255.46342031891675
7,4,255.46342031891675
7,5,255.46342031891675
7,6,255.46342031891675
7,7,255.46342031891675
7,8,255.46342031891675
7,9,255.46342031891675
7,10,255.46342031891675
7,11,255.46342031891675
7,12,255.46342031891675
7,13,255.46342031891675
7,14,255.46342031891675
7,15,255.46342031891675
7,16,255.46342031891675
7,17,255.46342031891675
7,18,255.46342031891675
7,19,255.46342031891675
7,20,255.46342031891675
7,21,255.46342031891675
7,22,255.46342031891675
7,23,255.46342031891675
8,0,255.97627808220702
8,1,255.97627808220702
8,2,255.97627808220702
8,3,255.97627808220702
8,4,255.97627808220702
8,5,255.97627808220702
8,6,255.97627808220702
8,7,255.97627808220702
8,8,255.97627808220702
8,9,255.97627808220702
8,10,255.97627808220702
8,11,255.97627808220702
8,12,255.97627808220702
8,13,255.97627808220702
8,14,255.97627808220702
8,15,255.97627808220702
8,16,255.97627808220702
8,17,255.97627808220702
8,18,255.97627808220702
8,19,255.97627808220702
8,20,255.97627808220702
8,21,255.97627808220702
