Month,Hour,Cost
1,0,144.26964657376905
1,1,144.26964657376905
1,2,144.26964657376905
1,3,144.26964657376905
1,4,144.26964657376905
1,5,144.26964657376905
1,6,144.26964657376905
1,7,144.26964657376905
1,8,144.26964657376905
1,9,144.26964657376905
1,10,144.26964657376905
1,11,144.26964657376905
1,12,144.26964657376905
1,13,144.26964657376905
1,14,144.26964657376905
1,15,144.26964657376905
1,16,144.26964657376905
1,17,144.26964657376905
1,18,144.26964657376905
1,19,144.26964657376905
1,20,144.26964657376905
1,21,144.26964657376905
1,22,144.26964657376905
1,23,144.26964657376905
2,0,147.55197441735095
2,1,147.55197441735095
2,2,147.55197441735095
2,3,147.55197441735095
2,4,147.55197441735095
2,5,147.55197441735095
2,6,147.55197441735095
2,7,147.55197441735095
2,8,147.55197441735095
2,9,147.55197441735095
2,10,147.55197441735095
2,11,147.55197441735095
2,12,147.55197441735095
2,13,147.55197441735095
2,14,147.55197441735095
2,15,147.55197441735095
2,16,147.55197441735095
2,17,147.55197441735095
2,18,147.55197441735095
2,19,147.55197441735095
2,20,147.55197441735095
2,21,147.55197441735095
2,22,147.55197441735095
2,23,147.55197441735095
3,0,144.22545081428305
3,1,144.22545081428305
3,2,144.22545081428305
3,3,144.22545081428305
3,4,144.22545081428305
3,5,144.22545081428305
3,6,144.22545081428305
3,7,144.22545081428305
3,8,144.22545081428305
3,9,144.22545081428305
3,10,144.22545081428305
3,11,144.22545081428305
3,12,144.22545081428305
3,13,144.22545081428305
3,14,144.22545081428305
3,15,144.22545081428305
3,16,144.22545081428305
3,17,144.22545081428305
3,18,144.22545081428305
3,19,144.22545081428305
3,20,144.22545081428305
3,21,144.22545081428305
3,22,144.22545081428305
3,23,144.22545081428305
4,0,146.2496749997676
4,1,146.2496749997676
4,2,146.2496749997676
4,3,146.2496749997676
4,4,146.2496749997676
4,5,146.2496749997676
4,6,146.2496749997676
4,7,146.2496749997676
4,8,146.2496749997676
4,9,146.2496749997676
4,10,146.2496749997676
4,11,146.2496749997676
4,12,146.2496749997676
4,13,146.2496749997676
4,14,146.2496749997676
4,15,146.2496749997676
4,16,146.2496749997676
4,17,146.2496749997676
4,18,146.2496749997676
4,19,146.2496749997676
4,20,146.2496749997676
4,21,146.2496749997676
4,22,146.2496749997676
4,23,146.2496749997676
5,0,143.66331027003594
5,1,143.66331027003594
5,2,143.66331027003594
5,3,143.66331027003594
5,4,143.66331027003594
5,5,143.66331027003594
