Month,Hour,Cost
1,0,23.454249999999984
1,1,23.454249999999984
1,2,23.454249999999984
1,3,23.454249999999984
1,4,23.454249999999984
1,5,23.454249999999984
1,6,23.454249999999984
1,7,3168.0792500000007
1,8,3168.0792500000007
1,9,3168.0792500000007
1,10,3168.0792500000007
1,11,3168.0792500000007
1,12,3168.0792500000007
1,13,3168.0792500000007
1,14,3168.0792500000007
1,15,3168.0792500000007
1,16,3168.0792500000007
1,17,3168.0792500000007
1,18,3168.0792500000007
1,19,3168.0792500000007
1,20,3168.0792500000007
1,21,3168.0792500000007
1,22,3168.0792500000007
1,23,3168.0792500000007
2,0,24.662749999999782
2,1,24.662749999999782
2,2,24.662749999999782
2,3,24.662749999999782
2,4,24.662749999999782
2,5,24.662749999999782
2,6,24.662749999999782
2,7,3169.2877500000013
2,8,3169.2877500000013
2,9,3169.2877500000013
2,10,3169.2877500000013
2,11,3169.2877500000013
2,12,3169.2877500000013
2,13,3169.2877500000013
2,14,3169.2877500000013
2,15,3169.2877500000013
2,16,3169.2877500000013
2,17,3169.2877500000013
2,18,3169.2877500000013
2,19,3169.2877500000013
2,20,3169.2877500000013
2,21,3169.2877500000013
2,22,3169.2877500000013
2,23,3169.2877500000013
3,0,27.484250000000326
3,1,27.484250000000326
3,2,27.484250000000326
3,3,27.484250000000326
3,4,27.484250000000326
3,5,27.484250000000326
3,6,27.484250000000326
3,7,3172.109250000001
3,8,3172.109250000001
3,9,3172.109250000001
3,10,3172.109250000001
3,11,3172.109250000001
3,12,3172.109250000001
3,13,3172.109250000001
3,14,3172.109250000001
3,15,3172.109250000001
3,16,3172.109250000001
3,17,3172.109250000001
3,18,3172.109250000001
3,19,3172.109250000001
3,20,3172.109250000001
3,21,3172.109250000001
3,22,3172.109250000001
3,23,3172.109250000001
4,0,29.25049999999949
4,1,29.25049999999949
4,2,29.25049999999949
4,3,29.25049999999949
4,4,29.25049999999949
4,5,29.25049999999949
4,6,29.25049999999949
4,7,3173.8755
4,8,3173.8755
4,9,3173.8755
4,10,3173.8755
4,11,3173.8755
4,12,3173.8755
4,13,3173.8755
4,14,3173.8755
4,15,3173.8755
4,16,3173.8755
4,17,3173.8755
4,18,3173.8755
4,19,3173.8755
4,20,3173.8755
4,21,3173.8755
4,22,3173.8755
4,23,3173.8755
5,0,28.59500000000021
5,1,28.59500000000021
5,2,28.59500000000021
5,3,28.59500000000021
5,4,28.59500000000021
5,5,28.59500000000021
5,6,28.59500000000021
5,7,3173.2200000000007
5,8,3173.2200000000007
5,9,3173.2200000000007
5,10,3173.2200000000007
5,11,3173.2200000000007
5,12,3173.2200000000007
5,13,3173.2200000000007
5,14,3173.2200000000007
5,15,3173.2200000000007
5,16,3173.2200000000007
5,17,3173.2200000000007
5,18,3173.2200000000007
5,19,3173.2200000000007
5,20,3173.2200000000007
5,21,3173.2200000000007
5,22,3173.2200000000007
5,23,3173.2200000000007
6,0,28.318999999999743
6,1,28.318999999999743
6,2,28.318999999999743
6,3,28.318999999999743
6,4,28.318999999999743
6,5,28.318999999999743
6,6,28.318999999999743
6,7,1341.2773333333332
6,8,1341.2773333333332
6,9,1341.2773333333332
6,10,5375.089833333333
6,11,5375.089833333333
6,12,5375.089833333333
6,13,5375.089833333333
6,14,5375.089833333333
6,15,5375.089833333333
6,16,5375.089833333333
6,17,5375.089833333333
6,18,5375.089833333333
6,19,5375.089833333333
6,20,5375.089833333333
6,21,5375.089833333333
6,22,1341.2773333333337
6,23,1341.2773333333337
7,0,26.94474999999978
7,1,26.94474999999978
7,2,26.94474999999978
7,3,26.94474999999978
7,4,26.94474999999978
7,5,26.94474999999978
7,6,26.94474999999978
