Month,Hour,Cost
1,0,1216.2217546370352
1,1,1216.2217546370352
1,2,1216.2217546370352
1,3,1216.2217546370352
1,4,1216.2217546370352
1,5,1216.2217546370352
1,6,1216.2217546370352
1,7,1216.2217546370352
1,8,1216.2217546370352
1,9,1216.2217546370352
1,10,1216.2217546370352
1,11,1216.2217546370352
1,12,1216.2217546370352
1,13,1216.2217546370352
1,14,1216.2217546370352
1,15,1216.2217546370352
1,16,1216.2217546370352
1,17,1216.2217546370352
1,18,1216.2217546370352
1,19,1216.2217546370352
1,20,1216.2217546370352
1,21,1216.2217546370352
1,22,1216.2217546370352
1,23,1216.2217546370352
2,0,1216.2218756464922
2,1,1216.2218756464922
2,2,1216.2218756464922
2,3,1216.2218756464922
2,4,1216.2218756464922
2,5,1216.2218756464922
2,6,1216.2218756464922
2,7,1216.2218756464922
2,8,1216.2218756464922
2,9,1216.2218756464922
2,10,1216.2218756464922
2,11,1216.2218756464922
2,12,1216.2218756464922
2,13,1216.2218756464922
2,14,1216.2218756464922
2,15,1216.2218756464922
2,16,1216.2218756464922
2,17,1216.2218756464922
2,18,1216.2218756464922
2,19,1216.2218756464922
2,20,1216.2218756464922
2,21,1216.2218756464922
2,22,1216.2218756464922
2,23,1216.2218756464922
3,0,1216.2217546370352
3,1,1216.2217546370352
3,2,1216.2217546370352
3,3,1216.2217546370352
3,4,1216.2217546370352
3,5,1216.2217546370352
3,6,1216.2217546370352
3,7,1216.2217546370352
3,8,1216.2217546370352
3,9,1216.2217546370352
3,10,1216.2217546370352
3,11,1216.2217546370352
3,12,1216.2217546370352
3,13,1216.2217546370352
3,14,1216.2217546370352
3,15,1216.2217546370352
3,16,1216.2217546370352
3,17,1216.2217546370352
3,18,1216.2217546370352
3,19,1216.2217546370352
3,20,1216.2217546370352
3,21,1216.2217546370352
3,22,1216.2217546370352
3,23,1216.2217546370352
4,0,1216.2218131249397
4,1,1216.2218131249397
4,2,1216.2218131249397
4,3,1216.2218131249397
4,4,1216.2218131249397
4,5,1216.2218131249397
4,6,1216.2218131249397
4,7,1216.2218131249397
4,8,1216.2218131249397
4,9,1216.2218131249397
4,10,1216.2218131249397
4,11,1216.2218131249397
4,12,1216.2218131249397
4,13,1216.2218131249397
4,14,1216.2218131249397
4,15,1216.2218131249397
4,16,1216.2218131249397
4,17,1216.2218131249397
4,18,1216.2218131249397
4,19,1216.2218131249397
4,20,1216.2218131249397
4,21,1216.2218131249397
4,22,1216.2218131249397
4,23,1216.2218131249397
5,0,2119.006110080723
5,1,2119.006110080723
5,2,2119.006110080723
5,3,2119.006110080723
5,4,2119.006110080723
5,5,2119.006110080723
5,6,2119.006110080723
5,7,2119.006110080723
5,8,2119.006110080723
5,9,2119.006110080723
5,10,2119.006110080723
5,11,2119.006110080723
5,12,2119.006110080723
5,13,2119.006110080723
5,14,2119.006110080723
5,15,2119.006110080723
5,16,2119.006110080723
5,17,2119.006110080723
5,18,2119.006110080723
5,19,2119.006110080723
5,20,2119.006110080723
5,21,2119.006110080723
5,22,2119.006110080723
5,23,2119.006110080723
6,0,2119.005813750068
6,1,2119.005813750068
6,2,2119.005813750068
6,3,2119.005813750068
6,4,2119.005813750068
6,5,2119.005813750068
6,6,2119.005813750068
6,7,2119.005813750068
6,8,2119.005813750068
6,9,2119.005813750068
6,10,2119.005813750068
6,11,2119.005813750068
6,12,2119.005813750068
6,13,2119.005813750068
6,14,2119.005813750068
6,15,2119.005813750068
6,16,2119.005813750068
6,17,2119.005813750068
6,18,2119.005813750068
6,19,2119.005813750068
6,20,2119.005813750068
6,21,2119.005813750068
6,22,2119.005813750068
6,23,2119.005813750068
7,0,2119.006110080723
7,1,2119.006110080723
7,2,2119.006110080723
7,3,2119.006110080723
7,4,2119.006110080723
7,5,2119.006110080723
7,6,2119.006110080723
7,7,2119.006110080723
7,8,2119.006110080723
7,9,2119.006110080723
7,10,2119.006110080723
7,11,2119.006110080723
7,12,2119.006110080723
7,13,2119.006110080723
7,14,2119.006110080723
7,15,2119.006110080723
7,16,2119.006110080723
7,17,2119.006110080723
7,18,2119.006110080723
7,19,2119.006110080723
7,20,2119.006110080723
7,21,2119.006110080723
7,22,2119.006110080723
7,23,2119.006110080723
8,0,2119.006110080723
8,1,2119.006110080723
8,2,2119.006110080723
8,3,2119.006110080723
8,4,2119.006110080723
8,5,2119.006110080723
8,6,2119.006110080723
8,7,2119.006110080723
8,8,2119.006110080723
8,9,2119.006110080723
8,10,2119.006110080723
8,11,2119.006110080723
8,12,2119.006110080723
8,13,2119.006110080723
8,14,2119.006110080723
8,15,2119.006110080723
8,16,2119.006110080723
8,17,2119.006110080723
8,18,2119.006110080723
8,19,2119.006110080723
8,20,2119.006110080723
8,21,2119.006110080723
8,22,2119.006110080723
8,23,2119.006110080723
9,0,2119.005813750068
9,1,2119.005813750068
9,2,2119.005813750068
9,3,2119.005813750068
9,4,2119.005813750068
9,5,2119.005813750068
9,6,2119.005813750068
9,7,2119.005813750068
9,8,2119.005813750068
9,9,2119.005813750068
9,10,2119.005813750068
9,11,2119.005813750068
9,12,2119.005813750068
