Month,Hour,Cost
1,0,45.706975730018094
1,1,45.706975730018094
1,2,45.706975730018094
1,3,45.706975730018094
1,4,45.706975730018094
1,5,45.706975730018094
1,6,47.02821928308483
1,7,47.02821928308483
1,8,47.02821928308483
1,9,47.02821928308483
1,10,47.02821928308483
1,11,47.02821928308483
1,12,47.02821928308483
1,13,47.02821928308483
1,14,47.02821928308483
1,15,47.02821928308483
1,16,47.02821928308483
1,17,47.02821928308483
1,18,47.02821928308483
1,19,47.02821928308483
1,20,47.02821928308483
1,21,47.02821928308483
1,22,22.627608867848007
1,23,22.627608867848007
2,0,46.711345667967926
2,1,46.711345667967926
2,2,46.711345667967926
2,3,46.711345667967926
2,4,46.711345667967926
2,5,46.711345667967926
2,6,48.00011705703752
2,7,48.00011705703752
2,8,48.00011705703752
2,9,48.00011705703752
2,10,48.00011705703752
2,11,48.00011705703752
2,12,48.00011705703752
2,13,48.00011705703752
2,14,48.00011705703752
2,15,48.00011705703752
2,16,48.00011705703752
2,17,48.00011705703752
2,18,48.00011705703752
2,19,48.00011705703752
2,20,48.00011705703752
2,21,48.00011705703752
2,22,24.186509298416837
2,23,24.186509298416837
3,0,45.706128569539864
3,1,45.706128569539864
3,2,45.706128569539864
3,3,45.706128569539864
3,4,45.706128569539864
3,5,45.706128569539864
3,6,46.91305526176624
3,7,46.91305526176624
3,8,46.91305526176624
3,9,46.91305526176624
3,10,46.91305526176624
3,11,46.91305526176624
3,12,46.91305526176624
3,13,46.91305526176624
3,14,46.91305526176624
3,15,46.91305526176624
3,16,46.91305526176624
3,17,46.91305526176624
3,18,46.91305526176624
3,19,46.91305526176624
3,20,46.91305526176624
3,21,46.91305526176624
3,22,24.631462519830755
3,23,24.631462519830755
4,0,46.19242542270533
4,1,46.19242542270533
4,2,46.19242542270533
4,3,46.19242542270533
4,4,46.19242542270533
4,5,46.19242542270533
4,6,47.49796622383255
4,7,47.49796622383255
4,8,47.49796622383255
4,9,47.49796622383255
4,10,47.49796622383255
4,11,47.49796622383255
4,12,47.49796622383255
4,13,47.49796622383255
4,14,47.49796622383255
4,15,47.49796622383255
4,16,47.49796622383255
4,17,47.49796622383255
4,18,47.49796622383255
4,19,47.49796622383255
4,20,47.49796622383255
4,21,47.49796622383255
4,22,23.381093941223835
4,23,23.381093941223835
5,0,45.706975730018094
5,1,45.706975730018094
5,2,45.706975730018094
5,3,45.706975730018094
5,4,45.706975730018094
5,5,45.706975730018094
5,6,47.02821928308483
5,7,47.02821928308483
5,8,47.02821928308483
5,9,47.02821928308483
5,10,47.02821928308483
5,11,47.02821928308483
5,12,47.02821928308483
5,13,47.02821928308483
5,14,47.02821928308483
5,15,47.02821928308483
5,16,47.02821928308483
5,17,47.02821928308483
5,18,47.02821928308483
5,19,47.02821928308483
5,20,47.02821928308483
5,21,47.02821928308483
5,22,22.627608867848007
5,23,22.627608867848007
6,0,73.95287722222228
6,1,73.95287722222228
6,2,73.95287722222228
6,3,73.95287722222228
6,4,73.95287722222228
6,5,73.95287722222228
6,6,73.95287722222228
6,7,73.95287722222228
6,8,73.95287722222228
6,9,62.74869055555558
6,10,62.74869055555558
6,11,62.74869055555558
6,12,72.47993055555565
6,13,72.47993055555565
6,14,72.47993055555565
6,15,72.47993055555565
6,16,72.47993055555565
6,17,72.47993055555565
6,18,72.47993055555565
6,19,35.579930555555556
6,20,35.579930555555556
6,21,24.79659722222222
6,22,24.79659722222222
6,23,24.79659722222222
7,0,68.49128883816243
7,1,68.49128883816243
7,2,68.49128883816243
7,3,68.49128883816243
7,4,68.49128883816243
7,5,68.49128883816243
7,6,68.49128883816243
7,7,68.49128883816243
7,8,68.49128883816243
7,9,59.4668794581071
7,10,59.4668794581071
7,11,59.4668794581071
7,12,73.41122311827968
7,13,73.41122311827968
7,14,73.41122311827968
7,15,73.41122311827968
7,16,73.41122311827968
7,17,73.41122311827968
7,18,73.41122311827968
7,19,32.345094086021504
7,20,32.345094086021504
7,21,24.015459522145882
7,22,24.069373054229263
7,23,24.069373054229263
8,0,70.56743266813868
8,1,70.56743266813868
8,2,70.56743266813868
8,3,70.56743266813868
8,4,70.56743266813868
8,5,70.56743266813868
8,6,70.56743266813868
8,7,70.56743266813868
8,8,70.56743266813868
8,9,60.45988772928528
8,10,60.45988772928528
8,11,60.45988772928528
8,12,72.6692876344087
8,13,72.6692876344087
8,14,72.6692876344087
8,15,72.6692876344087
8,16,72.6692876344087
8,17,72.6692876344087
8,18,72.6692876344087
8,19,33.38864247311828
8,20,33.38864247311828
8,21,24.018430996922095
8,22,24.071534126793782
8,23,24.071534126793782
9,0,71.8606174242425
9,1,71.8606174242425
9,2,71.8606174242425
9,3,71.8606174242425
9,4,71.8606174242425
9,5,71.8606174242425
9,6,71.8606174242425
9,7,71.8606174242425
9,8,71.8606174242425
9,9,61.5608032828283
9,10,61.5608032828283
9,11,61.5608032828283
9,12,73.24659722222233
9,13,73.24659722222233
9,14,73.24659722222233
9,15,73.24659722222233
9,16,73.24659722222233
9,17,73.24659722222233
9,18,73.24659722222233
9,19,34.50159722222222
9,20,34.50159722222222
9,21,24.79659722222222
9,22,24.79659722222222
9,23,24.79659722222222
10,0,14.576768960192174
10,1,14.576768960192174
10,2,14.576768960192174
10,3,14.576768960192174
10,4,14.576768960192174
10,5,14.576768960192174
10,6,14.555262697323267
10,7,14.555262697323267
10,8,14.555262697323267
10,9,14.555262697323267
10,10,14.555262697323267
10,11,14.555262697323267
10,12,14.555262697323267
10,13,14.555262697323267
10,14,14.555262697323267
10,15,14.555262697323267
10,16,14.555262697323267
10,17,14.555262697323267
10,18,14.555262697323267
10,19,14.555262697323267
10,20,14.555262697323267
10,21,14.555262697323267
10,22,14.576768960192174
10,23,14.576768960192174
11,0,15.061091145833334
11,1,15.061091145833334
11,2,15.061091145833334
11,3,15.061091145833334
11,4,15.061091145833334
11,5,15.061091145833334
11,6,15.041223177083333
11,7,15.041223177083333
11,8,15.041223177083333
11,9,15.041223177083333
11,10,15.041223177083333
11,11,15.041223177083333
11,12,15.041223177083333
11,13,15.041223177083333
11,14,15.041223177083333
11,15,15.041223177083333
11,16,15.041223177083333
11,17,15.041223177083333
11,18,15.041223177083333
11,19,15.041223177083333
11,20,15.041223177083333
11,21,15.041223177083333
11,22,15.061091145833334
11,23,15.061091145833334
12,0,14.575585829493086
12,1,14.575585829493086
12,2,14.575585829493086
12,3,14.575585829493086
12,4,14.575585829493086
12,5,14.575585829493086
12,6,14.55585426267281
12,7,14.55585426267281
12,8,14.55585426267281
12,9,14.55585426267281
12,10,14.55585426267281
12,11,14.55585426267281
12,12,14.55585426267281
12,13,14.55585426267281
12,14,14.55585426267281
12,15,14.55585426267281
12,16,14.55585426267281
12,17,14.55585426267281
12,18,14.55585426267281
12,19,14.55585426267281
12,20,14.55585426267281
12,21,14.55585426267281
12,22,14.575585829493086
12,23,14.575585829493086
