Month,Hour,Cost
1,0,1936.6299999999997
1,1,1936.6299999999997
1,2,1936.6299999999997
1,3,1936.6299999999997
1,4,1936.6299999999997
1,5,1936.6299999999997
1,6,1936.6299999999997
1,7,1936.6299999999997
1,8,1936.6299999999997
1,9,1936.6299999999997
1,10,1936.6299999999997
1,11,1936.6299999999997
1,12,1936.6299999999997
1,13,1936.6299999999997
1,14,1936.6299999999997
1,15,1936.6299999999997
1,16,1936.6299999999997
1,17,1936.6299999999997
1,18,1936.6299999999997
1,19,1936.6299999999997
1,20,1936.6299999999997
1,21,1936.6299999999997
1,22,1936.6299999999997
1,23,1936.6299999999997
2,0,1936.63
2,1,1936.63
2,2,1936.63
2,3,1936.63
2,4,1936.63
2,5,1936.63
2,6,1936.63
2,7,1936.63
2,8,1936.63
2,9,1936.63
2,10,1936.63
2,11,1936.63
2,12,1936.63
2,13,1936.63
2,14,1936.63
2,15,1936.63
2,16,1936.63
2,17,1936.63
2,18,1936.63
2,19,1936.63
2,20,1936.63
2,21,1936.63
2,22,1936.63
2,23,1936.63
3,0,1936.6299999999997
3,1,1936.6299999999997
3,2,1936.6299999999997
3,3,1936.6299999999997
3,4,1936.6299999999997
3,5,1936.6299999999997
3,6,1936.6299999999997
3,7,1936.6299999999997
3,8,1936.6299999999997
3,9,1936.6299999999997
3,10,1936.6299999999997
3,11,1936.6299999999997
3,12,1936.6299999999997
3,13,1936.6299999999997
3,14,1936.6299999999997
3,15,1936.6299999999997
3,16,1936.6299999999997
3,17,1936.6299999999997
3,18,1936.6299999999997
3,19,1936.6299999999997
3,20,1936.6299999999997
3,21,1936.6299999999997
3,22,1936.6299999999997
3,23,1936.6299999999997
4,0,1936.6299999999997
4,1,1936.6299999999997
4,2,1936.6299999999997
4,3,1936.6299999999997
4,4,1936.6299999999997
4,5,1936.6299999999997
4,6,1936.6299999999997
4,7,1936.6299999999997
4,8,1936.6299999999997
4,9,1936.6299999999997
4,10,1936.6299999999997
4,11,1936.6299999999997
4,12,1936.6299999999997
4,13,1936.6299999999997
4,14,1936.6299999999997
4,15,1936.6299999999997
4,16,1936.6299999999997
4,17,1936.6299999999997
4,18,1936.6299999999997
4,19,1936.6299999999997
4,20,1936.6299999999997
4,21,1936.6299999999997
4,22,1936.6299999999997
4,23,1936.6299999999997
5,0,1936.6299999999997
5,1,1936.6299999999997
5,2,1936.6299999999997
5,3,1936.6299999999997
5,4,1936.6299999999997
5,5,1936.6299999999997
5,6,1936.6299999999997
5,7,1936.6299999999997
5,8,1936.6299999999997
5,9,1936.6299999999997
5,10,1936.6299999999997
5,11,1936.6299999999997
5,12,1936.6299999999997
5,13,1936.6299999999997
5,14,1936.6299999999997
5,15,1936.6299999999997
5,16,1936.6299999999997
5,17,1936.6299999999997
5,18,1936.6299999999997
5,19,1936.6299999999997
5,20,1936.6299999999997
5,21,1936.6299999999997
5,22,1936.6299999999997
5,23,1936.6299999999997
6,0,2686.6299999999997
6,1,2686.6299999999997
6,2,2686.6299999999997
6,3,2686.6299999999997
6,4,2686.6299999999997
6,5,2686.6299999999997
6,6,2686.6299999999997
6,7,2686.6299999999997
6,8,2686.6299999999997
6,9,2686.6299999999997
6,10,2686.6299999999997
6,11,2686.6299999999997
6,12,2686.6299999999997
6,13,2686.6299999999997
6,14,2686.6299999999997
6,15,2686.6299999999997
6,16,2686.6299999999997
6,17,2686.6299999999997
