Month,Hour,Cost
1,0,5079.651000000005
1,1,5079.651000000005
1,2,5079.651000000005
1,3,5079.651000000005
1,4,5079.651000000005
1,5,5079.651000000005
1,6,5079.651000000005
1,7,5079.651000000005
1,8,5079.651000000005
1,9,5079.651000000005
1,10,5079.651000000005
1,11,5079.651000000005
1,12,5079.651000000005
1,13,5079.651000000005
1,14,5079.651000000005
1,15,5079.651000000005
1,16,5079.651000000005
1,17,5079.651000000005
1,18,5079.651000000005
1,19,5079.651000000005
1,20,5079.651000000005
1,21,5079.651000000005
1,22,5079.651000000005
1,23,5079.651000000005
2,0,5079.651000000004
2,1,5079.651000000004
2,2,5079.651000000004
2,3,5079.651000000004
2,4,5079.651000000004
2,5,5079.651000000004
2,6,5079.651000000004
2,7,5079.651000000004
2,8,5079.651000000004
2,9,5079.651000000004
2,10,5079.651000000004
2,11,5079.651000000004
2,12,5079.651000000004
2,13,5079.651000000004
2,14,5079.651000000004
2,15,5079.651000000004
2,16,5079.651000000004
2,17,5079.651000000004
2,18,5079.651000000004
2,19,5079.651000000004
2,20,5079.651000000004
2,21,5079.651000000004
2,22,5079.651000000004
2,23,5079.651000000004
3,0,5079.651000000005
3,1,5079.651000000005
3,2,5079.651000000005
3,3,5079.651000000005
3,4,5079.651000000005
3,5,5079.651000000005
3,6,5079.651000000005
3,7,5079.651000000005
3,8,5079.651000000005
3,9,5079.651000000005
3,10,5079.651000000005
3,11,5079.651000000005
3,12,5079.651000000005
3,13,5079.651000000005
3,14,5079.651000000005
3,15,5079.651000000005
3,16,5079.651000000005
3,17,5079.651000000005
3,18,5079.651000000005
3,19,5079.651000000005
3,20,5079.651000000005
3,21,5079.651000000005
3,22,5079.651000000005
3,23,5079.651000000005
4,0,5079.651000000004
4,1,5079.651000000004
4,2,5079.651000000004
4,3,5079.651000000004
4,4,5079.651000000004
4,5,5079.651000000004
4,6,5079.651000000004
4,7,5079.651000000004
4,8,5079.651000000004
4,9,5079.651000000004
4,10,5079.651000000004
4,11,5079.651000000004
4,12,5079.651000000004
4,13,5079.651000000004
4,14,5079.651000000004
4,15,5079.651000000004
4,16,5079.651000000004
4,17,5079.651000000004
4,18,5079.651000000004
4,19,5079.651000000004
4,20,5079.651000000004
4,21,5079.651000000004
4,22,5079.651000000004
4,23,5079.651000000004
5,0,5079.651000000005
5,1,5079.651000000005
5,2,5079.651000000005
5,3,5079.651000000005
5,4,5079.651000000005
5,5,5079.651000000005
5,6,5079.651000000005
5,7,5079.651000000005
5,8,5079.651000000005
5,9,5079.651000000005
5,10,5079.651000000005
5,11,5079.651000000005
5,12,5079.651000000005
5,13,5079.651000000005
5,14,5079.651000000005
5,15,5079.651000000005
5,16,5079.651000000005
5,17,5079.651000000005
5,18,5079.651000000005
5,19,5079.651000000005
5,20,5079.651000000005
5,21,5079.651000000005
5,22,5079.651000000005
5,23,5079.651000000005
6,0,5079.651000000004
6,1,5079.651000000004
6,2,5079.651000000004
6,3,5079.651000000004
6,4,5079.651000000004
6,5,5079.651000000004
6,6,5079.651000000004
6,7,5079.651000000004
6,8,5079.651000000004
6,9,5079.651000000004
6,10,5079.651000000004
6,11,5079.651000000004
6,12,5079.651000000004
6,13,5079.651000000004
6,14,5079.651000000004
6,15,5079.651000000004
6,16,5079.651000000004
6,17,5079.651000000004
6,18,5079.651000000004
6,19,5079.651000000004
6,20,5079.651000000004
6,21,5079.651000000004
6,22,5079.651000000004
6,23,5079.651000000004
7,0,5079.651000000005
7,1,5079.651000000005
7,2,5079.651000000005
