Month,Hour,Cost
1,0,6.315070601079638
1,1,6.315070601079638
1,2,6.315070601079638
1,3,6.315070601079638
1,4,6.315070601079638
1,5,6.315070601079638
1,6,13.675070984610313
1,7,13.675070984610313
1,8,13.675070984610313
1,9,13.675070984610313
1,10,17.223767375273084
1,11,17.223767375273084
1,12,17.223767375273084
1,13,17.223767375273084
1,14,17.223767375273084
1,15,17.223767375273084
1,16,17.223767375273084
1,17,17.975795603648482
1,18,17.975795603648482
1,19,17.975795603648482
1,20,17.223767375273084
1,21,17.223767375273084
1,22,17.223767375273084
1,23,17.223767375273084
2,0,6.164634238722785
2,1,6.164634238722785
2,2,6.164634238722785
2,3,6.164634238722785
2,4,6.164634238722785
2,5,6.164634238722785
2,6,14.144789987036745
2,7,14.144789987036745
2,8,14.144789987036745
2,9,14.144789987036745
2,10,17.39376527320546
2,11,17.39376527320546
2,12,17.39376527320546
2,13,17.39376527320546
2,14,17.39376527320546
2,15,17.39376527320546
2,16,17.39376527320546
2,17,18.21016185992381
2,18,18.21016185992381
2,19,18.21016185992381
2,20,17.39376527320546
2,21,17.39376527320546
2,22,17.39376527320546
2,23,17.39376527320546
3,0,5.712071882137938
3,1,5.712071882137938
3,2,5.712071882137938
3,3,5.712071882137938
3,4,5.712071882137938
3,5,5.712071882137938
3,6,15.100056597924505
3,7,15.100056597924505
3,8,15.100056597924505
3,9,15.100056597924505
3,10,17.83284607568615
3,11,17.83284607568615
3,12,17.83284607568615
3,13,17.83284607568615
3,14,17.83284607568615
3,15,17.83284607568615
3,16,17.83284607568615
3,17,18.626558064200147
3,18,18.626558064200147
3,19,18.626558064200147
3,20,17.83284607568615
3,21,17.83284607568615
3,22,17.83284607568615
3,23,17.83284607568615
4,0,5.281741202531711
4,1,5.281741202531711
4,2,5.281741202531711
4,3,5.281741202531711
4,4,5.281741202531711
4,5,5.281741202531711
4,6,5.281741202531711
4,7,5.281741202531711
4,8,5.281741202531711
4,9,5.281741202531711
4,10,5.281741202531711
4,11,5.281741202531711
4,12,5.281741202531711
4,13,5.281741202531711
4,14,5.281741202531711
4,15,5.281741202531711
4,16,7.5873656540085035
4,17,7.5873656540085035
4,18,7.5873656540085035
4,19,7.5873656540085035
4,20,5.281741202531711
4,21,5.281741202531711
4,22,5.281741202531711
4,23,5.281741202531711
5,0,5.111792806253775
5,1,5.111792806253775
5,2,5.111792806253775
5,3,5.111792806253775
5,4,5.111792806253775
5,5,5.111792806253775
5,6,5.111792806253775
5,7,5.111792806253775
5,8,5.111792806253775
5,9,5.111792806253775
5,10,5.111792806253775
5,11,5.111792806253775
5,12,5.111792806253775
5,13,5.111792806253775
5,14,5.111792806253775
5,15,5.111792806253775
5,16,7.340460162279896
5,17,7.340460162279896
5,18,7.340460162279896
5,19,7.340460162279896
5,20,5.111792806253775
5,21,5.111792806253775
5,22,5.111792806253775
5,23,5.111792806253775
6,0,5.7405333333334205
6,1,5.7405333333334205
6,2,5.7405333333334205
6,3,5.7405333333334205
6,4,5.7405333333334205
6,5,5.7405333333334205
6,6,5.7405333333334205
6,7,5.7405333333334205
6,8,5.7405333333334205
6,9,5.7405333333334205
6,10,5.7405333333334205
6,11,5.7405333333334205
6,12,5.7405333333334205
6,13,5.7405333333334205
6,14,5.7405333333334205
6,15,5.7405333333334205
6,16,8.939112500000089
6,17,8.939112500000089
6,18,8.939112500000089
6,19,8.939112500000089
6,20,5.7405333333334205
6,21,5.7405333333334205
6,22,5.7405333333334205
6,23,5.7405333333334205
7,0,5.111792806253775
7,1,5.111792806253775
7,2,5.111792806253775
7,3,5.111792806253775
7,4,5.111792806253775
7,5,5.111792806253775
7,6,5.111792806253775
7,7,5.111792806253775
7,8,5.111792806253775
7,9,5.111792806253775
7,10,5.111792806253775
7,11,5.111792806253775
7,12,5.111792806253775
7,13,5.111792806253775
7,14,5.111792806253775
7,15,5.111792806253775
