Month,Hour,Cost
1,0,88.77686559139818
1,1,88.77686559139818
1,2,88.77686559139818
1,3,88.77686559139818
1,4,88.77686559139818
1,5,88.77686559139818
1,6,88.77686559139818
1,7,88.77686559139818
1,8,88.77686559139818
1,9,88.77686559139818
1,10,88.77686559139818
1,11,88.77686559139818
1,12,88.77686559139818
1,13,88.77686559139818
1,14,88.77686559139818
1,15,88.77686559139818
1,16,88.77686559139818
1,17,88.77686559139818
1,18,88.77686559139818
1,19,88.77686559139818
1,20,88.77686559139818
1,21,88.77686559139818
1,22,88.77686559139818
1,23,88.77686559139818
2,0,88.7785804597705
2,1,88.7785804597705
2,2,88.7785804597705
2,3,88.7785804597705
2,4,88.7785804597705
2,5,88.7785804597705
2,6,88.7785804597705
2,7,88.7785804597705
2,8,88.7785804597705
2,9,88.7785804597705
2,10,88.7785804597705
2,11,88.7785804597705
2,12,88.7785804597705
2,13,88.7785804597705
2,14,88.7785804597705
2,15,88.7785804597705
2,16,88.7785804597705
2,17,88.7785804597705
2,18,88.7785804597705
2,19,88.7785804597705
2,20,88.7785804597705
2,21,88.7785804597705
2,22,88.7785804597705
2,23,88.7785804597705
3,0,88.77686559139818
3,1,88.77686559139818
3,2,88.77686559139818
3,3,88.77686559139818
3,4,88.77686559139818
3,5,88.77686559139818
3,6,88.77686559139818
3,7,88.77686559139818
3,8,88.77686559139818
3,9,88.77686559139818
3,10,88.77686559139818
3,11,88.77686559139818
3,12,88.77686559139818
3,13,88.77686559139818
3,14,88.77686559139818
3,15,88.77686559139818
3,16,88.77686559139818
3,17,88.77686559139818
3,18,88.77686559139818
3,19,88.77686559139818
3,20,88.77686559139818
3,21,88.77686559139818
3,22,88.77686559139818
3,23,88.77686559139818
4,0,88.7776944444448
4,1,88.7776944444448
4,2,88.7776944444448
4,3,88.7776944444448
4,4,88.7776944444448
4,5,88.7776944444448
4,6,88.7776944444448
4,7,88.7776944444448
4,8,88.7776944444448
4,9,88.7776944444448
4,10,88.7776944444448
4,11,88.7776944444448
