Month,Hour,Cost
1,0,60.665053763441115
1,1,60.665053763441115
1,2,60.665053763441115
1,3,60.665053763441115
1,4,60.665053763441115
1,5,60.665053763441115
1,6,60.665053763441115
1,7,60.665053763441115
1,8,60.665053763441115
1,9,60.665053763441115
1,10,60.665053763441115
1,11,60.665053763441115
1,12,60.665053763441115
1,13,60.665053763441115
1,14,60.665053763441115
1,15,60.665053763441115
1,16,60.665053763441115
1,17,60.665053763441115
1,18,60.665053763441115
1,19,60.665053763441115
1,20,60.665053763441115
1,21,60.665053763441115
1,22,60.665053763441115
1,23,60.665053763441115
2,0,61.55919540229932
2,1,61.55919540229932
2,2,61.55919540229932
2,3,61.55919540229932
2,4,61.55919540229932
2,5,61.55919540229932
2,6,61.55919540229932
2,7,61.55919540229932
2,8,61.55919540229932
2,9,61.55919540229932
2,10,61.55919540229932
2,11,61.55919540229932
2,12,61.55919540229932
2,13,61.55919540229932
2,14,61.55919540229932
2,15,61.55919540229932
2,16,61.55919540229932
2,17,61.55919540229932
2,18,61.55919540229932
2,19,61.55919540229932
2,20,61.55919540229932
2,21,61.55919540229932
2,22,61.55919540229932
2,23,61.55919540229932
3,0,60.665053763441115
3,1,60.665053763441115
3,2,60.665053763441115
3,3,60.665053763441115
3,4,60.665053763441115
3,5,60.665053763441115
3,6,60.665053763441115
3,7,60.665053763441115
3,8,60.665053763441115
3,9,60.665053763441115
3,10,60.665053763441115
3,11,60.665053763441115
3,12,60.665053763441115
3,13,60.665053763441115
3,14,60.665053763441115
3,15,60.665053763441115
3,16,60.665053763441115
3,17,60.665053763441115
3,18,60.665053763441115
3,19,60.665053763441115
3,20,60.665053763441115
3,21,60.665053763441115
3,22,60.665053763441115
3,23,60.665053763441115
4,0,61.097222222222584
4,1,61.097222222222584
4,2,61.097222222222584
4,3,61.097222222222584
4,4,61.097222222222584
4,5,61.097222222222584
4,6,61.097222222222584
4,7,61.097222222222584
4,8,61.097222222222584
4,9,61.097222222222584
4,10,61.097222222222584
4,11,61.097222222222584
4,12,61.097222222222584
4,13,61.097222222222584
4,14,61.097222222222584
4,15,61.097222222222584
4,16,61.097222222222584
4,17,61.097222222222584
4,18,61.097222222222584
4,19,61.097222222222584
4,20,61.097222222222584
4,21,61.097222222222584
4,22,61.097222222222584
4,23,61.097222222222584
5,0,60.665053763441115
5,1,60.665053763441115
5,2,60.665053763441115
5,3,60.665053763441115
5,4,60.665053763441115
5,5,60.665053763441115
5,6,60.665053763441115
5,7,60.665053763441115
5,8,60.665053763441115
5,9,60.665053763441115
5,10,60.665053763441115
5,11,60.665053763441115
5,12,60.665053763441115
5,13,60.665053763441115
5,14,60.665053763441115
5,15,60.665053763441115
5,16,60.665053763441115
5,17,60.665053763441115
5,18,60.665053763441115
5,19,60.665053763441115
5,20,60.665053763441115
5,21,60.665053763441115
5,22,60.665053763441115
5,23,60.665053763441115
6,0,61.097222222222584
6,1,61.097222222222584
6,2,61.097222222222584
6,3,61.097222222222584
6,4,61.097222222222584
6,5,61.097222222222584
6,6,61.097222222222584
6,7,61.097222222222584
6,8,61.097222222222584
6,9,61.097222222222584
6,10,61.097222222222584
6,11,61.097222222222584
6,12,61.097222222222584
6,13,61.097222222222584
6,14,61.097222222222584
6,15,61.097222222222584
6,16,61.097222222222584
6,17,61.097222222222584
6,18,61.097222222222584
6,19,61.097222222222584
6,20,61.097222222222584
6,21,61.097222222222584
6,22,61.097222222222584
6,23,61.097222222222584
7,0,60.665053763441115
7,1,60.665053763441115
7,2,60.665053763441115
7,3,60.665053763441115
7,4,60.665053763441115
7,5,60.665053763441115
7,6,60.665053763441115
7,7,60.665053763441115
7,8,60.665053763441115
7,9,60.665053763441115
7,10,60.665053763441115
7,11,60.665053763441115
7,12,60.665053763441115
7,13,60.665053763441115
7,14,60.665053763441115
7,15,60.665053763441115
7,16,60.665053763441115
7,17,60.665053763441115
7,18,60.665053763441115
7,19,60.665053763441115
7,20,60.665053763441115
7,21,60.665053763441115
7,22,60.665053763441115
7,23,60.665053763441115
8,0,60.665053763441115
8,1,60.665053763441115
8,2,60.665053763441115
8,3,60.665053763441115
8,4,60.665053763441115
8,5,60.665053763441115
8,6,60.665053763441115
8,7,60.665053763441115
8,8,60.665053763441115
8,9,60.665053763441115
8,10,60.665053763441115
8,11,60.665053763441115
8,12,60.665053763441115
8,13,60.665053763441115
8,14,60.665053763441115
8,15,60.665053763441115
8,16,60.665053763441115
8,17,60.665053763441115
8,18,60.665053763441115
8,19,60.665053763441115
8,20,60.665053763441115
8,21,60.665053763441115
8,22,60.665053763441115
8,23,60.665053763441115
9,0,61.097222222222584
9,1,61.097222222222584
9,2,61.097222222222584
9,3,61.097222222222584
9,4,61.097222222222584
9,5,61.097222222222584
9,6,61.097222222222584
9,7,61.097222222222584
9,8,61.097222222222584
9,9,61.097222222222584
9,10,61.097222222222584
9,11,61.097222222222584
9,12,61.097222222222584
9,13,61.097222222222584
9,14,61.097222222222584
9,15,61.097222222222584
9,16,61.097222222222584
9,17,61.097222222222584
9,18,61.097222222222584
9,19,61.097222222222584
9,20,61.097222222222584
9,21,61.097222222222584
9,22,61.097222222222584
9,23,61.097222222222584
10,0,60.665053763441115
10,1,60.665053763441115
10,2,60.665053763441115
10,3,60.665053763441115
10,4,60.665053763441115
10,5,60.665053763441115
10,6,60.665053763441115
10,7,60.665053763441115
10,8,60.665053763441115
10,9,60.665053763441115
10,10,60.665053763441115
10,11,60.665053763441115
10,12,60.665053763441115
10,13,60.665053763441115
10,14,60.665053763441115
10,15,60.665053763441115
10,16,60.665053763441115
10,17,60.665053763441115
10,18,60.665053763441115
10,19,60.665053763441115
10,20,60.665053763441115
10,21,60.665053763441115
10,22,60.665053763441115
10,23,60.665053763441115
11,0,61.097222222222584
11,1,61.097222222222584
11,2,61.097222222222584
11,3,61.097222222222584
11,4,61.097222222222584
11,5,61.097222222222584
11,6,61.097222222222584
11,7,61.097222222222584
11,8,61.097222222222584
11,9,61.097222222222584
11,10,61.097222222222584
11,11,61.097222222222584
11,12,61.097222222222584
11,13,61.097222222222584
11,14,61.097222222222584
11,15,61.097222222222584
11,16,61.097222222222584
11,17,61.097222222222584
11,18,61.097222222222584
11,19,61.097222222222584
11,20,61.097222222222584
11,21,61.097222222222584
11,22,61.097222222222584
11,23,61.097222222222584
12,0,60.665053763441115
12,1,60.665053763441115
12,2,60.665053763441115
12,3,60.665053763441115
12,4,60.665053763441115
12,5,60.665053763441115
12,6,60.665053763441115
12,7,60.665053763441115
12,8,60.665053763441115
12,9,60.665053763441115
12,10,60.665053763441115
12,11,60.665053763441115
12,12,60.665053763441115
12,13,60.665053763441115
12,14,60.665053763441115
12,15,60.665053763441115
12,16,60.665053763441115
12,17,60.665053763441115
12,18,60.665053763441115
12,19,60.665053763441115
12,20,60.665053763441115
12,21,60.665053763441115
12,22,60.665053763441115
12,23,60.665053763441115
