Month,Hour,Cost
1,0,1993.1667674731182
1,1,1993.1667674731182
1,2,1993.1667674731182
1,3,1993.1667674731182
1,4,1993.1667674731182
1,5,1993.1667674731182
1,6,1994.5393481182793
1,7,1994.5393481182793
1,8,1994.5393481182793
1,9,1994.5393481182793
1,10,1994.5393481182793
1,11,1994.5393481182793
1,12,1994.5393481182793
1,13,1994.5393481182793
1,14,1994.5393481182793
1,15,1994.5393481182793
1,16,1994.5393481182793
1,17,1994.5393481182793
1,18,1994.5393481182793
1,19,1994.5393481182793
1,20,1994.5393481182793
1,21,1994.5393481182793
1,22,1993.1667674731182
1,23,1993.1667674731182
2,0,1993.1575790229883
2,1,1993.1575790229883
2,2,1993.1575790229883
2,3,1993.1575790229883
2,4,1993.1575790229883
2,5,1993.1575790229883
2,6,1994.4972341954024
2,7,1994.4972341954024
2,8,1994.4972341954024
2,9,1994.4972341954024
2,10,1994.4972341954024
2,11,1994.4972341954024
2,12,1994.4972341954024
2,13,1994.4972341954024
2,14,1994.4972341954024
2,15,1994.4972341954024
2,16,1994.4972341954024
2,17,1994.4972341954024
2,18,1994.4972341954024
2,19,1994.4972341954024
2,20,1994.4972341954024
2,21,1994.4972341954024
2,22,1993.1575790229883
2,23,1993.1575790229883
3,0,1993.1667674731182
3,1,1993.1667674731182
3,2,1993.1667674731182
3,3,1993.1667674731182
3,4,1993.1667674731182
3,5,1993.1667674731182
3,6,1994.4199932795696
3,7,1994.4199932795696
3,8,1994.4199932795696
3,9,1994.4199932795696
3,10,1994.4199932795696
3,11,1994.4199932795696
3,12,1994.4199932795696
3,13,1994.4199932795696
3,14,1994.4199932795696
3,15,1994.4199932795696
3,16,1994.4199932795696
3,17,1994.4199932795696
3,18,1994.4199932795696
3,19,1994.4199932795696
3,20,1994.4199932795696
3,21,1994.4199932795696
3,22,1993.1667674731182
3,23,1993.1667674731182
4,0,1991.8873263888888
4,1,1991.8873263888888
4,2,1991.8873263888888
4,3,1991.8873263888888
4,4,1991.8873263888888
4,5,1991.8873263888888
4,6,1992.4739930555559
4,7,1992.4739930555559
4,8,1992.4739930555559
4,9,1992.4739930555559
4,10,1992.4739930555559
4,11,1992.4739930555559
4,12,1992.4739930555559
4,13,1992.4739930555559
4,14,1992.4739930555559
4,15,1992.4739930555559
4,16,1992.4739930555559
4,17,1992.4739930555559
4,18,1992.4739930555559
4,19,1992.4739930555559
4,20,1992.4739930555559
4,21,1992.4739930555559
4,22,1991.8873263888888
4,23,1991.8873263888888
5,0,1991.891767473118
5,1,1991.891767473118
5,2,1991.891767473118
5,3,1991.891767473118
5,4,1991.891767473118
5,5,1991.891767473118
5,6,1992.485315860215
5,7,1992.485315860215
5,8,1992.485315860215
5,9,1992.485315860215
5,10,1992.485315860215
5,11,1992.485315860215
5,12,1992.485315860215
5,13,1992.485315860215
5,14,1992.485315860215
5,15,1992.485315860215
5,16,1992.485315860215
5,17,1992.485315860215
5,18,1992.485315860215
5,19,1992.485315860215
5,20,1992.485315860215
5,21,1992.485315860215
5,22,1991.891767473118
5,23,1991.891767473118
6,0,1991.8873263888888
6,1,1991.8873263888888
6,2,1991.8873263888888
6,3,1991.8873263888888
6,4,1991.8873263888888
6,5,1991.8873263888888
6,6,1992.4206597222224
6,7,1992.4206597222224
6,8,1992.4206597222224
6,9,1992.4206597222224
6,10,1992.4206597222224
6,11,1992.4206597222224
6,12,1992.4206597222224
6,13,1992.4206597222224
6,14,1992.4206597222224
6,15,1992.4206597222224
6,16,1992.4206597222224
6,17,1992.4206597222224
6,18,1992.4206597222224
6,19,1992.4206597222224
6,20,1992.4206597222224
6,21,1992.4206597222224
6,22,1991.8873263888888
6,23,1991.8873263888888
7,0,1991.891767473118
7,1,1991.891767473118
7,2,1991.891767473118
7,3,1991.891767473118
7,4,1991.891767473118
7,5,1991.891767473118
7,6,1992.485315860215
7,7,1992.485315860215
7,8,1992.485315860215
7,9,1992.485315860215
7,10,1992.485315860215
7,11,1992.485315860215
7,12,1992.485315860215
7,13,1992.485315860215
7,14,1992.485315860215
7,15,1992.485315860215
7,16,1992.485315860215
7,17,1992.485315860215
7,18,1992.485315860215
7,19,1992.485315860215
7,20,1992.485315860215
7,21,1992.485315860215
7,22,1991.891767473118
7,23,1991.891767473118
8,0,1991.891767473118
8,1,1991.891767473118
8,2,1991.891767473118
8,3,1991.891767473118
8,4,1991.891767473118
8,5,1991.891767473118
8,6,1992.4595094086023
8,7,1992.4595094086023
8,8,1992.4595094086023
8,9,1992.4595094086023
8,10,1992.4595094086023
8,11,1992.4595094086023
8,12,1992.4595094086023
8,13,1992.4595094086023
8,14,1992.4595094086023
8,15,1992.4595094086023
8,16,1992.4595094086023
8,17,1992.4595094086023
8,18,1992.4595094086023
8,19,1992.4595094086023
8,20,1992.4595094086023
8,21,1992.4595094086023
8,22,1991.891767473118
8,23,1991.891767473118
9,0,1993.1623263888885
9,1,1993.1623263888885
9,2,1993.1623263888885
9,3,1993.1623263888885
9,4,1993.1623263888885
9,5,1993.1623263888885
9,6,1994.4573263888888
9,7,1994.4573263888888
9,8,1994.4573263888888
9,9,1994.4573263888888
9,10,1994.4573263888888
9,11,1994.4573263888888
9,12,1994.4573263888888
9,13,1994.4573263888888
9,14,1994.4573263888888
9,15,1994.4573263888888
9,16,1994.4573263888888
9,17,1994.4573263888888
9,18,1994.4573263888888
9,19,1994.4573263888888
9,20,1994.4573263888888
9,21,1994.4573263888888
9,22,1993.1623263888885
9,23,1993.1623263888885
10,0,1993.1667674731182
10,1,1993.1667674731182
10,2,1993.1667674731182
10,3,1993.1667674731182
10,4,1993.1667674731182
10,5,1993.1667674731182
10,6,1994.5393481182793
10,7,1994.5393481182793
10,8,1994.5393481182793
10,9,1994.5393481182793
10,10,1994.5393481182793
10,11,1994.5393481182793
10,12,1994.5393481182793
10,13,1994.5393481182793
10,14,1994.5393481182793
10,15,1994.5393481182793
10,16,1994.5393481182793
10,17,1994.5393481182793
10,18,1994.5393481182793
10,19,1994.5393481182793
10,20,1994.5393481182793
10,21,1994.5393481182793
10,22,1993.1667674731182
10,23,1993.1667674731182
11,0,1993.1623263888885
11,1,1993.1623263888885
11,2,1993.1623263888885
11,3,1993.1623263888885
11,4,1993.1623263888885
11,5,1993.1623263888885
11,6,1994.4573263888888
11,7,1994.4573263888888
11,8,1994.4573263888888
11,9,1994.4573263888888
11,10,1994.4573263888888
11,11,1994.4573263888888
11,12,1994.4573263888888
11,13,1994.4573263888888
11,14,1994.4573263888888
11,15,1994.4573263888888
11,16,1994.4573263888888
11,17,1994.4573263888888
11,18,1994.4573263888888
11,19,1994.4573263888888
11,20,1994.4573263888888
11,21,1994.4573263888888
11,22,1993.1623263888885
11,23,1993.1623263888885
12,0,1993.1667674731182
12,1,1993.1667674731182
12,2,1993.1667674731182
12,3,1993.1667674731182
12,4,1993.1667674731182
12,5,1993.1667674731182
12,6,1994.4796706989243
12,7,1994.4796706989243
12,8,1994.4796706989243
12,9,1994.4796706989243
12,10,1994.4796706989243
12,11,1994.4796706989243
12,12,1994.4796706989243
12,13,1994.4796706989243
12,14,1994.4796706989243
12,15,1994.4796706989243
12,16,1994.4796706989243
12,17,1994.4796706989243
12,18,1994.4796706989243
12,19,1994.4796706989243
12,20,1994.4796706989243
12,21,1994.4796706989243
12,22,1993.1667674731182
12,23,1993.1667674731182
