Month,Hour,Cost
1,0,5.598353494623657
1,1,5.598353494623657
1,2,5.598353494623657
1,3,5.598353494623657
1,4,5.598353494623657
1,5,5.598353494623657
1,6,5.598353494623657
1,7,5.598353494623657
1,8,5.598353494623657
1,9,5.598353494623657
1,10,5.598353494623657
1,11,5.598353494623657
1,12,5.598353494623657
1,13,5.598353494623657
1,14,5.598353494623657
1,15,5.598353494623657
1,16,5.598353494623657
1,17,5.598353494623657
1,18,5.598353494623657
1,19,5.598353494623657
1,20,5.598353494623657
1,21,5.598353494623657
1,22,5.598353494623657
1,23,5.598353494623657
2,0,5.743067528735634
2,1,5.743067528735634
2,2,5.743067528735634
2,3,5.743067528735634
2,4,5.743067528735634
2,5,5.743067528735634
2,6,5.743067528735634
2,7,5.743067528735634
2,8,5.743067528735634
2,9,5.743067528735634
2,10,5.743067528735634
2,11,5.743067528735634
2,12,5.743067528735634
2,13,5.743067528735634
2,14,5.743067528735634
2,15,5.743067528735634
2,16,5.743067528735634
2,17,5.743067528735634
2,18,5.743067528735634
2,19,5.743067528735634
2,20,5.743067528735634
2,21,5.743067528735634
2,22,5.743067528735634
2,23,5.743067528735634
3,0,5.598353494623657
3,1,5.598353494623657
3,2,5.598353494623657
3,3,5.598353494623657
3,4,5.598353494623657
3,5,5.598353494623657
3,6,5.598353494623657
3,7,5.598353494623657
3,8,5.598353494623657
3,9,5.598353494623657
3,10,5.598353494623657
3,11,5.598353494623657
3,12,5.598353494623657
3,13,5.598353494623657
3,14,5.598353494623657
3,15,5.598353494623657
3,16,5.598353494623657
3,17,5.598353494623657
3,18,5.598353494623657
3,19,5.598353494623657
3,20,5.598353494623657
3,21,5.598353494623657
3,22,5.598353494623657
3,23,5.598353494623657
4,0,5.668298611111113
4,1,5.668298611111113
4,2,5.668298611111113
4,3,5.668298611111113
4,4,5.668298611111113
4,5,5.668298611111113
4,6,5.668298611111113
4,7,5.668298611111113
4,8,5.668298611111113
4,9,5.668298611111113
4,10,5.668298611111113
4,11,5.668298611111113
4,12,5.668298611111113
4,13,5.668298611111113
4,14,5.668298611111113
4,15,5.668298611111113
4,16,5.668298611111113
4,17,5.668298611111113
4,18,5.668298611111113
4,19,5.668298611111113
4,20,5.668298611111113
4,21,5.668298611111113
4,22,5.668298611111113
4,23,5.668298611111113
5,0,5.598353494623657
5,1,5.598353494623657
5,2,5.598353494623657
5,3,5.598353494623657
5,4,5.598353494623657
5,5,5.598353494623657
5,6,5.598353494623657
5,7,5.598353494623657
5,8,5.598353494623657
5,9,5.598353494623657
5,10,5.598353494623657
5,11,5.598353494623657
5,12,5.598353494623657
5,13,5.598353494623657
5,14,5.598353494623657
5,15,5.598353494623657
5,16,5.598353494623657
5,17,5.598353494623657
5,18,5.598353494623657
5,19,5.598353494623657
5,20,5.598353494623657
5,21,5.598353494623657
5,22,5.598353494623657
5,23,5.598353494623657
6,0,9.455944444444274
6,1,9.455944444444274
6,2,9.455944444444274
6,3,9.455944444444274
6,4,9.455944444444274
6,5,9.455944444444274
6,6,9.455944444444274
6,7,9.455944444444274
6,8,9.455944444444274
6,9,9.455944444444274
6,10,9.455944444444274
6,11,9.455944444444274
6,12,9.455944444444274
6,13,9.455944444444274
6,14,9.455944444444274
6,15,9.455944444444274
6,16,9.455944444444274
6,17,9.455944444444274
6,18,9.455944444444274
6,19,9.455944444444274
6,20,9.455944444444274
6,21,9.455944444444274
6,22,9.455944444444274
6,23,9.455944444444274
7,0,9.284784946236382
7,1,9.284784946236382
7,2,9.284784946236382
7,3,9.284784946236382
7,4,9.284784946236382
7,5,9.284784946236382
7,6,9.284784946236382
7,7,9.284784946236382
7,8,9.284784946236382
7,9,9.284784946236382
7,10,9.284784946236382
7,11,9.284784946236382
7,12,9.284784946236382
7,13,9.284784946236382
7,14,9.284784946236382
7,15,9.284784946236382
7,16,9.284784946236382
7,17,9.284784946236382
7,18,9.284784946236382
7,19,9.284784946236382
7,20,9.284784946236382
7,21,9.284784946236382
7,22,9.284784946236382
7,23,9.284784946236382
8,0,9.284784946236382
8,1,9.284784946236382
8,2,9.284784946236382
8,3,9.284784946236382
8,4,9.284784946236382
8,5,9.284784946236382
8,6,9.284784946236382
8,7,9.284784946236382
8,8,9.284784946236382
8,9,9.284784946236382
8,10,9.284784946236382
8,11,9.284784946236382
8,12,9.284784946236382
8,13,9.284784946236382
8,14,9.284784946236382
8,15,9.284784946236382
8,16,9.284784946236382
8,17,9.284784946236382
8,18,9.284784946236382
8,19,9.284784946236382
8,20,9.284784946236382
8,21,9.284784946236382
8,22,9.284784946236382
8,23,9.284784946236382
9,0,9.455944444444274
9,1,9.455944444444274
9,2,9.455944444444274
9,3,9.455944444444274
9,4,9.455944444444274
9,5,9.455944444444274
9,6,9.455944444444274
9,7,9.455944444444274
9,8,9.455944444444274
9,9,9.455944444444274
9,10,9.455944444444274
9,11,9.455944444444274
9,12,9.455944444444274
9,13,9.455944444444274
9,14,9.455944444444274
9,15,9.455944444444274
9,16,9.455944444444274
9,17,9.455944444444274
9,18,9.455944444444274
9,19,9.455944444444274
9,20,9.455944444444274
9,21,9.455944444444274
9,22,9.455944444444274
9,23,9.455944444444274
10,0,9.284784946236382
10,1,9.284784946236382
10,2,9.284784946236382
10,3,9.284784946236382
10,4,9.284784946236382
10,5,9.284784946236382
10,6,9.284784946236382
10,7,9.284784946236382
10,8,9.284784946236382
10,9,9.284784946236382
10,10,9.284784946236382
10,11,9.284784946236382
10,12,9.284784946236382
10,13,9.284784946236382
10,14,9.284784946236382
10,15,9.284784946236382
10,16,9.284784946236382
10,17,9.284784946236382
10,18,9.284784946236382
10,19,9.284784946236382
10,20,9.284784946236382
10,21,9.284784946236382
10,22,9.284784946236382
10,23,9.284784946236382
11,0,4.566409722222222
11,1,4.566409722222222
11,2,4.566409722222222
11,3,4.566409722222222
11,4,4.566409722222222
11,5,4.566409722222222
11,6,4.566409722222222
11,7,4.566409722222222
11,8,4.566409722222222
11,9,4.566409722222222
11,10,4.566409722222222
11,11,4.566409722222222
11,12,4.566409722222222
11,13,4.566409722222222
11,14,4.566409722222222
11,15,4.566409722222222
11,16,4.566409722222222
11,17,4.566409722222222
11,18,4.566409722222222
11,19,4.566409722222222
11,20,4.566409722222222
11,21,4.566409722222222
11,22,4.566409722222222
11,23,4.566409722222222
12,0,4.4191061827957
12,1,4.4191061827957
12,2,4.4191061827957
12,3,4.4191061827957
12,4,4.4191061827957
12,5,4.4191061827957
12,6,4.4191061827957
12,7,4.4191061827957
12,8,4.4191061827957
12,9,4.4191061827957
12,10,4.4191061827957
12,11,4.4191061827957
12,12,4.4191061827957
12,13,4.4191061827957
12,14,4.4191061827957
12,15,4.4191061827957
12,16,4.4191061827957
12,17,4.4191061827957
12,18,4.4191061827957
12,19,4.4191061827957
12,20,4.4191061827957
12,21,4.4191061827957
12,22,4.4191061827957
12,23,4.4191061827957
