Month,Hour,Cost
1,0,464.178018184067
1,1,464.178018184067
1,2,464.178018184067
1,3,464.178018184067
1,4,464.178018184067
1,5,464.178018184067
1,6,740.4896175958883
1,7,1457.4623111442754
1,8,1457.4623111442754
1,9,1457.4623111442754
1,10,1457.4623111442754
1,11,1457.4623111442754
1,12,132.10252082169467
1,13,132.10252082169467
1,14,132.10252082169467
1,15,132.10252082169467
1,16,132.10252082169467
1,17,135.14779501524293
1,18,231.25617741935466
1,19,231.25617741935466
1,20,231.25617741935466
1,21,228.21090322580642
1,22,12.784401162790411
1,23,12.784401162790411
2,0,464.1772771002707
2,1,464.1772771002707
2,2,464.1772771002707
2,3,464.1772771002707
2,4,464.1772771002707
2,5,464.1772771002707
2,6,733.8612488552471
2,7,1433.6351971311092
2,8,1433.6351971311092
2,9,1433.6351971311092
2,10,1433.6351971311092
2,11,1433.6351971311092
2,12,140.0681454069712
2,13,140.0681454069712
2,14,140.0681454069712
2,15,140.0681454069712
2,16,140.0681454069712
2,17,143.04036954490212
2,18,245.77712068965502
2,19,245.77712068965502
2,20,245.77712068965502
2,21,242.80489655172408
2,22,12.855054878048517
2,23,12.855054878048517
3,0,464.2095480605282
3,1,464.2095480605282
3,2,464.2095480605282
3,3,464.2095480605282
3,4,464.2095480605282
3,5,464.2095480605282
3,6,716.472692922751
3,7,1371.099934858235
3,8,1371.099934858235
3,9,1371.099934858235
3,10,1371.099934858235
3,11,1371.099934858235
3,12,160.9888219550091
3,13,160.9888219550091
3,14,160.9888219550091
3,15,160.9888219550091
3,16,160.9888219550091
3,17,163.76928969694447
3,18,283.89459677419336
3,19,283.89459677419336
3,20,283.89459677419336
3,21,281.114129032258
3,22,12.689940217390996
3,23,12.689940217390996
4,0,464.1775825569356
4,1,464.1775825569356
4,2,464.1775825569356
4,3,464.1775825569356
4,4,464.1775825569356
4,5,464.1775825569356
4,6,737.2858886818495
4,7,1445.9458553485163
4,8,1445.9458553485163
4,9,1445.9458553485163
4,10,1445.9458553485163
4,11,1445.9458553485163
4,12,135.9525553485161
4,13,135.9525553485161
4,14,135.9525553485161
4,15,135.9525553485161
4,16,135.9525553485161
4,17,138.96252201518266
4,18,238.27463333333316
4,19,238.27463333333316
4,20,238.27463333333316
4,21,235.2646666666666
4,22,12.81888690476163
4,23,12.81888690476163
5,0,464.178018184067
5,1,464.178018184067
5,2,464.178018184067
5,3,464.178018184067
5,4,464.178018184067
5,5,464.178018184067
5,6,740.4896175958883
5,7,1457.4623111442754
5,8,1457.4623111442754
5,9,1457.4623111442754
5,10,1457.4623111442754
5,11,1457.4623111442754
5,12,132.10252082169467
5,13,132.10252082169467
5,14,132.10252082169467
5,15,132.10252082169467
5,16,132.10252082169467
5,17,135.14779501524293
5,18,231.25617741935466
5,19,231.25617741935466
5,20,231.25617741935466
5,21,228.21090322580642
5,22,12.784401162790411
5,23,12.784401162790411
6,0,11.271227272727067
6,1,11.271227272727067
6,2,11.271227272727067
6,3,11.271227272727067
6,4,11.271227272727067
6,5,11.271227272727067
6,6,11.271227272727067
6,7,11.271227272727067
6,8,11.271227272727067
6,9,948.744
6,10,948.744
6,11,948.744
6,12,948.744
6,13,1786.3921666666668
6,14,1786.3921666666668
6,15,1786.3921666666668
6,16,1786.3921666666668
6,17,1786.3921666666668
6,18,1786.3921666666668
6,19,327.9106666666667
6,20,327.9106666666667
6,21,327.9106666666667
6,22,11.271227272727067
6,23,11.271227272727067
7,0,11.226945747800364
7,1,11.226945747800364
7,2,11.226945747800364
7,3,11.226945747800364
7,4,11.226945747800364
7,5,11.226945747800364
7,6,11.226945747800364
7,7,11.226945747800364
7,8,11.226945747800364
7,9,948.744
7,10,948.744
7,11,948.744
7,12,948.744
7,13,1880.9653467741937
7,14,1880.9653467741937
7,15,1880.9653467741937
7,16,1880.9653467741937
7,17,1880.9653467741937
7,18,1880.9653467741937
7,19,257.8165806451613
7,20,257.8165806451613
7,21,257.8165806451613
7,22,11.226945747800364
7,23,11.226945747800364
8,0,11.226945747800364
8,1,11.226945747800364
8,2,11.226945747800364
8,3,11.226945747800364
8,4,11.226945747800364
8,5,11.226945747800364
8,6,11.226945747800364
8,7,11.226945747800364
8,8,11.226945747800364
8,9,948.744
8,10,948.744
8,11,948.744
8,12,948.744
8,13,1840.4339838709677
8,14,1840.4339838709677
8,15,1840.4339838709677
8,16,1840.4339838709677
8,17,1840.4339838709677
8,18,1840.4339838709677
8,19,287.85690322580643
8,20,287.85690322580643
8,21,287.85690322580643
8,22,11.226945747800364
8,23,11.226945747800364
9,0,11.271227272727067
9,1,11.271227272727067
9,2,11.271227272727067
9,3,11.271227272727067
9,4,11.271227272727067
9,5,11.271227272727067
9,6,11.271227272727067
9,7,11.271227272727067
9,8,11.271227272727067
9,9,948.744
9,10,948.744
9,11,948.744
9,12,948.744
9,13,1828.274575
9,14,1828.274575
9,15,1828.274575
9,16,1828.274575
9,17,1828.274575
9,18,1828.274575
9,19,296.869
9,20,296.869
9,21,296.869
9,22,11.271227272727067
9,23,11.271227272727067
10,0,12.652860465115996
10,1,12.652860465115996
10,2,12.652860465115996
10,3,12.652860465115996
10,4,12.652860465115996
10,5,12.652860465115996
10,6,15.579899474868615
10,7,18.62517366841686
10,8,18.62517366841686
10,9,18.62517366841686
10,10,18.62517366841686
10,11,18.62517366841686
10,12,15.579899474868615
10,13,15.579899474868615
10,14,15.579899474868615
10,15,15.579899474868615
10,16,15.579899474868615
10,17,18.62517366841686
10,18,19.643274193548205
10,19,19.643274193548205
10,20,19.643274193548205
10,21,16.59799999999996
10,22,12.652860465115996
10,23,12.652860465115996
11,0,12.637724137930746
11,1,12.637724137930746
11,2,12.637724137930746
11,3,12.637724137930746
11,4,12.637724137930746
11,5,12.637724137930746
11,6,15.409917241379196
11,7,18.283067241379083
11,8,18.283067241379083
11,9,18.283067241379083
11,10,18.283067241379083
11,11,18.283067241379083
11,12,15.409917241379196
11,13,15.409917241379196
11,14,15.409917241379196
11,15,15.409917241379196
11,16,15.409917241379196
11,17,18.283067241379083
11,18,19.47114999999985
11,19,19.47114999999985
11,20,19.47114999999985
11,21,16.59799999999996
11,22,12.637724137930746
11,23,12.637724137930746
12,0,12.608471910112064
12,1,12.608471910112064
12,2,12.608471910112064
12,3,12.608471910112064
12,4,12.608471910112064
12,5,12.608471910112064
12,6,15.439749909387345
12,7,18.352620877129155
12,8,18.352620877129155
