Month,Hour,Cost
1,0,1088.1975
1,1,1088.1975
1,2,1088.1975
1,3,1088.1975
1,4,1088.1975
1,5,1088.1975
1,6,1088.1975
1,7,1088.1975
1,8,4172.823951612902
1,9,4172.823951612902
1,10,4172.823951612902
1,11,4172.823951612902
1,12,4172.823951612902
1,13,4172.823951612902
1,14,4172.823951612902
1,15,4172.823951612902
1,16,4172.823951612902
1,17,4172.823951612902
1,18,4172.823951612902
1,19,4172.823951612902
1,20,1088.1975
1,21,1088.1975
1,22,1088.1975
1,23,1088.1975
2,0,1088.1975
2,1,1088.1975
2,2,1088.1975
2,3,1088.1975
2,4,1088.1975
2,5,1088.1975
2,6,1088.1975
2,7,1088.1975
2,8,4098.8299137931035
2,9,4098.8299137931035
2,10,4098.8299137931035
2,11,4098.8299137931035
2,12,4098.8299137931035
2,13,4098.8299137931035
2,14,4098.8299137931035
2,15,4098.8299137931035
2,16,4098.8299137931035
2,17,4098.8299137931035
2,18,4098.8299137931035
2,19,4098.8299137931035
2,20,1088.1975
2,21,1088.1975
2,22,1088.1975
2,23,1088.1975
3,0,1088.1975
3,1,1088.1975
3,2,1088.1975
3,3,1088.1975
3,4,1088.1975
3,5,1088.1975
3,6,1088.1975
3,7,1088.1975
3,8,3904.5955645161293
3,9,3904.5955645161293
3,10,3904.5955645161293
3,11,3904.5955645161293
3,12,3904.5955645161293
3,13,3904.5955645161293
3,14,3904.5955645161293
3,15,3904.5955645161293
3,16,3904.5955645161293
3,17,3904.5955645161293
3,18,3904.5955645161293
3,19,3904.5955645161293
3,20,1088.1975
3,21,1088.1975
3,22,1088.1975
3,23,1088.1975
4,0,1088.1975
4,1,1088.1975
4,2,1088.1975
4,3,1088.1975
4,4,1088.1975
4,5,1088.1975
4,6,1088.1975
4,7,1088.1975
4,8,4137.060166666666
4,9,4137.060166666666
4,10,4137.060166666666
4,11,4137.060166666666
4,12,4137.060166666666
4,13,4137.060166666666
4,14,4137.060166666666
4,15,4137.060166666666
4,16,4137.060166666666
4,17,4137.060166666666
4,18,4137.060166666666
4,19,4137.060166666666
4,20,1088.1975
4,21,1088.1975
4,22,1088.1975
4,23,1088.1975
5,0,1088.1975
5,1,1088.1975
5,2,1088.1975
5,3,1088.1975
5,4,1088.1975
5,5,1088.1975
5,6,1088.1975
5,7,1088.1975
5,8,4172.823951612902
5,9,4172.823951612902
5,10,4172.823951612902
5,11,4172.823951612902
5,12,4172.823951612902
5,13,4172.823951612902
5,14,4172.823951612902
5,15,4172.823951612902
5,16,4172.823951612902
5,17,4172.823951612902
5,18,4172.823951612902
5,19,4172.823951612902
5,20,1088.1975
5,21,1088.1975
5,22,1088.1975
5,23,1088.1975
6,0,1088.1975
6,1,1088.1975
6,2,1088.1975
6,3,1088.1975
6,4,1088.1975
6,5,1088.1975
6,6,1088.1975
6,7,1088.1975
6,8,3859.8908333333334
6,9,3859.8908333333334
6,10,3859.8908333333334
6,11,3859.8908333333334
6,12,3859.8908333333334
6,13,3859.8908333333334
6,14,3859.8908333333334
6,15,3859.8908333333334
6,16,3859.8908333333334
6,17,3859.8908333333334
6,18,3859.8908333333334
6,19,3859.8908333333334
6,20,1088.1975
6,21,1088.1975
6,22,1088.1975
6,23,1088.1975
7,0,1088.1975
7,1,1088.1975
7,2,1088.1975
7,3,1088.1975
7,4,1088.1975
7,5,1088.1975
7,6,1088.1975
7,7,1088.1975
7,8,4172.823951612902
7,9,4172.823951612902
7,10,4172.823951612902
7,11,4172.823951612902
7,12,4172.823951612902
7,13,4172.823951612902
7,14,4172.823951612902
7,15,4172.823951612902
7,16,4172.823951612902
7,17,4172.823951612902
7,18,4172.823951612902
7,19,4172.823951612902
7,20,1088.1975
7,21,1088.1975
7,22,1088.1975
7,23,1088.1975
8,0,1088.1975
8,1,1088.1975
8,2,1088.1975
