Month,Hour,Cost
1,0,15.564053763440716
1,1,15.564053763440716
1,2,15.564053763440716
1,3,15.564053763440716
1,4,15.564053763440716
1,5,15.564053763440716
1,6,15.564053763440716
1,7,15.564053763440716
1,8,15.564053763440716
1,9,15.564053763440716
1,10,15.564053763440716
1,11,15.564053763440716
1,12,15.564053763440716
1,13,15.564053763440716
1,14,15.564053763440716
1,15,15.564053763440716
1,16,15.564053763440716
1,17,15.564053763440716
1,18,15.564053763440716
1,19,15.564053763440716
1,20,15.564053763440716
1,21,15.564053763440716
1,22,15.564053763440716
1,23,15.564053763440716
2,0,15.951298850574585
2,1,15.951298850574585
2,2,15.951298850574585
2,3,15.951298850574585
2,4,15.951298850574585
2,5,15.951298850574585
2,6,15.951298850574585
2,7,15.951298850574585
2,8,15.951298850574585
2,9,15.951298850574585
2,10,15.951298850574585
2,11,15.951298850574585
2,12,15.951298850574585
2,13,15.951298850574585
2,14,15.951298850574585
2,15,15.951298850574585
2,16,15.951298850574585
2,17,15.951298850574585
2,18,15.951298850574585
2,19,15.951298850574585
2,20,15.951298850574585
2,21,15.951298850574585
2,22,15.951298850574585
2,23,15.951298850574585
3,0,15.564053763440716
3,1,15.564053763440716
3,2,15.564053763440716
3,3,15.564053763440716
3,4,15.564053763440716
3,5,15.564053763440716
3,6,15.564053763440716
3,7,15.564053763440716
3,8,15.564053763440716
3,9,15.564053763440716
3,10,15.564053763440716
3,11,15.564053763440716
3,12,15.564053763440716
3,13,15.564053763440716
3,14,15.564053763440716
3,15,15.564053763440716
3,16,15.564053763440716
3,17,15.564053763440716
3,18,15.564053763440716
3,19,15.564053763440716
3,20,15.564053763440716
3,21,15.564053763440716
3,22,15.564053763440716
3,23,15.564053763440716
4,0,15.751222222222085
4,1,15.751222222222085
4,2,15.751222222222085
4,3,15.751222222222085
4,4,15.751222222222085
4,5,15.751222222222085
4,6,15.751222222222085
4,7,15.751222222222085
4,8,15.751222222222085
4,9,15.751222222222085
4,10,15.751222222222085
4,11,15.751222222222085
