Month,Hour,Cost
1,0,3130.8050000000007
1,1,3130.8050000000007
1,2,3130.8050000000007
1,3,3130.8050000000007
1,4,3130.8050000000007
1,5,3130.8050000000007
1,6,3130.8050000000007
1,7,5015.321129032259
1,8,5015.321129032259
1,9,5015.321129032259
1,10,5015.321129032259
1,11,5015.321129032259
1,12,5015.321129032259
1,13,5015.321129032259
1,14,5015.321129032259
1,15,5015.321129032259
1,16,5015.321129032259
1,17,5015.321129032259
1,18,5015.321129032259
1,19,5015.321129032259
1,20,3130.8050000000007
1,21,3130.8050000000007
1,22,3130.8050000000007
1,23,3130.8050000000007
2,0,3130.805
2,1,3130.805
2,2,3130.805
2,3,3130.805
2,4,3130.805
2,5,3130.805
2,6,3130.805
2,7,4970.115344827586
2,8,4970.115344827586
2,9,4970.115344827586
2,10,4970.115344827586
2,11,4970.115344827586
2,12,4970.115344827586
2,13,4970.115344827586
2,14,4970.115344827586
2,15,4970.115344827586
2,16,4970.115344827586
2,17,4970.115344827586
2,18,4970.115344827586
2,19,4970.115344827586
2,20,3130.805
2,21,3130.805
2,22,3130.805
2,23,3130.805
3,0,3130.8050000000007
3,1,3130.8050000000007
3,2,3130.8050000000007
3,3,3130.8050000000007
3,4,3130.8050000000007
3,5,3130.8050000000007
3,6,3130.8050000000007
3,7,4851.450161290323
3,8,4851.450161290323
3,9,4851.450161290323
3,10,4851.450161290323
3,11,4851.450161290323
3,12,4851.450161290323
3,13,4851.450161290323
3,14,4851.450161290323
3,15,4851.450161290323
3,16,4851.450161290323
3,17,4851.450161290323
3,18,4851.450161290323
3,19,4851.450161290323
3,20,3130.8050000000007
3,21,3130.8050000000007
3,22,3130.8050000000007
3,23,3130.8050000000007
4,0,3130.8050000000003
4,1,3130.8050000000003
4,2,3130.8050000000003
4,3,3130.8050000000003
4,4,3130.8050000000003
4,5,3130.8050000000003
4,6,3130.8050000000003
4,7,4993.471666666667
4,8,4993.471666666667
4,9,4993.471666666667
4,10,4993.471666666667
4,11,4993.471666666667
4,12,4993.471666666667
4,13,4993.471666666667
4,14,4993.471666666667
4,15,4993.471666666667
4,16,4993.471666666667
4,17,4993.471666666667
4,18,4993.471666666667
4,19,4993.471666666667
4,20,3130.8050000000003
4,21,3130.8050000000003
4,22,3130.8050000000003
4,23,3130.8050000000003
5,0,3130.8050000000007
5,1,3130.8050000000007
5,2,3130.8050000000007
5,3,3130.8050000000007
5,4,3130.8050000000007
5,5,3130.8050000000007
5,6,3130.8050000000007
5,7,5015.321129032259
5,8,5015.321129032259
5,9,5015.321129032259
5,10,5015.321129032259
5,11,5015.321129032259
5,12,5015.321129032259
5,13,5015.321129032259
5,14,5015.321129032259
5,15,5015.321129032259
5,16,5015.321129032259
5,17,5015.321129032259
5,18,5015.321129032259
5,19,5015.321129032259
5,20,3130.8050000000007
5,21,3130.8050000000007
5,22,3130.8050000000007
5,23,3130.8050000000007
6,0,3130.8050000000003
6,1,3130.8050000000003
6,2,3130.8050000000003
6,3,3130.8050000000003
6,4,3130.8050000000003
6,5,3130.8050000000003
6,6,3130.8050000000003
6,7,4824.138333333334
6,8,4824.138333333334
6,9,4824.138333333334
6,10,4824.138333333334
6,11,4824.138333333334
6,12,4824.138333333334
6,13,4824.138333333334
6,14,4824.138333333334
6,15,4824.138333333334
6,16,4824.138333333334
6,17,4824.138333333334
6,18,4824.138333333334
6,19,4824.138333333334
6,20,3130.8050000000003
6,21,3130.8050000000003
6,22,3130.8050000000003
6,23,3130.8050000000003
7,0,3130.8050000000007
7,1,3130.8050000000007
7,2,3130.8050000000007
7,3,3130.8050000000007
7,4,3130.8050000000007
7,5,3130.8050000000007
7,6,3130.8050000000007
7,7,5015.321129032259
7,8,5015.321129032259
7,9,5015.321129032259
7,10,5015.321129032259
7,11,5015.321129032259
7,12,5015.321129032259
7,13,5015.321129032259
7,14,5015.321129032259
7,15,5015.321129032259
7,16,5015.321129032259
7,17,5015.321129032259
7,18,5015.321129032259
7,19,5015.321129032259
7,20,3130.8050000000007
7,21,3130.8050000000007
7,22,3130.8050000000007
7,23,3130.8050000000007
8,0,3130.8050000000007
8,1,3130.8050000000007
8,2,3130.8050000000007
8,3,3130.8050000000007
8,4,3130.8050000000007
8,5,3130.8050000000007
8,6,3130.8050000000007
8,7,4933.385645161291
8,8,4933.385645161291
8,9,4933.385645161291
8,10,4933.385645161291
8,11,4933.385645161291
8,12,4933.385645161291
8,13,4933.385645161291
8,14,4933.385645161291
8,15,4933.385645161291
8,16,4933.385645161291
8,17,4933.385645161291
8,18,4933.385645161291
8,19,4933.385645161291
8,20,3130.8050000000007
8,21,3130.8050000000007
8,22,3130.8050000000007
8,23,3130.8050000000007
9,0,3130.8050000000003
9,1,3130.8050000000003
9,2,3130.8050000000003
9,3,3130.8050000000003
9,4,3130.8050000000003
9,5,3130.8050000000003
9,6,3130.8050000000003
9,7,4908.805000000001
9,8,4908.805000000001
9,9,4908.805000000001
9,10,4908.805000000001
9,11,4908.805000000001
9,12,4908.805000000001
9,13,4908.805000000001
9,14,4908.805000000001
9,15,4908.805000000001
9,16,4908.805000000001
9,17,4908.805000000001
9,18,4908.805000000001
9,19,4908.805000000001
9,20,3130.8050000000003
9,21,3130.8050000000003
9,22,3130.8050000000003
9,23,3130.8050000000003
10,0,3130.8050000000007
10,1,3130.8050000000007
10,2,3130.8050000000007
10,3,3130.8050000000007
10,4,3130.8050000000007
10,5,3130.8050000000007
10,6,3130.8050000000007
10,7,5015.321129032259
10,8,5015.321129032259
10,9,5015.321129032259
10,10,5015.321129032259
10,11,5015.321129032259
10,12,5015.321129032259
10,13,5015.321129032259
10,14,5015.321129032259
10,15,5015.321129032259
10,16,5015.321129032259
10,17,5015.321129032259
10,18,5015.321129032259
10,19,5015.321129032259
10,20,3130.8050000000007
10,21,3130.8050000000007
10,22,3130.8050000000007
10,23,3130.8050000000007
11,0,3130.8050000000003
11,1,3130.8050000000003
11,2,3130.8050000000003
11,3,3130.8050000000003
11,4,3130.8050000000003
11,5,3130.8050000000003
11,6,3130.8050000000003
11,7,4908.805000000001
11,8,4908.805000000001
11,9,4908.805000000001
11,10,4908.805000000001
11,11,4908.805000000001
11,12,4908.805000000001
11,13,4908.805000000001
11,14,4908.805000000001
11,15,4908.805000000001
11,16,4908.805000000001
11,17,4908.805000000001
11,18,4908.805000000001
11,19,4908.805000000001
11,20,3130.8050000000003
11,21,3130.8050000000003
11,22,3130.8050000000003
11,23,3130.8050000000003
12,0,3130.8050000000007
12,1,3130.8050000000007
12,2,3130.8050000000007
12,3,3130.8050000000007
12,4,3130.8050000000007
12,5,3130.8050000000007
12,6,3130.8050000000007
12,7,4933.385645161291
12,8,4933.385645161291
12,9,4933.385645161291
12,10,4933.385645161291
12,11,4933.385645161291
12,12,4933.385645161291
12,13,4933.385645161291
12,14,4933.385645161291
12,15,4933.385645161291
12,16,4933.385645161291
12,17,4933.385645161291
12,18,4933.385645161291
12,19,4933.385645161291
12,20,3130.8050000000007
12,21,3130.8050000000007
12,22,3130.8050000000007
12,23,3130.8050000000007
