Month,Hour,Cost
1,0,727.0123748098122
1,1,727.0123748098122
1,2,727.0123748098122
1,3,727.0123748098122
1,4,727.0123748098122
1,5,727.0123748098122
1,6,727.0123748098122
1,7,727.0123748098122
1,8,727.0123748098122
1,9,727.0123748098122
1,10,727.0123748098122
1,11,727.0123748098122
1,12,727.0123748098122
1,13,727.0123748098122
1,14,727.0123748098122
1,15,727.0123748098122
1,16,727.0123748098122
1,17,727.0123748098122
1,18,727.0123748098122
1,19,727.0123748098122
1,20,727.0123748098122
1,21,727.0123748098122
1,22,727.0123748098122
1,23,727.0123748098122
2,0,727.025756762213
2,1,727.025756762213
2,2,727.025756762213
2,3,727.025756762213
2,4,727.025756762213
2,5,727.025756762213
2,6,727.025756762213
2,7,727.025756762213
2,8,727.025756762213
2,9,727.025756762213
2,10,727.025756762213
2,11,727.025756762213
2,12,727.025756762213
2,13,727.025756762213
2,14,727.025756762213
2,15,727.025756762213
2,16,727.025756762213
2,17,727.025756762213
2,18,727.025756762213
2,19,727.025756762213
2,20,727.025756762213
2,21,727.025756762213
2,22,727.025756762213
2,23,727.025756762213
3,0,727.0123748098122
3,1,727.0123748098122
3,2,727.0123748098122
3,3,727.0123748098122
3,4,727.0123748098122
3,5,727.0123748098122
3,6,727.0123748098122
3,7,727.0123748098122
3,8,727.0123748098122
3,9,727.0123748098122
3,10,727.0123748098122
3,11,727.0123748098122
3,12,727.0123748098122
3,13,727.0123748098122
3,14,727.0123748098122
3,15,727.0123748098122
3,16,727.0123748098122
3,17,727.0123748098122
3,18,727.0123748098122
3,19,727.0123748098122
3,20,727.0123748098122
3,21,727.0123748098122
3,22,727.0123748098122
3,23,727.0123748098122
4,0,727.0188427534725
4,1,727.0188427534725
4,2,727.0188427534725
4,3,727.0188427534725
4,4,727.0188427534725
4,5,727.0188427534725
4,6,727.0188427534725
4,7,727.0188427534725
4,8,727.0188427534725
4,9,727.0188427534725
4,10,727.0188427534725
4,11,727.0188427534725
4,12,727.0188427534725
4,13,727.0188427534725
4,14,727.0188427534725
4,15,727.0188427534725
4,16,727.0188427534725
4,17,727.0188427534725
4,18,727.0188427534725
4,19,727.0188427534725
4,20,727.0188427534725
4,21,727.0188427534725
4,22,727.0188427534725
4,23,727.0188427534725
5,0,727.0123748098122
5,1,727.0123748098122
5,2,727.0123748098122
5,3,727.0123748098122
5,4,727.0123748098122
5,5,727.0123748098122
5,6,727.0123748098122
5,7,727.0123748098122
5,8,727.0123748098122
5,9,727.0123748098122
5,10,727.0123748098122
5,11,727.0123748098122
5,12,727.0123748098122
5,13,727.0123748098122
5,14,727.0123748098122
5,15,727.0123748098122
5,16,727.0123748098122
5,17,727.0123748098122
5,18,727.0123748098122
5,19,727.0123748098122
5,20,727.0123748098122
5,21,727.0123748098122
5,22,727.0123748098122
5,23,727.0123748098122
6,0,727.0188427534725
6,1,727.0188427534725
6,2,727.0188427534725
6,3,727.0188427534725
6,4,727.0188427534725
6,5,727.0188427534725
6,6,727.0188427534725
6,7,727.0188427534725
6,8,727.0188427534725
6,9,727.0188427534725
6,10,727.0188427534725
6,11,727.0188427534725
6,12,727.0188427534725
6,13,727.0188427534725
6,14,727.0188427534725
6,15,727.0188427534725
6,16,727.0188427534725
6,17,727.0188427534725
6,18,727.0188427534725
6,19,727.0188427534725
6,20,727.0188427534725
6,21,727.0188427534725
6,22,727.0188427534725
6,23,727.0188427534725
7,0,727.0123748098122
7,1,727.0123748098122
7,2,727.0123748098122
7,3,727.0123748098122
7,4,727.0123748098122
7,5,727.0123748098122
7,6,727.0123748098122
7,7,727.0123748098122
7,8,727.0123748098122
7,9,727.0123748098122
7,10,727.0123748098122
7,11,727.0123748098122
7,12,727.0123748098122
7,13,727.0123748098122
7,14,727.0123748098122
7,15,727.0123748098122
7,16,727.0123748098122
7,17,727.0123748098122
7,18,727.0123748098122
7,19,727.0123748098122
7,20,727.0123748098122
7,21,727.0123748098122
7,22,727.0123748098122
7,23,727.0123748098122
8,0,727.0123748098122
8,1,727.0123748098122
8,2,727.0123748098122
8,3,727.0123748098122
8,4,727.0123748098122
8,5,727.0123748098122
8,6,727.0123748098122
8,7,727.0123748098122
8,8,727.0123748098122
8,9,727.0123748098122
8,10,727.0123748098122
8,11,727.0123748098122
8,12,727.0123748098122
8,13,727.0123748098122
8,14,727.0123748098122
8,15,727.0123748098122
8,16,727.0123748098122
8,17,727.0123748098122
8,18,727.0123748098122
8,19,727.0123748098122
8,20,727.0123748098122
8,21,727.0123748098122
8,22,727.0123748098122
8,23,727.0123748098122
9,0,727.0188427534725
9,1,727.0188427534725
9,2,727.0188427534725
9,3,727.0188427534725
9,4,727.0188427534725
9,5,727.0188427534725
9,6,727.0188427534725
9,7,727.0188427534725
9,8,727.0188427534725
9,9,727.0188427534725
9,10,727.0188427534725
9,11,727.0188427534725
9,12,727.0188427534725
9,13,727.0188427534725
9,14,727.0188427534725
9,15,727.0188427534725
9,16,727.0188427534725
9,17,727.0188427534725
9,18,727.0188427534725
9,19,727.0188427534725
9,20,727.0188427534725
9,21,727.0188427534725
9,22,727.0188427534725
9,23,727.0188427534725
10,0,727.0123748098122
10,1,727.0123748098122
10,2,727.0123748098122
10,3,727.0123748098122
10,4,727.0123748098122
10,5,727.0123748098122
10,6,727.0123748098122
10,7,727.0123748098122
10,8,727.0123748098122
10,9,727.0123748098122
10,10,727.0123748098122
10,11,727.0123748098122
10,12,727.0123748098122
10,13,727.0123748098122
10,14,727.0123748098122
10,15,727.0123748098122
10,16,727.0123748098122
10,17,727.0123748098122
10,18,727.0123748098122
10,19,727.0123748098122
10,20,727.0123748098122
10,21,727.0123748098122
10,22,727.0123748098122
10,23,727.0123748098122
11,0,727.0188427534725
11,1,727.0188427534725
11,2,727.0188427534725
11,3,727.0188427534725
11,4,727.0188427534725
11,5,727.0188427534725
11,6,727.0188427534725
11,7,727.0188427534725
11,8,727.0188427534725
11,9,727.0188427534725
11,10,727.0188427534725
11,11,727.0188427534725
11,12,727.0188427534725
11,13,727.0188427534725
11,14,727.0188427534725
11,15,727.0188427534725
11,16,727.0188427534725
11,17,727.0188427534725
11,18,727.0188427534725
11,19,727.0188427534725
11,20,727.0188427534725
11,21,727.0188427534725
11,22,727.0188427534725
11,23,727.0188427534725
12,0,727.0123748098122
12,1,727.0123748098122
12,2,727.0123748098122
12,3,727.0123748098122
12,4,727.0123748098122
12,5,727.0123748098122
12,6,727.0123748098122
12,7,727.0123748098122
12,8,727.0123748098122
12,9,727.0123748098122
12,10,727.0123748098122
12,11,727.0123748098122
12,12,727.0123748098122
12,13,727.0123748098122
12,14,727.0123748098122
12,15,727.0123748098122
12,16,727.0123748098122
12,17,727.0123748098122
12,18,727.0123748098122
12,19,727.0123748098122
12,20,727.0123748098122
12,21,727.0123748098122
12,22,727.0123748098122
12,23,727.0123748098122
