Month,Hour,Cost
1,0,20.215899285714222
1,1,20.215899285714222
1,2,20.215899285714222
1,3,20.215899285714222
1,4,20.215899285714222
1,5,20.215899285714222
1,6,20.215899285714222
1,7,20.215899285714222
1,8,35.04761389400944
1,9,35.04761389400944
1,10,35.04761389400944
1,11,35.04761389400944
1,12,35.10855859447027
1,13,35.10855859447027
1,14,35.10855859447027
1,15,35.10855859447027
1,16,35.10855859447027
1,17,35.10855859447027
1,18,35.10855859447027
1,19,35.10855859447027
1,20,35.04761389400944
1,21,35.04761389400944
1,22,35.04761389400944
1,23,35.04761389400944
2,0,19.576661363636298
2,1,19.576661363636298
2,2,19.576661363636298
2,3,19.576661363636298
2,4,19.576661363636298
2,5,19.576661363636298
2,6,19.576661363636298
2,7,19.576661363636298
2,8,35.34639036050179
2,9,35.34639036050179
2,10,35.34639036050179
2,11,35.34639036050179
2,12,35.403992241379534
2,13,35.403992241379534
2,14,35.403992241379534
2,15,35.403992241379534
2,16,35.403992241379534
2,17,35.403992241379534
2,18,35.403992241379534
2,19,35.403992241379534
2,20,35.34639036050179
2,21,35.34639036050179
2,22,35.34639036050179
2,23,35.34639036050179
3,0,17.94527291666661
3,1,17.94527291666661
3,2,17.94527291666661
3,3,17.94527291666661
3,4,17.94527291666661
3,5,17.94527291666661
3,6,17.94527291666661
3,7,17.94527291666661
3,8,36.10708894489273
3,9,36.10708894489273
3,10,36.10708894489273
3,11,36.10708894489273
3,12,36.15648410618306
3,13,36.15648410618306
3,14,36.15648410618306
3,15,36.15648410618306
3,16,36.15648410618306
3,17,36.15648410618306
3,18,36.15648410618306
3,19,36.15648410618306
3,20,36.10708894489273
3,21,36.10708894489273
3,22,36.10708894489273
3,23,36.10708894489273
4,0,19.905680882352875
4,1,19.905680882352875
4,2,19.905680882352875
4,3,19.905680882352875
4,4,19.905680882352875
4,5,19.905680882352875
4,6,19.905680882352875
4,7,19.905680882352875
4,8,35.19265686274533
4,9,35.19265686274533
4,10,35.19265686274533
4,11,35.19265686274533
4,12,35.25197058823552
4,13,35.25197058823552
4,14,35.25197058823552
4,15,35.25197058823552
4,16,35.25197058823552
4,17,35.25197058823552
4,18,35.25197058823552
4,19,35.25197058823552
4,20,35.19265686274533
4,21,35.19265686274533
4,22,35.19265686274533
4,23,35.19265686274533
5,0,20.215899285714222
5,1,20.215899285714222
5,2,20.215899285714222
5,3,20.215899285714222
5,4,20.215899285714222
5,5,20.215899285714222
5,6,20.215899285714222
5,7,20.215899285714222
5,8,35.04761389400944
5,9,35.04761389400944
