Month,Hour,Cost
1,0,109.71560483870962
1,1,109.71560483870962
1,2,109.71560483870962
1,3,109.71560483870962
1,4,109.71560483870962
1,5,109.71560483870962
1,6,109.71560483870962
1,7,109.71560483870962
1,8,78.44560483870968
1,9,78.44560483870968
1,10,78.44560483870968
1,11,78.44560483870968
1,12,78.44560483870968
1,13,78.44560483870968
1,14,78.44560483870968
1,15,78.44560483870968
1,16,204.4256048387093
1,17,204.4256048387093
1,18,204.4256048387093
1,19,204.4256048387093
1,20,204.4256048387093
1,21,109.71560483870962
1,22,109.71560483870962
1,23,109.71560483870962
2,0,109.97047413793119
2,1,109.97047413793119
2,2,109.97047413793119
2,3,109.97047413793119
2,4,109.97047413793119
2,5,109.97047413793119
2,6,109.97047413793119
2,7,109.97047413793119
2,8,78.70047413793104
2,9,78.70047413793104
2,10,78.70047413793104
2,11,78.70047413793104
2,12,78.70047413793104
2,13,78.70047413793104
2,14,78.70047413793104
2,15,78.70047413793104
2,16,204.68047413793067
2,17,204.68047413793067
2,18,204.68047413793067
2,19,204.68047413793067
2,20,204.68047413793067
2,21,109.97047413793119
2,22,109.97047413793119
2,23,109.97047413793119
3,0,109.71560483870962
3,1,109.71560483870962
3,2,109.71560483870962
3,3,109.71560483870962
3,4,109.71560483870962
3,5,109.71560483870962
3,6,109.71560483870962
3,7,109.71560483870962
3,8,78.44560483870968
3,9,78.44560483870968
3,10,78.44560483870968
3,11,78.44560483870968
3,12,78.44560483870968
3,13,78.44560483870968
3,14,78.44560483870968
3,15,78.44560483870968
3,16,204.4256048387093
3,17,204.4256048387093
3,18,204.4256048387093
3,19,204.4256048387093
3,20,204.4256048387093
3,21,109.71560483870962
3,22,109.71560483870962
3,23,109.71560483870962
4,0,109.83879166666672
4,1,109.83879166666672
4,2,109.83879166666672
4,3,109.83879166666672
4,4,109.83879166666672
4,5,109.83879166666672
4,6,109.83879166666672
4,7,109.83879166666672
4,8,78.56879166666667
4,9,78.56879166666667
4,10,78.56879166666667
4,11,78.56879166666667
4,12,78.56879166666667
4,13,78.56879166666667
4,14,78.56879166666667
4,15,78.56879166666667
4,16,204.54879166666632
4,17,204.54879166666632
4,18,204.54879166666632
4,19,204.54879166666632
4,20,204.54879166666632
4,21,109.83879166666672
4,22,109.83879166666672
4,23,109.83879166666672
5,0,109.71560483870962
5,1,109.71560483870962
5,2,109.71560483870962
5,3,109.71560483870962
5,4,109.71560483870962
5,5,109.71560483870962
5,6,109.71560483870962
5,7,109.71560483870962
5,8,78.44560483870968
5,9,78.44560483870968
5,10,78.44560483870968
5,11,78.44560483870968
5,12,78.44560483870968
5,13,78.44560483870968
5,14,78.44560483870968
5,15,78.44560483870968
5,16,204.4256048387093
5,17,204.4256048387093
5,18,204.4256048387093
5,19,204.4256048387093
5,20,204.4256048387093
5,21,109.71560483870962
5,22,109.71560483870962
5,23,109.71560483870962
6,0,105.41879166666571
6,1,105.41879166666571
6,2,105.41879166666571
6,3,105.41879166666571
6,4,105.41879166666571
6,5,105.41879166666571
6,6,105.41879166666571
6,7,105.41879166666571
6,8,105.41879166666571
6,9,105.41879166666571
6,10,105.41879166666571
6,11,105.41879166666571
6,12,105.41879166666571
6,13,105.41879166666571
6,14,105.41879166666571
6,15,105.41879166666571
6,16,306.77545833333346
6,17,306.77545833333346
6,18,306.77545833333346
6,19,306.77545833333346
6,20,306.77545833333346
6,21,105.41879166666571
6,22,105.41879166666571
6,23,105.41879166666571
7,0,105.2956048387087
7,1,105.2956048387087
7,2,105.2956048387087
7,3,105.2956048387087
7,4,105.2956048387087
7,5,105.2956048387087
7,6,105.2956048387087
7,7,105.2956048387087
7,8,105.2956048387087
7,9,105.2956048387087
7,10,105.2956048387087
7,11,105.2956048387087
7,12,105.2956048387087
7,13,105.2956048387087
7,14,105.2956048387087
7,15,105.2956048387087
7,16,322.9336693548387
7,17,322.9336693548387
7,18,322.9336693548387
7,19,322.9336693548387
7,20,322.9336693548387
7,21,105.2956048387087
7,22,105.2956048387087
7,23,105.2956048387087
8,0,105.2956048387087
8,1,105.2956048387087
8,2,105.2956048387087
8,3,105.2956048387087
8,4,105.2956048387087
8,5,105.2956048387087
8,6,105.2956048387087
8,7,105.2956048387087
8,8,105.2956048387087
8,9,105.2956048387087
8,10,105.2956048387087
8,11,105.2956048387087
8,12,105.2956048387087
8,13,105.2956048387087
8,14,105.2956048387087
8,15,105.2956048387087
8,16,315.95592741935485
8,17,315.95592741935485
8,18,315.95592741935485
8,19,315.95592741935485
8,20,315.95592741935485
8,21,105.2956048387087
8,22,105.2956048387087
8,23,105.2956048387087
9,0,105.41879166666571
9,1,105.41879166666571
9,2,105.41879166666571
9,3,105.41879166666571
9,4,105.41879166666571
9,5,105.41879166666571
9,6,105.41879166666571
9,7,105.41879166666571
9,8,105.41879166666571
9,9,105.41879166666571
9,10,105.41879166666571
9,11,105.41879166666571
9,12,105.41879166666571
9,13,105.41879166666571
9,14,105.41879166666571
9,15,105.41879166666571
9,16,313.9857916666667
9,17,313.9857916666667
9,18,313.9857916666667
9,19,313.9857916666667
9,20,313.9857916666667
9,21,105.41879166666571
9,22,105.41879166666571
9,23,105.41879166666571
10,0,109.71560483870962
10,1,109.71560483870962
10,2,109.71560483870962
10,3,109.71560483870962
10,4,109.71560483870962
10,5,109.71560483870962
10,6,109.71560483870962
10,7,109.71560483870962
10,8,78.44560483870968
