Month,Hour,Cost
1,0,27.569990096209462
1,1,27.569990096209462
1,2,27.569990096209462
1,3,27.569990096209462
1,4,27.569990096209462
1,5,27.569990096209462
1,6,27.569990096209462
1,7,27.569990096209462
1,8,27.569990096209462
1,9,27.569990096209462
1,10,27.569990096209462
1,11,27.569990096209462
1,12,27.569990096209462
1,13,27.569990096209462
1,14,27.569990096209462
1,15,27.569990096209462
1,16,27.569990096209462
1,17,27.569990096209462
1,18,27.569990096209462
1,19,27.569990096209462
1,20,27.569990096209462
1,21,27.569990096209462
1,22,27.569990096209462
1,23,27.569990096209462
2,0,28.21154113732723
2,1,28.21154113732723
2,2,28.21154113732723
2,3,28.21154113732723
2,4,28.21154113732723
2,5,28.21154113732723
2,6,28.21154113732723
2,7,28.21154113732723
2,8,28.21154113732723
2,9,28.21154113732723
2,10,28.21154113732723
2,11,28.21154113732723
2,12,28.21154113732723
2,13,28.21154113732723
2,14,28.21154113732723
2,15,28.21154113732723
2,16,28.21154113732723
2,17,28.21154113732723
2,18,28.21154113732723
2,19,28.21154113732723
2,20,28.21154113732723
2,21,28.21154113732723
2,22,28.21154113732723
2,23,28.21154113732723
3,0,27.569990096209462
3,1,27.569990096209462
3,2,27.569990096209462
3,3,27.569990096209462
3,4,27.569990096209462
3,5,27.569990096209462
3,6,27.569990096209462
3,7,27.569990096209462
3,8,27.569990096209462
3,9,27.569990096209462
3,10,27.569990096209462
3,11,27.569990096209462
3,12,27.569990096209462
3,13,27.569990096209462
3,14,27.569990096209462
3,15,27.569990096209462
3,16,27.569990096209462
3,17,27.569990096209462
3,18,27.569990096209462
3,19,27.569990096209462
3,20,27.569990096209462
3,21,27.569990096209462
3,22,27.569990096209462
3,23,27.569990096209462
4,0,28.79007309941479
4,1,28.79007309941479
4,2,28.79007309941479
4,3,28.79007309941479
4,4,28.79007309941479
4,5,28.79007309941479
4,6,28.79007309941479
4,7,28.79007309941479
4,8,28.79007309941479
4,9,28.79007309941479
4,10,28.79007309941479
4,11,28.79007309941479
4,12,28.79007309941479
4,13,28.79007309941479
4,14,28.79007309941479
4,15,28.79007309941479
4,16,28.79007309941479
4,17,28.79007309941479
4,18,28.79007309941479
4,19,28.79007309941479
4,20,28.79007309941479
4,21,28.79007309941479
4,22,28.79007309941479
4,23,28.79007309941479
5,0,28.4799900962078
5,1,28.4799900962078
5,2,28.4799900962078
5,3,28.4799900962078
5,4,28.4799900962078
5,5,28.4799900962078
5,6,28.4799900962078
5,7,28.4799900962078
5,8,28.4799900962078
5,9,28.4799900962078
5,10,28.4799900962078
5,11,28.4799900962078
5,12,28.4799900962078
5,13,28.4799900962078
5,14,28.4799900962078
5,15,28.4799900962078
5,16,28.4799900962078
5,17,28.4799900962078
5,18,28.4799900962078
5,19,28.4799900962078
5,20,28.4799900962078
5,21,28.4799900962078
5,22,28.4799900962078
5,23,28.4799900962078
6,0,28.79007309941479
6,1,28.79007309941479
6,2,28.79007309941479
6,3,28.79007309941479
6,4,28.79007309941479
6,5,28.79007309941479
6,6,28.79007309941479
6,7,28.79007309941479
6,8,28.79007309941479
6,9,28.79007309941479
6,10,28.79007309941479
6,11,28.79007309941479
6,12,28.79007309941479
6,13,28.79007309941479
6,14,28.79007309941479
6,15,28.79007309941479
6,16,28.79007309941479
6,17,28.79007309941479
6,18,28.79007309941479
6,19,28.79007309941479
6,20,28.79007309941479
6,21,28.79007309941479
6,22,28.79007309941479
6,23,28.79007309941479
7,0,28.4799900962078
7,1,28.4799900962078
7,2,28.4799900962078
7,3,28.4799900962078
7,4,28.4799900962078
7,5,28.4799900962078
7,6,28.4799900962078
7,7,28.4799900962078
7,8,28.4799900962078
7,9,28.4799900962078
7,10,28.4799900962078
7,11,28.4799900962078
7,12,28.4799900962078
7,13,28.4799900962078
7,14,28.4799900962078
7,15,28.4799900962078
7,16,28.4799900962078
7,17,28.4799900962078
7,18,28.4799900962078
7,19,28.4799900962078
7,20,28.4799900962078
7,21,28.4799900962078
7,22,28.4799900962078
7,23,28.4799900962078
8,0,28.4799900962078
8,1,28.4799900962078
8,2,28.4799900962078
8,3,28.4799900962078
8,4,28.4799900962078
8,5,28.4799900962078
8,6,28.4799900962078
8,7,28.4799900962078
8,8,28.4799900962078
8,9,28.4799900962078
8,10,28.4799900962078
8,11,28.4799900962078
8,12,28.4799900962078
8,13,28.4799900962078
8,14,28.4799900962078
8,15,28.4799900962078
8,16,28.4799900962078
8,17,28.4799900962078
8,18,28.4799900962078
8,19,28.4799900962078
8,20,28.4799900962078
8,21,28.4799900962078
8,22,28.4799900962078
8,23,28.4799900962078
9,0,28.79007309941479
9,1,28.79007309941479
9,2,28.79007309941479
9,3,28.79007309941479
9,4,28.79007309941479
9,5,28.79007309941479
9,6,28.79007309941479
9,7,28.79007309941479
9,8,28.79007309941479
9,9,28.79007309941479
9,10,28.79007309941479
9,11,28.79007309941479
9,12,28.79007309941479
9,13,28.79007309941479
9,14,28.79007309941479
9,15,28.79007309941479
9,16,28.79007309941479
9,17,28.79007309941479
9,18,28.79007309941479
9,19,28.79007309941479
9,20,28.79007309941479
9,21,28.79007309941479
9,22,28.79007309941479
9,23,28.79007309941479
10,0,28.4799900962078
10,1,28.4799900962078
10,2,28.4799900962078
10,3,28.4799900962078
10,4,28.4799900962078
10,5,28.4799900962078
10,6,28.4799900962078
10,7,28.4799900962078
10,8,28.4799900962078
10,9,28.4799900962078
10,10,28.4799900962078
10,11,28.4799900962078
10,12,28.4799900962078
10,13,28.4799900962078
10,14,28.4799900962078
10,15,28.4799900962078
10,16,28.4799900962078
10,17,28.4799900962078
10,18,28.4799900962078
10,19,28.4799900962078
10,20,28.4799900962078
10,21,28.4799900962078
10,22,28.4799900962078
10,23,28.4799900962078
11,0,28.79007309941479
11,1,28.79007309941479
11,2,28.79007309941479
11,3,28.79007309941479
11,4,28.79007309941479
11,5,28.79007309941479
11,6,28.79007309941479
11,7,28.79007309941479
11,8,28.79007309941479
11,9,28.79007309941479
11,10,28.79007309941479
11,11,28.79007309941479
11,12,28.79007309941479
11,13,28.79007309941479
11,14,28.79007309941479
11,15,28.79007309941479
11,16,28.79007309941479
11,17,28.79007309941479
11,18,28.79007309941479
11,19,28.79007309941479
11,20,28.79007309941479
11,21,28.79007309941479
11,22,28.79007309941479
11,23,28.79007309941479
12,0,27.569990096209462
12,1,27.569990096209462
12,2,27.569990096209462
12,3,27.569990096209462
12,4,27.569990096209462
12,5,27.569990096209462
12,6,27.569990096209462
12,7,27.569990096209462
12,8,27.569990096209462
12,9,27.569990096209462
12,10,27.569990096209462
12,11,27.569990096209462
12,12,27.569990096209462
12,13,27.569990096209462
12,14,27.569990096209462
12,15,27.569990096209462
12,16,27.569990096209462
12,17,27.569990096209462
12,18,27.569990096209462
12,19,27.569990096209462
12,20,27.569990096209462
12,21,27.569990096209462
12,22,27.569990096209462
12,23,27.569990096209462
