Month,Hour,Cost
1,0,4785.302500000001
1,1,4785.302500000001
1,2,4785.302500000001
1,3,4785.302500000001
1,4,4785.302500000001
1,5,4785.302500000001
1,6,4789.997096774194
1,7,4789.997096774194
1,8,4789.997096774194
1,9,4789.997096774194
1,10,4789.997096774194
1,11,4789.997096774194
1,12,4789.997096774194
1,13,4789.997096774194
1,14,4791.63
1,15,4791.63
1,16,5020.9975
1,17,5020.9975
1,18,5020.9975
1,19,5020.9975
1,20,5020.9975
1,21,4791.63
1,22,4791.63
1,23,4791.63
2,0,4785.302500000001
2,1,4785.302500000001
2,2,4785.302500000001
2,3,4785.302500000001
2,4,4785.302500000001
2,5,4785.302500000001
2,6,4789.884482758621
2,7,4789.884482758621
2,8,4789.884482758621
2,9,4789.884482758621
2,10,4789.884482758621
2,11,4789.884482758621
2,12,4789.884482758621
2,13,4789.884482758621
2,14,4791.629999999999
2,15,4791.629999999999
2,16,5020.9975
2,17,5020.9975
2,18,5020.9975
2,19,5020.9975
2,20,5020.9975
2,21,4791.629999999999
2,22,4791.629999999999
2,23,4791.629999999999
3,0,4785.302500000001
3,1,4785.302500000001
3,2,4785.302500000001
3,3,4785.302500000001
3,4,4785.302500000001
3,5,4785.302500000001
3,6,4789.588870967742
3,7,4789.588870967742
3,8,4789.588870967742
3,9,4789.588870967742
3,10,4785.302500000001
3,11,4785.302500000001
3,12,4785.302500000001
3,13,4785.302500000001
3,14,4791.63
3,15,4791.63
3,16,5020.9975
3,17,5020.9975
3,18,5020.9975
3,19,5020.9975
3,20,5020.9975
3,21,4791.63
3,22,4791.63
3,23,4791.63
4,0,4785.302500000001
4,1,4785.302500000001
4,2,4785.302500000001
4,3,4785.302500000001
4,4,4785.302500000001
4,5,4785.302500000001
4,6,4789.942666666667
4,7,4789.942666666667
4,8,4789.942666666667
4,9,4789.942666666667
4,10,4785.302500000001
4,11,4785.302500000001
4,12,4785.302500000001
4,13,4785.302500000001
4,14,4791.63
4,15,4791.63
4,16,5020.9975
4,17,5020.9975
4,18,5020.9975
4,19,5020.9975
4,20,5020.9975
4,21,4791.63
4,22,4791.63
4,23,4791.63
5,0,4785.302500000001
5,1,4785.302500000001
5,2,4785.302500000001
5,3,4785.302500000001
5,4,4785.302500000001
5,5,4785.302500000001
5,6,4789.997096774194
5,7,4789.997096774194
5,8,4789.997096774194
5,9,4789.997096774194
5,10,4789.997096774194
5,11,4789.997096774194
5,12,4789.997096774194
5,13,4789.997096774194
5,14,4791.63
5,15,4791.63
5,16,5020.9975
5,17,5020.9975
5,18,5020.9975
5,19,5020.9975
5,20,5020.9975
5,21,4791.63
5,22,4791.63
5,23,4791.63
6,0,4787.4575
6,1,4787.4575
6,2,4787.4575
6,3,4787.4575
6,4,4787.4575
6,5,4787.4575
6,6,4788.135833333333
6,7,4788.135833333333
6,8,4788.135833333333
6,9,4788.135833333333
6,10,4788.135833333333
6,11,4788.135833333333
6,12,4788.135833333333
6,13,4788.135833333333
6,14,4788.474999999999
6,15,4788.474999999999
6,16,8923.695
6,17,8923.695
6,18,8923.695
6,19,8923.695
6,20,8923.695
6,21,4788.474999999999
6,22,4788.474999999999
6,23,4788.474999999999
7,0,4787.4575
7,1,4787.4575
7,2,4787.4575
7,3,4787.4575
7,4,4787.4575
7,5,4787.4575
7,6,4788.212419354839
7,7,4788.212419354839
7,8,4788.212419354839
7,9,4788.212419354839
7,10,4788.212419354839
7,11,4788.212419354839
7,12,4788.212419354839
7,13,4788.212419354839
7,14,4788.474999999999
7,15,4788.474999999999
7,16,8923.695
7,17,8923.695
7,18,8923.695
7,19,8923.695
7,20,8923.695
7,21,4788.474999999999
7,22,4788.474999999999
7,23,4788.474999999999
8,0,4787.4575
8,1,4787.4575
8,2,4787.4575
8,3,4787.4575
8,4,4787.4575
8,5,4787.4575
8,6,4788.179596774194
8,7,4788.179596774194
8,8,4788.179596774194
8,9,4788.179596774194
8,10,4788.179596774194
8,11,4788.179596774194
8,12,4788.179596774194
8,13,4788.179596774194
8,14,4788.474999999999
8,15,4788.474999999999
8,16,8923.695
8,17,8923.695
8,18,8923.695
8,19,8923.695
8,20,8923.695
8,21,4788.474999999999
8,22,4788.474999999999
8,23,4788.474999999999
9,0,4787.4575
9,1,4787.4575
9,2,4787.4575
9,3,4787.4575
9,4,4787.4575
9,5,4787.4575
9,6,4788.16975
9,7,4788.16975
9,8,4788.16975
9,9,4788.16975
9,10,4788.16975
9,11,4788.16975
9,12,4788.16975
9,13,4788.16975
9,14,4788.474999999999
9,15,4788.474999999999
9,16,8923.695
9,17,8923.695
9,18,8923.695
9,19,8923.695
9,20,8923.695
9,21,4788.474999999999
9,22,4788.474999999999
9,23,4788.474999999999
10,0,4787.4575
10,1,4787.4575
10,2,4787.4575
10,3,4787.4575
10,4,4787.4575
10,5,4787.4575
10,6,4788.212419354839
10,7,4788.212419354839
10,8,4788.212419354839
10,9,4788.212419354839
10,10,4788.212419354839
10,11,4788.212419354839
10,12,4788.212419354839
10,13,4788.212419354839
10,14,4788.474999999999
10,15,4788.474999999999
10,16,8923.695
10,17,8923.695
10,18,8923.695
10,19,8923.695
10,20,8923.695
10,21,4788.474999999999
10,22,4788.474999999999
10,23,4788.474999999999
11,0,4785.302500000001
11,1,4785.302500000001
11,2,4785.302500000001
11,3,4785.302500000001
11,4,4785.302500000001
11,5,4785.302500000001
11,6,4789.731750000001
11,7,4789.731750000001
11,8,4789.731750000001
11,9,4789.731750000001
11,10,4789.731750000001
11,11,4789.731750000001
11,12,4789.731750000001
11,13,4789.731750000001
11,14,4791.63
11,15,4791.63
11,16,5020.9975
11,17,5020.9975
11,18,5020.9975
11,19,5020.9975
11,20,5020.9975
11,21,4791.63
11,22,4791.63
11,23,4791.63
12,0,4785.302500000001
12,1,4785.302500000001
12,2,4785.302500000001
12,3,4785.302500000001
12,4,4785.302500000001
12,5,4785.302500000001
12,6,4789.792983870969
12,7,4789.792983870969
12,8,4789.792983870969
12,9,4789.792983870969
12,10,4789.792983870969
12,11,4789.792983870969
12,12,4789.792983870969
12,13,4789.792983870969
12,14,4791.63
12,15,4791.63
12,16,5020.9975
12,17,5020.9975
12,18,5020.9975
12,19,5020.9975
12,20,5020.9975
12,21,4791.63
12,22,4791.63
12,23,4791.63
