Month,Hour,Cost
1,0,2.000892473118244
1,1,2.000892473118244
1,2,2.000892473118244
1,3,2.000892473118244
1,4,2.000892473118244
1,5,2.000892473118244
1,6,2.000892473118244
1,7,2.000892473118244
1,8,2.000892473118244
1,9,2.000892473118244
1,10,2.000892473118244
1,11,2.000892473118244
1,12,2.000892473118244
1,13,2.000892473118244
1,14,2.000892473118244
1,15,2.000892473118244
1,16,2.000892473118244
1,17,2.000892473118244
1,18,2.000892473118244
1,19,2.000892473118244
1,20,2.000892473118244
1,21,2.000892473118244
1,22,2.000892473118244
1,23,2.000892473118244
2,0,2.122091954022956
2,1,2.122091954022956
2,2,2.122091954022956
2,3,2.122091954022956
2,4,2.122091954022956
2,5,2.122091954022956
2,6,2.122091954022956
2,7,2.122091954022956
2,8,2.122091954022956
2,9,2.122091954022956
2,10,2.122091954022956
2,11,2.122091954022956
2,12,2.122091954022956
2,13,2.122091954022956
2,14,2.122091954022956
2,15,2.122091954022956
2,16,2.122091954022956
2,17,2.122091954022956
2,18,2.122091954022956
2,19,2.122091954022956
2,20,2.122091954022956
2,21,2.122091954022956
2,22,2.122091954022956
2,23,2.122091954022956
3,0,2.000892473118244
3,1,2.000892473118244
3,2,2.000892473118244
3,3,2.000892473118244
3,4,2.000892473118244
3,5,2.000892473118244
3,6,2.000892473118244
3,7,2.000892473118244
3,8,2.000892473118244
3,9,2.000892473118244
3,10,2.000892473118244
3,11,2.000892473118244
3,12,2.000892473118244
3,13,2.000892473118244
3,14,2.000892473118244
3,15,2.000892473118244
3,16,2.000892473118244
3,17,2.000892473118244
3,18,2.000892473118244
3,19,2.000892473118244
3,20,2.000892473118244
3,21,2.000892473118244
3,22,2.000892473118244
3,23,2.000892473118244
4,0,2.059472222222188
4,1,2.059472222222188
4,2,2.059472222222188
4,3,2.059472222222188
4,4,2.059472222222188
4,5,2.059472222222188
4,6,2.059472222222188
4,7,2.059472222222188
4,8,2.059472222222188
4,9,2.059472222222188
4,10,2.059472222222188
4,11,2.059472222222188
4,12,2.059472222222188
4,13,2.059472222222188
4,14,2.059472222222188
4,15,2.059472222222188
4,16,2.059472222222188
4,17,2.059472222222188
4,18,2.059472222222188
4,19,2.059472222222188
4,20,2.059472222222188
4,21,2.059472222222188
4,22,2.059472222222188
4,23,2.059472222222188
5,0,2.000892473118244
5,1,2.000892473118244
5,2,2.000892473118244
5,3,2.000892473118244
5,4,2.000892473118244
5,5,2.000892473118244
5,6,2.000892473118244
5,7,2.000892473118244
5,8,2.000892473118244
5,9,2.000892473118244
5,10,2.000892473118244
5,11,2.000892473118244
5,12,2.000892473118244
5,13,2.000892473118244
5,14,2.000892473118244
5,15,2.000892473118244
5,16,2.000892473118244
5,17,2.000892473118244
5,18,2.000892473118244
5,19,2.000892473118244
5,20,2.000892473118244
5,21,2.000892473118244
5,22,2.000892473118244
5,23,2.000892473118244
6,0,2.059472222222188
6,1,2.059472222222188
6,2,2.059472222222188
6,3,2.059472222222188
6,4,2.059472222222188
6,5,2.059472222222188
6,6,2.059472222222188
6,7,2.059472222222188
6,8,2.059472222222188
6,9,2.059472222222188
6,10,2.059472222222188
6,11,2.059472222222188
6,12,2.059472222222188
6,13,2.059472222222188
6,14,10.99994841269838
6,15,10.99994841269838
6,16,10.99994841269838
6,17,10.99994841269838
6,18,10.99994841269838
6,19,10.99994841269838
6,20,10.99994841269838
6,21,2.059472222222188
6,22,2.059472222222188
6,23,2.059472222222188
7,0,2.000892473118244
7,1,2.000892473118244
7,2,2.000892473118244
7,3,2.000892473118244
7,4,2.000892473118244
7,5,2.000892473118244
7,6,2.000892473118244
7,7,2.000892473118244
