Month,Hour,Cost
1,0,20.965821428571864
1,1,20.965821428571864
1,2,20.965821428571864
1,3,20.965821428571864
1,4,20.965821428571864
1,5,20.965821428571864
1,6,36.41913133640546
1,7,36.41913133640546
1,8,36.41913133640546
1,9,36.41913133640546
1,10,20.965821428571864
1,11,20.965821428571864
1,12,20.965821428571864
1,13,20.965821428571864
1,14,20.965821428571864
1,15,20.965821428571864
1,16,20.965821428571864
1,17,36.41913133640546
1,18,36.41913133640546
1,19,36.41913133640546
1,20,36.41913133640546
1,21,20.965821428571864
1,22,20.965821428571864
1,23,20.965821428571864
2,0,21.416037878788263
2,1,21.416037878788263
2,2,21.416037878788263
2,3,21.416037878788263
2,4,21.416037878788263
2,5,21.416037878788263
2,6,37.990475966562116
2,7,37.990475966562116
2,8,37.990475966562116
2,9,37.990475966562116
2,10,21.416037878788263
2,11,21.416037878788263
2,12,21.416037878788263
2,13,21.416037878788263
2,14,21.416037878788263
2,15,21.416037878788263
2,16,21.416037878788263
2,17,37.990475966562116
2,18,37.990475966562116
2,19,37.990475966562116
2,20,37.990475966562116
2,21,21.416037878788263
2,22,21.416037878788263
2,23,21.416037878788263
3,0,20.75947222222268
3,1,20.75947222222268
3,2,20.75947222222268
3,3,20.75947222222268
3,4,20.75947222222268
3,5,20.75947222222268
3,6,36.70936200716845
3,7,36.70936200716845
3,8,36.70936200716845
3,9,36.70936200716845
3,10,20.75947222222268
3,11,20.75947222222268
3,12,20.75947222222268
3,13,20.75947222222268
3,14,20.75947222222268
3,15,20.75947222222268
3,16,20.75947222222268
3,17,36.70936200716845
3,18,36.70936200716845
3,19,36.70936200716845
3,20,36.70936200716845
3,21,20.75947222222268
3,22,20.75947222222268
3,23,20.75947222222268
4,0,21.184308823529825
4,1,21.184308823529825
4,2,21.184308823529825
4,3,21.184308823529825
4,4,21.184308823529825
4,5,21.184308823529825
4,6,37.17684901960778
4,7,37.17684901960778
4,8,37.17684901960778
4,9,37.17684901960778
4,10,21.184308823529825
4,11,21.184308823529825
4,12,21.184308823529825
4,13,21.184308823529825
4,14,21.184308823529825
4,15,21.184308823529825
4,16,21.184308823529825
4,17,37.17684901960778
4,18,37.17684901960778
4,19,37.17684901960778
4,20,37.17684901960778
4,21,21.184308823529825
4,22,21.184308823529825
4,23,21.184308823529825
5,0,26.666338709677245
5,1,26.666338709677245
5,2,26.666338709677245
5,3,26.666338709677245
5,4,26.666338709677245
5,5,26.666338709677245
5,6,26.666338709677245
5,7,26.666338709677245
5,8,26.666338709677245
5,9,26.666338709677245
5,10,26.666338709677245
5,11,26.666338709677245
5,12,26.666338709677245
5,13,26.666338709677245
5,14,58.64442473118288
5,15,58.64442473118288
5,16,58.64442473118288
5,17,58.64442473118288
5,18,58.64442473118288
5,19,58.64442473118288
5,20,26.666338709677245
5,21,26.666338709677245
5,22,26.666338709677245
5,23,26.666338709677245
6,0,27.103166666666475
6,1,27.103166666666475
6,2,27.103166666666475
6,3,27.103166666666475
6,4,27.103166666666475
6,5,27.103166666666475
6,6,27.103166666666475
6,7,27.103166666666475
6,8,27.103166666666475
6,9,27.103166666666475
6,10,27.103166666666475
6,11,27.103166666666475
6,12,27.103166666666475
6,13,27.103166666666475
6,14,59.50738888888887
6,15,59.50738888888887
6,16,59.50738888888887
6,17,59.50738888888887
6,18,59.50738888888887
6,19,59.50738888888887
6,20,27.103166666666475
6,21,27.103166666666475
6,22,27.103166666666475
6,23,27.103166666666475
7,0,26.666338709677245
7,1,26.666338709677245
7,2,26.666338709677245
7,3,26.666338709677245
7,4,26.666338709677245
7,5,26.666338709677245
7,6,26.666338709677245
7,7,26.666338709677245
7,8,26.666338709677245
7,9,26.666338709677245
7,10,26.666338709677245
7,11,26.666338709677245
7,12,26.666338709677245
7,13,26.666338709677245
7,14,58.64442473118288
7,15,58.64442473118288
7,16,58.64442473118288
7,17,58.64442473118288
7,18,58.64442473118288
7,19,58.64442473118288
7,20,26.666338709677245
7,21,26.666338709677245
7,22,26.666338709677245
7,23,26.666338709677245
8,0,26.666338709677277
8,1,26.666338709677277
8,2,26.666338709677277
8,3,26.666338709677277
8,4,26.666338709677277
8,5,26.666338709677277
8,6,26.666338709677277
8,7,26.666338709677277
8,8,26.666338709677277
8,9,26.666338709677277
8,10,26.666338709677277
8,11,26.666338709677277
8,12,26.666338709677277
8,13,26.666338709677277
8,14,58.43803763440866
8,15,58.43803763440866
8,16,58.43803763440866
8,17,58.43803763440866
8,18,58.43803763440866
8,19,58.43803763440866
8,20,26.666338709677277
8,21,26.666338709677277
8,22,26.666338709677277
8,23,26.666338709677277
9,0,27.10316666666648
9,1,27.10316666666648
9,2,27.10316666666648
9,3,27.10316666666648
9,4,27.10316666666648
9,5,27.10316666666648
9,6,27.10316666666648
9,7,27.10316666666648
9,8,27.10316666666648
9,9,27.10316666666648
9,10,27.10316666666648
9,11,27.10316666666648
9,12,27.10316666666648
9,13,27.10316666666648
9,14,59.720655555555574
9,15,59.720655555555574
9,16,59.720655555555574
9,17,59.720655555555574
9,18,59.720655555555574
9,19,59.720655555555574
9,20,27.10316666666648
9,21,27.10316666666648
9,22,27.10316666666648
9,23,27.10316666666648
10,0,20.965821428571864
10,1,20.965821428571864
10,2,20.965821428571864
10,3,20.965821428571864
10,4,20.965821428571864
10,5,20.965821428571864
10,6,36.41913133640546
10,7,36.41913133640546
10,8,36.41913133640546
10,9,36.41913133640546
10,10,20.965821428571864
10,11,20.965821428571864
10,12,20.965821428571864
10,13,20.965821428571864
10,14,20.965821428571864
10,15,20.965821428571864
10,16,20.965821428571864
10,17,36.41913133640546
10,18,36.41913133640546
10,19,36.41913133640546
10,20,36.41913133640546
10,21,20.965821428571864
10,22,20.965821428571864
10,23,20.965821428571864
11,0,21.073481884058392
11,1,21.073481884058392
11,2,21.073481884058392
11,3,21.073481884058392
11,4,21.073481884058392
11,5,21.073481884058392
11,6,37.33522789855069
11,7,37.33522789855069
11,8,37.33522789855069
11,9,37.33522789855069
11,10,21.073481884058392
11,11,21.073481884058392
11,12,21.073481884058392
11,13,21.073481884058392
11,14,21.073481884058392
11,15,21.073481884058392
11,16,21.073481884058392
11,17,37.33522789855069
11,18,37.33522789855069
11,19,37.33522789855069
11,20,37.33522789855069
11,21,21.073481884058392
11,22,21.073481884058392
11,23,21.073481884058392
12,0,20.86119366197228
12,1,20.86119366197228
12,2,20.86119366197228
12,3,20.86119366197228
12,4,20.86119366197228
12,5,20.86119366197228
12,6,36.56715299863695
12,7,36.56715299863695
12,8,36.56715299863695
12,9,36.56715299863695
12,10,20.86119366197228
12,11,20.86119366197228
12,12,20.86119366197228
12,13,20.86119366197228
12,14,20.86119366197228
12,15,20.86119366197228
