Month,Hour,Cost
1,0,15.451150375939587
1,1,15.451150375939587
1,2,15.451150375939587
1,3,15.451150375939587
1,4,15.451150375939587
1,5,15.451150375939587
1,6,15.451150375939587
1,7,21.396635580887498
1,8,21.396635580887498
1,9,21.396635580887498
1,10,21.396635580887498
1,11,21.396635580887498
1,12,21.396635580887498
1,13,21.396635580887498
1,14,21.396635580887498
1,15,21.396635580887498
1,16,21.396635580887498
1,17,21.396635580887498
1,18,21.396635580887498
1,19,21.396635580887498
1,20,21.396635580887498
1,21,21.396635580887498
1,22,15.451150375939587
1,23,15.451150375939587
2,0,15.72564566929108
2,1,15.72564566929108
2,2,15.72564566929108
2,3,15.72564566929108
2,4,15.72564566929108
2,5,15.72564566929108
2,6,15.72564566929108
2,7,22.263471219114678
2,8,22.263471219114678
2,9,22.263471219114678
2,10,22.263471219114678
2,11,22.263471219114678
2,12,22.263471219114678
2,13,22.263471219114678
2,14,22.263471219114678
2,15,22.263471219114678
2,16,22.263471219114678
2,17,22.263471219114678
2,18,22.263471219114678
2,19,22.263471219114678
2,20,22.263471219114678
2,21,22.263471219114678
2,22,15.72564566929108
2,23,15.72564566929108
3,0,15.044846153845883
3,1,15.044846153845883
3,2,15.044846153845883
3,3,15.044846153845883
3,4,15.044846153845883
3,5,15.044846153845883
3,6,15.044846153845883
3,7,21.62206327543406
3,8,21.62206327543406
3,9,21.62206327543406
3,10,21.62206327543406
3,11,21.62206327543406
3,12,21.62206327543406
3,13,21.62206327543406
3,14,21.62206327543406
3,15,21.62206327543406
3,16,21.62206327543406
3,17,21.62206327543406
3,18,21.62206327543406
3,19,21.62206327543406
3,20,21.62206327543406
3,21,21.62206327543406
3,22,15.044846153845883
3,23,15.044846153845883
4,0,15.585230769230508
4,1,15.585230769230508
4,2,15.585230769230508
4,3,15.585230769230508
4,4,15.585230769230508
4,5,15.585230769230508
4,6,15.585230769230508
4,7,21.814761538461347
4,8,21.814761538461347
4,9,21.814761538461347
4,10,21.814761538461347
4,11,21.814761538461347
4,12,21.814761538461347
4,13,21.814761538461347
4,14,21.814761538461347
4,15,21.814761538461347
4,16,21.814761538461347
4,17,21.814761538461347
4,18,21.814761538461347
4,19,21.814761538461347
4,20,21.814761538461347
4,21,21.814761538461347
4,22,15.585230769230508
4,23,15.585230769230508
5,0,15.451150375939587
5,1,15.451150375939587
5,2,15.451150375939587
5,3,15.451150375939587
5,4,15.451150375939587
5,5,15.451150375939587
5,6,15.451150375939587
5,7,21.396635580887498
5,8,21.396635580887498
5,9,21.396635580887498
5,10,21.396635580887498
5,11,21.396635580887498
5,12,21.396635580887498
5,13,21.396635580887498
5,14,21.396635580887498
5,15,21.396635580887498
5,16,21.396635580887498
5,17,21.396635580887498
