Month,Hour,Cost
1,0,1006.4594999999985
1,1,1006.4594999999985
1,2,1006.4594999999985
1,3,1006.4594999999985
1,4,1006.4594999999985
1,5,1006.4594999999985
1,6,1006.4594999999985
1,7,1006.4594999999985
1,8,1006.4594999999985
1,9,1006.4594999999985
1,10,1006.4594999999985
1,11,1006.4594999999985
1,12,1006.4594999999985
1,13,1006.4594999999985
1,14,1006.4594999999985
1,15,1006.4594999999985
1,16,1006.4594999999985
1,17,1006.4594999999985
1,18,1006.4594999999985
1,19,1006.4594999999985
1,20,1006.4594999999985
1,21,1006.4594999999985
1,22,1006.4594999999985
1,23,1006.4594999999985
2,0,1006.4594999999985
2,1,1006.4594999999985
2,2,1006.4594999999985
2,3,1006.4594999999985
2,4,1006.4594999999985
2,5,1006.4594999999985
2,6,1006.4594999999985
2,7,1006.4594999999985
2,8,1006.4594999999985
2,9,1006.4594999999985
2,10,1006.4594999999985
2,11,1006.4594999999985
2,12,1006.4594999999985
2,13,1006.4594999999985
2,14,1006.4594999999985
2,15,1006.4594999999985
2,16,1006.4594999999985
2,17,1006.4594999999985
2,18,1006.4594999999985
2,19,1006.4594999999985
2,20,1006.4594999999985
2,21,1006.4594999999985
2,22,1006.4594999999985
2,23,1006.4594999999985
3,0,1006.4594999999985
3,1,1006.4594999999985
3,2,1006.4594999999985
3,3,1006.4594999999985
3,4,1006.4594999999985
3,5,1006.4594999999985
3,6,1006.4594999999985
3,7,1006.4594999999985
3,8,1006.4594999999985
3,9,1006.4594999999985
3,10,1006.4594999999985
3,11,1006.4594999999985
3,12,1006.4594999999985
3,13,1006.4594999999985
3,14,1006.4594999999985
3,15,1006.4594999999985
3,16,1006.4594999999985
3,17,1006.4594999999985
3,18,1006.4594999999985
3,19,1006.4594999999985
3,20,1006.4594999999985
3,21,1006.4594999999985
3,22,1006.4594999999985
3,23,1006.4594999999985
4,0,1006.4594999999985
4,1,1006.4594999999985
4,2,1006.4594999999985
4,3,1006.4594999999985
4,4,1006.4594999999985
4,5,1006.4594999999985
4,6,1006.4594999999985
4,7,1006.4594999999985
4,8,1006.4594999999985
4,9,1006.4594999999985
4,10,1006.4594999999985
4,11,1006.4594999999985
4,12,1006.4594999999985
4,13,1006.4594999999985
4,14,1006.4594999999985
4,15,1006.4594999999985
4,16,1006.4594999999985
4,17,1006.4594999999985
4,18,1006.4594999999985
4,19,1006.4594999999985
4,20,1006.4594999999985
4,21,1006.4594999999985
4,22,1006.4594999999985
4,23,1006.4594999999985
5,0,1006.4594999999985
5,1,1006.4594999999985
5,2,1006.4594999999985
5,3,1006.4594999999985
5,4,1006.4594999999985
5,5,1006.4594999999985
5,6,1006.4594999999985
5,7,1006.4594999999985
5,8,1006.4594999999985
5,9,1006.4594999999985
5,10,1006.4594999999985
5,11,1006.4594999999985
5,12,1006.4594999999985
5,13,1006.4594999999985
5,14,1006.4594999999985
5,15,1006.4594999999985
5,16,1006.4594999999985
5,17,1006.4594999999985
5,18,1006.4594999999985
5,19,1006.4594999999985
5,20,1006.4594999999985
5,21,1006.4594999999985
5,22,1006.4594999999985
5,23,1006.4594999999985
6,0,1006.4594999999985
6,1,1006.4594999999985
6,2,1006.4594999999985
6,3,1006.4594999999985
6,4,1006.4594999999985
6,5,1006.4594999999985
6,6,1006.4594999999985
6,7,1006.4594999999985
6,8,1006.4594999999985
6,9,1006.4594999999985
6,10,1006.4594999999985
6,11,1006.4594999999985
6,12,1006.4594999999985
6,13,1006.4594999999985
6,14,1006.4594999999985
6,15,1006.4594999999985
6,16,1006.4594999999985
6,17,1006.4594999999985
6,18,1006.4594999999985
6,19,1006.4594999999985
6,20,1006.4594999999985
6,21,1006.4594999999985
6,22,1006.4594999999985
6,23,1006.4594999999985
7,0,1006.4594999999985
7,1,1006.4594999999985
7,2,1006.4594999999985
7,3,1006.4594999999985
7,4,1006.4594999999985
7,5,1006.4594999999985
7,6,1006.4594999999985
7,7,1006.4594999999985
7,8,1006.4594999999985
7,9,1006.4594999999985
7,10,1006.4594999999985
7,11,1006.4594999999985
7,12,1006.4594999999985
7,13,1006.4594999999985
7,14,1006.4594999999985
7,15,1006.4594999999985
7,16,1006.4594999999985
7,17,1006.4594999999985
7,18,1006.4594999999985
7,19,1006.4594999999985
7,20,1006.4594999999985
7,21,1006.4594999999985
7,22,1006.4594999999985
7,23,1006.4594999999985
8,0,1006.4594999999985
8,1,1006.4594999999985
8,2,1006.4594999999985
8,3,1006.4594999999985
8,4,1006.4594999999985
8,5,1006.4594999999985
8,6,1006.4594999999985
8,7,1006.4594999999985
8,8,1006.4594999999985
8,9,1006.4594999999985
8,10,1006.4594999999985
8,11,1006.4594999999985
8,12,1006.4594999999985
8,13,1006.4594999999985
8,14,1006.4594999999985
8,15,1006.4594999999985
8,16,1006.4594999999985
8,17,1006.4594999999985
8,18,1006.4594999999985
8,19,1006.4594999999985
8,20,1006.4594999999985
8,21,1006.4594999999985
8,22,1006.4594999999985
8,23,1006.4594999999985
9,0,1006.4594999999985
9,1,1006.4594999999985
9,2,1006.4594999999985
9,3,1006.4594999999985
9,4,1006.4594999999985
9,5,1006.4594999999985
9,6,1006.4594999999985
9,7,1006.4594999999985
9,8,1006.4594999999985
9,9,1006.4594999999985
9,10,1006.4594999999985
9,11,1006.4594999999985
9,12,1006.4594999999985
9,13,1006.4594999999985
9,14,1006.4594999999985
9,15,1006.4594999999985
9,16,1006.4594999999985
9,17,1006.4594999999985
9,18,1006.4594999999985
9,19,1006.4594999999985
9,20,1006.4594999999985
9,21,1006.4594999999985
9,22,1006.4594999999985
9,23,1006.4594999999985
10,0,1006.4594999999985
10,1,1006.4594999999985
10,2,1006.4594999999985
10,3,1006.4594999999985
10,4,1006.4594999999985
10,5,1006.4594999999985
10,6,1006.4594999999985
10,7,1006.4594999999985
10,8,1006.4594999999985
10,9,1006.4594999999985
10,10,1006.4594999999985
10,11,1006.4594999999985
10,12,1006.4594999999985
10,13,1006.4594999999985
10,14,1006.4594999999985
10,15,1006.4594999999985
10,16,1006.4594999999985
10,17,1006.4594999999985
10,18,1006.4594999999985
10,19,1006.4594999999985
10,20,1006.4594999999985
10,21,1006.4594999999985
10,22,1006.4594999999985
10,23,1006.4594999999985
11,0,1006.4594999999985
11,1,1006.4594999999985
11,2,1006.4594999999985
11,3,1006.4594999999985
11,4,1006.4594999999985
11,5,1006.4594999999985
11,6,1006.4594999999985
11,7,1006.4594999999985
11,8,1006.4594999999985
11,9,1006.4594999999985
11,10,1006.4594999999985
11,11,1006.4594999999985
11,12,1006.4594999999985
11,13,1006.4594999999985
11,14,1006.4594999999985
11,15,1006.4594999999985
11,16,1006.4594999999985
11,17,1006.4594999999985
11,18,1006.4594999999985
11,19,1006.4594999999985
11,20,1006.4594999999985
11,21,1006.4594999999985
11,22,1006.4594999999985
11,23,1006.4594999999985
12,0,1006.4594999999985
12,1,1006.4594999999985
12,2,1006.4594999999985
12,3,1006.4594999999985
12,4,1006.4594999999985
12,5,1006.4594999999985
12,6,1006.4594999999985
12,7,1006.4594999999985
12,8,1006.4594999999985
12,9,1006.4594999999985
12,10,1006.4594999999985
12,11,1006.4594999999985
12,12,1006.4594999999985
12,13,1006.4594999999985
12,14,1006.4594999999985
12,15,1006.4594999999985
12,16,1006.4594999999985
12,17,1006.4594999999985
12,18,1006.4594999999985
12,19,1006.4594999999985
12,20,1006.4594999999985
12,21,1006.4594999999985
12,22,1006.4594999999985
12,23,1006.4594999999985
