Month,Hour,Cost
1,0,1265.5564999999997
1,1,1265.5564999999997
1,2,1265.5564999999997
1,3,1265.5564999999997
1,4,1265.5564999999997
1,5,1265.5564999999997
1,6,1265.5564999999997
1,7,3537.9628064515523
1,8,3537.9628064515523
1,9,3537.9628064515523
1,10,3537.9628064515523
1,11,3537.9628064515523
1,12,3537.9628064515523
1,13,3537.9628064515523
1,14,3537.9628064515523
1,15,3537.9628064515523
1,16,3537.9628064515523
1,17,3537.9628064515523
1,18,1265.5564999999997
1,19,1265.5564999999997
1,20,1265.5564999999997
1,21,1265.5564999999997
1,22,1265.5564999999997
1,23,1265.5564999999997
2,0,1265.55650000001
2,1,1265.55650000001
2,2,1265.55650000001
2,3,1265.55650000001
2,4,1265.55650000001
2,5,1265.55650000001
2,6,1265.55650000001
2,7,3483.452310344778
2,8,3483.452310344778
2,9,3483.452310344778
2,10,3483.452310344778
2,11,3483.452310344778
2,12,3483.452310344778
2,13,3483.452310344778
2,14,3483.452310344778
2,15,3483.452310344778
2,16,3483.452310344778
2,17,3483.452310344778
2,18,1265.55650000001
2,19,1265.55650000001
2,20,1265.55650000001
2,21,1265.55650000001
2,22,1265.55650000001
2,23,1265.55650000001
3,0,1265.5564999999915
3,1,1265.5564999999915
3,2,1265.5564999999915
3,3,1265.5564999999915
3,4,1265.5564999999915
3,5,1265.5564999999915
3,6,1265.5564999999915
3,7,3340.362258064464
3,8,3340.362258064464
3,9,3340.362258064464
3,10,3340.362258064464
3,11,3340.362258064464
3,12,3340.362258064464
3,13,3340.362258064464
3,14,3340.362258064464
3,15,3340.362258064464
3,16,3340.362258064464
3,17,3340.362258064464
3,18,1265.5564999999915
3,19,1265.5564999999915
3,20,1265.5564999999915
3,21,1265.5564999999915
3,22,1265.5564999999915
3,23,1265.5564999999915
4,0,1265.5565000000047
4,1,1265.5565000000047
4,2,1265.5565000000047
4,3,1265.5565000000047
4,4,1265.5565000000047
4,5,1265.5565000000047
4,6,1265.5565000000047
4,7,3511.616066666612
4,8,3511.616066666612
4,9,3511.616066666612
4,10,3511.616066666612
4,11,3511.616066666612
4,12,3511.616066666612
4,13,3511.616066666612
4,14,3511.616066666612
4,15,3511.616066666612
4,16,3511.616066666612
4,17,3511.616066666612
4,18,1265.5565000000047
4,19,1265.5565000000047
4,20,1265.5565000000047
4,21,1265.5565000000047
4,22,1265.5565000000047
4,23,1265.5565000000047
5,0,1265.5564999999997
5,1,1265.5564999999997
5,2,1265.5564999999997
5,3,1265.5564999999997
5,4,1265.5564999999997
5,5,1265.5564999999997
5,6,1265.5564999999997
5,7,3537.9628064515523
5,8,3537.9628064515523
5,9,3537.9628064515523
5,10,3537.9628064515523
5,11,3537.9628064515523
5,12,3537.9628064515523
5,13,3537.9628064515523
5,14,3537.9628064515523
5,15,3537.9628064515523
5,16,3537.9628064515523
5,17,3537.9628064515523
5,18,1265.5564999999997
5,19,1265.5564999999997
5,20,1265.5564999999997
5,21,1265.5564999999997
5,22,1265.5564999999997
5,23,1265.5564999999997
6,0,1471.502499999949
6,1,1471.502499999949
6,2,1471.502499999949
6,3,1471.502499999949
6,4,1471.502499999949
6,5,1471.502499999949
6,6,1471.502499999949
6,7,1471.502499999949
6,8,1471.502499999949
6,9,1471.502499999949
6,10,1471.502499999949
6,11,1471.502499999949
6,12,1471.502499999949
6,13,3887.2474999999663
6,14,3887.2474999999663
6,15,3887.2474999999663
6,16,3887.2474999999663
6,17,3887.2474999999663
6,18,3887.2474999999663
6,19,3887.2474999999663
