Month,Hour,Cost
1,0,4635.508999999999
1,1,4635.508999999999
1,2,4635.508999999999
1,3,4635.508999999999
1,4,4635.508999999999
1,5,4635.508999999999
1,6,4635.508999999999
1,7,4635.508999999999
1,8,4635.508999999999
1,9,4635.508999999999
1,10,4635.508999999999
1,11,4635.508999999999
1,12,4635.508999999999
1,13,4635.508999999999
1,14,4635.508999999999
1,15,4635.508999999999
1,16,4635.508999999999
1,17,4635.508999999999
1,18,4635.508999999999
1,19,4635.508999999999
1,20,4635.508999999999
1,21,4635.508999999999
1,22,4635.508999999999
1,23,4635.508999999999
2,0,4635.508999999999
2,1,4635.508999999999
2,2,4635.508999999999
2,3,4635.508999999999
2,4,4635.508999999999
2,5,4635.508999999999
2,6,4635.508999999999
2,7,4635.508999999999
2,8,4635.508999999999
2,9,4635.508999999999
2,10,4635.508999999999
2,11,4635.508999999999
2,12,4635.508999999999
2,13,4635.508999999999
2,14,4635.508999999999
2,15,4635.508999999999
2,16,4635.508999999999
2,17,4635.508999999999
2,18,4635.508999999999
2,19,4635.508999999999
2,20,4635.508999999999
2,21,4635.508999999999
2,22,4635.508999999999
2,23,4635.508999999999
3,0,4635.508999999999
3,1,4635.508999999999
3,2,4635.508999999999
3,3,4635.508999999999
3,4,4635.508999999999
3,5,4635.508999999999
3,6,4635.508999999999
3,7,4635.508999999999
3,8,4635.508999999999
3,9,4635.508999999999
3,10,4635.508999999999
3,11,4635.508999999999
3,12,4635.508999999999
3,13,4635.508999999999
3,14,4635.508999999999
3,15,4635.508999999999
3,16,4635.508999999999
3,17,4635.508999999999
3,18,4635.508999999999
3,19,4635.508999999999
3,20,4635.508999999999
3,21,4635.508999999999
3,22,4635.508999999999
3,23,4635.508999999999
4,0,4635.508999999999
4,1,4635.508999999999
4,2,4635.508999999999
4,3,4635.508999999999
4,4,4635.508999999999
4,5,4635.508999999999
4,6,4635.508999999999
4,7,4635.508999999999
4,8,4635.508999999999
4,9,4635.508999999999
4,10,4635.508999999999
4,11,4635.508999999999
4,12,4635.508999999999
4,13,4635.508999999999
4,14,4635.508999999999
4,15,4635.508999999999
4,16,4635.508999999999
4,17,4635.508999999999
4,18,4635.508999999999
4,19,4635.508999999999
4,20,4635.508999999999
4,21,4635.508999999999
4,22,4635.508999999999
4,23,4635.508999999999
5,0,4635.508999999999
5,1,4635.508999999999
5,2,4635.508999999999
5,3,4635.508999999999
5,4,4635.508999999999
5,5,4635.508999999999
5,6,4635.508999999999
5,7,4635.508999999999
5,8,4635.508999999999
5,9,4635.508999999999
5,10,4635.508999999999
5,11,4635.508999999999
5,12,4635.508999999999
5,13,4635.508999999999
5,14,4635.508999999999
5,15,4635.508999999999
5,16,4635.508999999999
5,17,4635.508999999999
5,18,4635.508999999999
5,19,4635.508999999999
5,20,4635.508999999999
5,21,4635.508999999999
5,22,4635.508999999999
5,23,4635.508999999999
6,0,5400.508999999999
6,1,5400.508999999999
6,2,5400.508999999999
6,3,5400.508999999999
6,4,5400.508999999999
6,5,5400.508999999999
6,6,5400.508999999999
6,7,5400.508999999999
6,8,5400.508999999999
6,9,5400.508999999999
6,10,5400.508999999999
6,11,5400.508999999999
6,12,5400.508999999999
6,13,5400.508999999999
6,14,5400.508999999999
6,15,5400.508999999999
6,16,5400.508999999999
6,17,5400.508999999999
6,18,5400.508999999999
6,19,5400.508999999999
6,20,5400.508999999999
6,21,5400.508999999999
6,22,5400.508999999999
6,23,5400.508999999999
7,0,5400.508999999999
7,1,5400.508999999999
7,2,5400.508999999999
7,3,5400.508999999999
7,4,5400.508999999999
7,5,5400.508999999999
7,6,5400.508999999999
7,7,5400.508999999999
7,8,5400.508999999999
7,9,5400.508999999999
7,10,5400.508999999999
7,11,5400.508999999999
7,12,5400.508999999999
7,13,5400.508999999999
7,14,5400.508999999999
7,15,5400.508999999999
7,16,5400.508999999999
7,17,5400.508999999999
7,18,5400.508999999999
7,19,5400.508999999999
7,20,5400.508999999999
7,21,5400.508999999999
7,22,5400.508999999999
7,23,5400.508999999999
8,0,5400.508999999999
8,1,5400.508999999999
8,2,5400.508999999999
8,3,5400.508999999999
8,4,5400.508999999999
8,5,5400.508999999999
8,6,5400.508999999999
8,7,5400.508999999999
8,8,5400.508999999999
8,9,5400.508999999999
8,10,5400.508999999999
8,11,5400.508999999999
8,12,5400.508999999999
8,13,5400.508999999999
8,14,5400.508999999999
8,15,5400.508999999999
8,16,5400.508999999999
8,17,5400.508999999999
8,18,5400.508999999999
8,19,5400.508999999999
8,20,5400.508999999999
8,21,5400.508999999999
8,22,5400.508999999999
8,23,5400.508999999999
9,0,5400.508999999999
9,1,5400.508999999999
9,2,5400.508999999999
9,3,5400.508999999999
9,4,5400.508999999999
9,5,5400.508999999999
9,6,5400.508999999999
9,7,5400.508999999999
9,8,5400.508999999999
9,9,5400.508999999999
9,10,5400.508999999999
9,11,5400.508999999999
9,12,5400.508999999999
9,13,5400.508999999999
9,14,5400.508999999999
9,15,5400.508999999999
9,16,5400.508999999999
9,17,5400.508999999999
9,18,5400.508999999999
9,19,5400.508999999999
9,20,5400.508999999999
9,21,5400.508999999999
9,22,5400.508999999999
9,23,5400.508999999999
10,0,4635.508999999999
10,1,4635.508999999999
10,2,4635.508999999999
10,3,4635.508999999999
10,4,4635.508999999999
10,5,4635.508999999999
10,6,4635.508999999999
10,7,4635.508999999999
10,8,4635.508999999999
10,9,4635.508999999999
10,10,4635.508999999999
10,11,4635.508999999999
10,12,4635.508999999999
10,13,4635.508999999999
10,14,4635.508999999999
10,15,4635.508999999999
10,16,4635.508999999999
10,17,4635.508999999999
10,18,4635.508999999999
10,19,4635.508999999999
10,20,4635.508999999999
10,21,4635.508999999999
10,22,4635.508999999999
10,23,4635.508999999999
11,0,4635.508999999999
11,1,4635.508999999999
11,2,4635.508999999999
11,3,4635.508999999999
11,4,4635.508999999999
11,5,4635.508999999999
11,6,4635.508999999999
11,7,4635.508999999999
11,8,4635.508999999999
11,9,4635.508999999999
11,10,4635.508999999999
11,11,4635.508999999999
11,12,4635.508999999999
11,13,4635.508999999999
11,14,4635.508999999999
11,15,4635.508999999999
11,16,4635.508999999999
11,17,4635.508999999999
11,18,4635.508999999999
11,19,4635.508999999999
11,20,4635.508999999999
11,21,4635.508999999999
11,22,4635.508999999999
11,23,4635.508999999999
12,0,4635.508999999999
12,1,4635.508999999999
12,2,4635.508999999999
12,3,4635.508999999999
12,4,4635.508999999999
12,5,4635.508999999999
12,6,4635.508999999999
12,7,4635.508999999999
12,8,4635.508999999999
12,9,4635.508999999999
12,10,4635.508999999999
12,11,4635.508999999999
12,12,4635.508999999999
12,13,4635.508999999999
12,14,4635.508999999999
12,15,4635.508999999999
12,16,4635.508999999999
12,17,4635.508999999999
12,18,4635.508999999999
12,19,4635.508999999999
12,20,4635.508999999999
12,21,4635.508999999999
12,22,4635.508999999999
12,23,4635.508999999999
