Month,Hour,Cost
1,0,1148.1237499999993
1,1,1148.1237499999993
1,2,1148.1237499999993
1,3,1148.1237499999993
1,4,1148.1237499999993
1,5,1148.1237499999993
1,6,1148.1237499999993
1,7,1148.1237499999993
1,8,1148.1237499999993
1,9,1148.1237499999993
1,10,3200.6237499999993
1,11,3200.6237499999993
1,12,3200.6237499999993
1,13,3200.6237499999993
1,14,3200.6237499999993
1,15,3200.6237499999993
1,16,3200.6237499999993
1,17,3200.6237499999993
1,18,1148.1237499999993
1,19,1148.1237499999993
1,20,1148.1237499999993
1,21,1148.1237499999993
1,22,1148.1237499999993
1,23,1148.1237499999993
2,0,1148.1237499999993
2,1,1148.1237499999993
2,2,1148.1237499999993
2,3,1148.1237499999993
2,4,1148.1237499999993
2,5,1148.1237499999993
2,6,1148.1237499999993
2,7,1148.1237499999993
2,8,1148.1237499999993
2,9,1148.1237499999993
2,10,3200.6237499999993
2,11,3200.6237499999993
2,12,3200.6237499999993
2,13,3200.6237499999993
2,14,3200.6237499999993
2,15,3200.6237499999993
2,16,3200.6237499999993
2,17,3200.6237499999993
2,18,1148.1237499999993
2,19,1148.1237499999993
2,20,1148.1237499999993
2,21,1148.1237499999993
2,22,1148.1237499999993
2,23,1148.1237499999993
3,0,1148.1237499999993
3,1,1148.1237499999993
3,2,1148.1237499999993
3,3,1148.1237499999993
3,4,1148.1237499999993
3,5,1148.1237499999993
3,6,1148.1237499999993
3,7,1148.1237499999993
3,8,1148.1237499999993
3,9,1148.1237499999993
3,10,3200.6237499999993
3,11,3200.6237499999993
3,12,3200.6237499999993
3,13,3200.6237499999993
3,14,3200.6237499999993
3,15,3200.6237499999993
3,16,3200.6237499999993
3,17,3200.6237499999993
3,18,1148.1237499999993
3,19,1148.1237499999993
3,20,1148.1237499999993
3,21,1148.1237499999993
3,22,1148.1237499999993
3,23,1148.1237499999993
4,0,1148.1237499999993
4,1,1148.1237499999993
4,2,1148.1237499999993
4,3,1148.1237499999993
4,4,1148.1237499999993
4,5,1148.1237499999993
4,6,1148.1237499999993
4,7,1148.1237499999993
4,8,1148.1237499999993
4,9,1148.1237499999993
4,10,3200.6237499999993
4,11,3200.6237499999993
4,12,3200.6237499999993
4,13,3200.6237499999993
4,14,3200.6237499999993
4,15,3200.6237499999993
4,16,3200.6237499999993
4,17,3200.6237499999993
4,18,1148.1237499999993
4,19,1148.1237499999993
4,20,1148.1237499999993
4,21,1148.1237499999993
4,22,1148.1237499999993
4,23,1148.1237499999993
5,0,1148.1237499999993
5,1,1148.1237499999993
5,2,1148.1237499999993
5,3,1148.1237499999993
5,4,1148.1237499999993
5,5,1148.1237499999993
5,6,1148.1237499999993
5,7,1148.1237499999993
5,8,1148.1237499999993
5,9,1148.1237499999993
5,10,3200.6237499999993
5,11,3200.6237499999993
5,12,3200.6237499999993
5,13,3200.6237499999993
5,14,3200.6237499999993
5,15,3200.6237499999993
5,16,3200.6237499999993
5,17,3200.6237499999993
5,18,1148.1237499999993
5,19,1148.1237499999993
5,20,1148.1237499999993
5,21,1148.1237499999993
5,22,1148.1237499999993
5,23,1148.1237499999993
6,0,1148.1237499999993
6,1,1148.1237499999993
6,2,1148.1237499999993
6,3,1148.1237499999993
6,4,1148.1237499999993
6,5,1148.1237499999993
6,6,1148.1237499999993
6,7,1148.1237499999993
6,8,1148.1237499999993
6,9,1148.1237499999993
