Month,Hour,Cost
1,0,49.33740645161303
1,1,49.33740645161303
1,2,49.33740645161303
1,3,49.33740645161303
1,4,49.33740645161303
1,5,49.33740645161303
1,6,74.27772903225856
1,7,74.27772903225856
1,8,74.27772903225856
1,9,74.27772903225856
1,10,74.27772903225856
1,11,74.27772903225856
1,12,74.27772903225856
1,13,74.27772903225856
1,14,74.27772903225856
1,15,74.27772903225856
1,16,74.27772903225856
1,17,74.27772903225856
1,18,74.27772903225856
1,19,74.27772903225856
1,20,74.27772903225856
1,21,74.27772903225856
1,22,40.56321290322593
1,23,40.56321290322593
2,0,50.19780689655185
2,1,50.19780689655185
2,2,50.19780689655185
2,3,50.19780689655185
2,4,50.19780689655185
2,5,50.19780689655185
2,6,75.83918620689697
2,7,75.83918620689697
2,8,75.83918620689697
2,9,75.83918620689697
2,10,75.83918620689697
2,11,75.83918620689697
2,12,75.83918620689697
2,13,75.83918620689697
2,14,75.83918620689697
2,15,75.83918620689697
2,16,75.83918620689697
2,17,75.83918620689697
2,18,75.83918620689697
2,19,75.83918620689697
2,20,75.83918620689697
2,21,75.83918620689697
2,22,40.818496551724266
2,23,40.818496551724266
3,0,49.33740645161303
3,1,49.33740645161303
3,2,49.33740645161303
3,3,49.33740645161303
3,4,49.33740645161303
3,5,49.33740645161303
3,6,74.27772903225856
3,7,74.27772903225856
3,8,74.27772903225856
3,9,74.27772903225856
3,10,74.27772903225856
3,11,74.27772903225856
3,12,74.27772903225856
3,13,74.27772903225856
3,14,74.27772903225856
3,15,74.27772903225856
3,16,74.27772903225856
3,17,74.27772903225856
3,18,74.27772903225856
3,19,74.27772903225856
3,20,74.27772903225856
3,21,74.27772903225856
3,22,40.56321290322593
3,23,40.56321290322593
4,0,49.7532666666668
4,1,49.7532666666668
4,2,49.7532666666668
4,3,49.7532666666668
4,4,49.7532666666668
4,5,49.7532666666668
4,6,75.03243333333378
4,7,75.03243333333378
4,8,75.03243333333378
4,9,75.03243333333378
4,10,75.03243333333378
4,11,75.03243333333378
4,12,75.03243333333378
4,13,75.03243333333378
4,14,75.03243333333378
4,15,75.03243333333378
4,16,75.03243333333378
4,17,75.03243333333378
4,18,75.03243333333378
4,19,75.03243333333378
4,20,75.03243333333378
4,21,75.03243333333378
4,22,40.68660000000013
4,23,40.68660000000013
5,0,49.33740645161303
5,1,49.33740645161303
5,2,49.33740645161303
5,3,49.33740645161303
5,4,49.33740645161303
5,5,49.33740645161303
5,6,74.27772903225856
5,7,74.27772903225856
5,8,74.27772903225856
5,9,74.27772903225856
5,10,74.27772903225856
5,11,74.27772903225856
5,12,74.27772903225856
5,13,74.27772903225856
5,14,74.27772903225856
5,15,74.27772903225856
5,16,74.27772903225856
5,17,74.27772903225856
5,18,74.27772903225856
5,19,74.27772903225856
5,20,74.27772903225856
5,21,74.27772903225856
5,22,40.56321290322593
5,23,40.56321290322593
6,0,49.7532666666668
6,1,49.7532666666668
6,2,49.7532666666668
6,3,49.7532666666668
6,4,49.7532666666668
6,5,49.7532666666668
6,6,75.03243333333378
6,7,75.03243333333378
6,8,75.03243333333378
6,9,75.03243333333378
6,10,75.03243333333378
6,11,75.03243333333378
6,12,75.03243333333378
6,13,75.03243333333378
6,14,75.03243333333378
6,15,75.03243333333378
6,16,75.03243333333378
6,17,75.03243333333378
6,18,75.03243333333378
6,19,75.03243333333378
6,20,75.03243333333378
6,21,75.03243333333378
6,22,40.68660000000013
6,23,40.68660000000013
7,0,49.33740645161303
7,1,49.33740645161303
7,2,49.33740645161303
7,3,49.33740645161303
7,4,49.33740645161303
7,5,49.33740645161303
7,6,74.27772903225856
7,7,74.27772903225856
7,8,74.27772903225856
7,9,74.27772903225856
7,10,74.27772903225856
7,11,74.27772903225856
7,12,74.27772903225856
7,13,74.27772903225856
7,14,74.27772903225856
7,15,74.27772903225856
7,16,74.27772903225856
7,17,74.27772903225856
7,18,74.27772903225856
7,19,74.27772903225856
7,20,74.27772903225856
7,21,74.27772903225856
7,22,40.56321290322593
7,23,40.56321290322593
8,0,49.33740645161303
8,1,49.33740645161303
8,2,49.33740645161303
8,3,49.33740645161303
8,4,49.33740645161303
8,5,49.33740645161303
8,6,74.27772903225856
8,7,74.27772903225856
8,8,74.27772903225856
8,9,74.27772903225856
8,10,74.27772903225856
8,11,74.27772903225856
8,12,74.27772903225856
8,13,74.27772903225856
8,14,74.27772903225856
8,15,74.27772903225856
8,16,74.27772903225856
8,17,74.27772903225856
8,18,74.27772903225856
8,19,74.27772903225856
8,20,74.27772903225856
8,21,74.27772903225856
8,22,40.56321290322593
8,23,40.56321290322593
9,0,49.7532666666668
9,1,49.7532666666668
9,2,49.7532666666668
9,3,49.7532666666668
9,4,49.7532666666668
9,5,49.7532666666668
9,6,75.03243333333378
9,7,75.03243333333378
9,8,75.03243333333378
9,9,75.03243333333378
9,10,75.03243333333378
9,11,75.03243333333378
9,12,75.03243333333378
9,13,75.03243333333378
9,14,75.03243333333378
9,15,75.03243333333378
9,16,75.03243333333378
9,17,75.03243333333378
9,18,75.03243333333378
9,19,75.03243333333378
9,20,75.03243333333378
9,21,75.03243333333378
9,22,40.68660000000013
9,23,40.68660000000013
10,0,49.33740645161303
10,1,49.33740645161303
10,2,49.33740645161303
10,3,49.33740645161303
10,4,49.33740645161303
10,5,49.33740645161303
10,6,74.27772903225856
10,7,74.27772903225856
10,8,74.27772903225856
10,9,74.27772903225856
10,10,74.27772903225856
10,11,74.27772903225856
10,12,74.27772903225856
10,13,74.27772903225856
10,14,74.27772903225856
10,15,74.27772903225856
10,16,74.27772903225856
10,17,74.27772903225856
10,18,74.27772903225856
10,19,74.27772903225856
10,20,74.27772903225856
10,21,74.27772903225856
10,22,40.56321290322593
10,23,40.56321290322593
11,0,49.7532666666668
11,1,49.7532666666668
11,2,49.7532666666668
11,3,49.7532666666668
11,4,49.7532666666668
11,5,49.7532666666668
11,6,75.03243333333378
11,7,75.03243333333378
11,8,75.03243333333378
11,9,75.03243333333378
11,10,75.03243333333378
11,11,75.03243333333378
11,12,75.03243333333378
11,13,75.03243333333378
11,14,75.03243333333378
11,15,75.03243333333378
11,16,75.03243333333378
11,17,75.03243333333378
11,18,75.03243333333378
11,19,75.03243333333378
11,20,75.03243333333378
11,21,75.03243333333378
11,22,40.68660000000013
11,23,40.68660000000013
12,0,49.33740645161303
12,1,49.33740645161303
12,2,49.33740645161303
12,3,49.33740645161303
12,4,49.33740645161303
