Month,Hour,Cost
1,0,4429.255749999767
1,1,4429.255749999767
1,2,4429.255749999767
1,3,4429.255749999767
1,4,4429.255749999767
1,5,4429.255749999767
1,6,4429.255749999767
1,7,4429.255749999767
1,8,4429.255749999767
1,9,4429.255749999767
1,10,4429.255749999767
1,11,4429.255749999767
1,12,4429.255749999767
1,13,4429.255749999767
1,14,4429.255749999767
1,15,4429.255749999767
1,16,4429.255749999767
1,17,4429.255749999767
1,18,4429.255749999767
1,19,4429.255749999767
1,20,4429.255749999767
1,21,4429.255749999767
1,22,4429.255749999767
1,23,4429.255749999767
2,0,4429.255749999777
2,1,4429.255749999777
2,2,4429.255749999777
2,3,4429.255749999777
2,4,4429.255749999777
2,5,4429.255749999777
2,6,4429.255749999777
2,7,4429.255749999777
2,8,4429.255749999777
2,9,4429.255749999777
2,10,4429.255749999777
2,11,4429.255749999777
2,12,4429.255749999777
2,13,4429.255749999777
2,14,4429.255749999777
2,15,4429.255749999777
2,16,4429.255749999777
2,17,4429.255749999777
2,18,4429.255749999777
2,19,4429.255749999777
2,20,4429.255749999777
2,21,4429.255749999777
2,22,4429.255749999777
2,23,4429.255749999777
3,0,4429.255749999767
3,1,4429.255749999767
3,2,4429.255749999767
3,3,4429.255749999767
3,4,4429.255749999767
3,5,4429.255749999767
3,6,4429.255749999767
3,7,4429.255749999767
3,8,4429.255749999767
3,9,4429.255749999767
3,10,4429.255749999767
3,11,4429.255749999767
3,12,4429.255749999767
3,13,4429.255749999767
3,14,4429.255749999767
3,15,4429.255749999767
3,16,4429.255749999767
3,17,4429.255749999767
3,18,4429.255749999767
3,19,4429.255749999767
3,20,4429.255749999767
3,21,4429.255749999767
3,22,4429.255749999767
3,23,4429.255749999767
4,0,4429.255749999772
4,1,4429.255749999772
4,2,4429.255749999772
4,3,4429.255749999772
4,4,4429.255749999772
4,5,4429.255749999772
4,6,4429.255749999772
4,7,4429.255749999772
4,8,4429.255749999772
4,9,4429.255749999772
4,10,4429.255749999772
4,11,4429.255749999772
4,12,4429.255749999772
4,13,4429.255749999772
4,14,4429.255749999772
4,15,4429.255749999772
4,16,4429.255749999772
4,17,4429.255749999772
4,18,4429.255749999772
4,19,4429.255749999772
4,20,4429.255749999772
4,21,4429.255749999772
4,22,4429.255749999772
4,23,4429.255749999772
5,0,4429.255749999767
5,1,4429.255749999767
5,2,4429.255749999767
5,3,4429.255749999767
5,4,4429.255749999767
5,5,4429.255749999767
5,6,4429.255749999767
5,7,4429.255749999767
5,8,4429.255749999767
5,9,4429.255749999767
5,10,4429.255749999767
5,11,4429.255749999767
5,12,4429.255749999767
5,13,4429.255749999767
5,14,4429.255749999767
5,15,4429.255749999767
5,16,4429.255749999767
5,17,4429.255749999767
5,18,4429.255749999767
