Month,Hour,Cost
1,0,48.32468857240866
1,1,48.32468857240866
1,2,48.32468857240866
1,3,48.32468857240866
1,4,48.32468857240866
1,5,48.32468857240866
1,6,92.28173501487034
1,7,92.28173501487034
1,8,92.28173501487034
1,9,92.28173501487034
1,10,92.28173501487034
1,11,92.28173501487034
1,12,66.62582103637573
1,13,66.62582103637573
1,14,66.62582103637573
1,15,66.62582103637573
1,16,66.62582103637573
1,17,66.62582103637573
1,18,66.62582103637573
1,19,66.62582103637573
1,20,66.62582103637573
1,21,66.62582103637573
1,22,48.32468857240866
1,23,48.32468857240866
2,0,48.65547413793065
2,1,48.65547413793065
2,2,48.65547413793065
2,3,48.65547413793065
2,4,48.65547413793065
2,5,48.65547413793065
2,6,95.91696839080423
2,7,95.91696839080423
2,8,95.91696839080423
2,9,95.91696839080423
2,10,95.91696839080423
2,11,95.91696839080423
2,12,68.49168103448237
2,13,68.49168103448237
2,14,68.49168103448237
2,15,68.49168103448237
2,16,68.49168103448237
2,17,68.49168103448237
2,18,68.49168103448237
2,19,68.49168103448237
2,20,68.49168103448237
2,21,68.49168103448237
2,22,48.65547413793065
2,23,48.65547413793065
3,0,47.74271110056886
3,1,47.74271110056886
3,2,47.74271110056886
3,3,47.74271110056886
3,4,47.74271110056886
3,5,47.74271110056886
3,6,92.57272375079025
3,7,92.57272375079025
3,8,92.57272375079025
3,9,92.57272375079025
3,10,92.57272375079025
3,11,92.57272375079025
3,12,66.91680977229562
3,13,66.91680977229562
3,14,66.91680977229562
3,15,66.91680977229562
3,16,66.91680977229562
3,17,66.91680977229562
3,18,66.91680977229562
3,19,66.91680977229562
3,20,66.91680977229562
3,21,66.91680977229562
3,22,47.74271110056886
3,23,47.74271110056886
4,0,48.48648007246338
4,1,48.48648007246338
4,2,48.48648007246338
4,3,48.48648007246338
4,4,48.48648007246338
4,5,48.48648007246338
4,6,94.03780857487885
4,7,94.03780857487885
4,8,94.03780857487885
4,9,94.03780857487885
4,10,94.03780857487885
4,11,94.03780857487885
