Month,Hour,Cost
1,0,46.08091741020398
1,1,46.08091741020398
1,2,46.08091741020398
1,3,46.08091741020398
1,4,46.08091741020398
1,5,46.08091741020398
1,6,89.93701441317812
1,7,89.93701441317812
1,8,89.93701441317812
1,9,89.93701441317812
1,10,89.93701441317812
1,11,89.93701441317812
1,12,65.01228323038242
1,13,65.01228323038242
1,14,65.01228323038242
1,15,65.01228323038242
1,16,65.01228323038242
1,17,65.01228323038242
1,18,65.01228323038242
1,19,65.01228323038242
1,20,65.01228323038242
1,21,65.01228323038242
1,22,46.08091741020398
1,23,46.08091741020398
2,0,46.34080459770151
2,1,46.34080459770151
2,2,46.34080459770151
2,3,46.34080459770151
2,4,46.34080459770151
2,5,46.34080459770151
2,6,93.43275862069002
2,7,93.43275862069002
2,8,93.43275862069002
2,9,93.43275862069002
2,10,93.43275862069002
2,11,93.43275862069002
2,12,66.78908045977049
2,13,66.78908045977049
2,14,66.78908045977049
2,15,66.78908045977049
2,16,66.78908045977049
2,17,66.78908045977049
2,18,66.78908045977049
2,19,66.78908045977049
2,20,66.78908045977049
2,21,66.78908045977049
2,22,46.34080459770151
2,23,46.34080459770151
3,0,45.63035420619898
3,1,45.63035420619898
3,2,45.63035420619898
3,3,45.63035420619898
3,4,45.63035420619898
3,5,45.63035420619898
3,6,90.16229601518064
3,7,90.16229601518064
3,8,90.16229601518064
3,9,90.16229601518064
3,10,90.16229601518064
3,11,90.16229601518064
3,12,65.23756483238495
3,13,65.23756483238495
3,14,65.23756483238495
3,15,65.23756483238495
3,16,65.23756483238495
3,17,65.23756483238495
3,18,65.23756483238495
3,19,65.23756483238495
3,20,65.23756483238495
3,21,65.23756483238495
3,22,45.63035420619898
3,23,45.63035420619898
4,0,46.20800966183612
4,1,46.20800966183612
4,2,46.20800966183612
4,3,46.20800966183612
4,4,46.20800966183612
4,5,46.20800966183612
4,6,91.62588405797138
4,7,91.62588405797138
4,8,91.62588405797138
4,9,91.62588405797138
4,10,91.62588405797138
4,11,91.62588405797138
4,12,65.87032850241583
4,13,65.87032850241583
4,14,65.87032850241583
4,15,65.87032850241583
4,16,65.87032850241583
4,17,65.87032850241583
4,18,65.87032850241583
4,19,65.87032850241583
4,20,65.87032850241583
4,21,65.87032850241583
4,22,46.20800966183612
4,23,46.20800966183612
5,0,44.95162117452477
5,1,44.95162117452477
5,2,44.95162117452477
5,3,44.95162117452477
5,4,44.95162117452477
5,5,44.95162117452477
5,6,44.95162117452477
5,7,44.95162117452477
5,8,44.95162117452477
5,9,44.95162117452477
5,10,80.18321753515339
5,11,80.18321753515339
5,12,80.18321753515339
5,13,89.64558312655123
5,14,89.64558312655123
5,15,89.64558312655123
5,16,89.64558312655123
5,17,89.64558312655123
5,18,89.64558312655123
5,19,80.18321753515339
5,20,80.18321753515339
5,21,80.18321753515339
5,22,44.95162117452477
5,23,44.95162117452477
6,0,44.83844444444482
6,1,44.83844444444482
6,2,44.83844444444482
6,3,44.83844444444482
6,4,44.83844444444482
6,5,44.83844444444482
6,6,44.83844444444482
6,7,44.83844444444482
6,8,44.83844444444482
6,9,44.83844444444482
6,10,81.78288888888925
6,11,81.78288888888925
6,12,81.78288888888925
6,13,91.56066666666702
6,14,91.56066666666702
6,15,91.56066666666702
6,16,91.56066666666702
6,17,91.56066666666702
6,18,91.56066666666702
6,19,81.78288888888925
6,20,81.78288888888925
6,21,81.78288888888925
6,22,44.83844444444482
6,23,44.83844444444482
7,0,44.95162117452477
7,1,44.95162117452477
7,2,44.95162117452477
7,3,44.95162117452477
7,4,44.95162117452477
7,5,44.95162117452477
7,6,44.95162117452477
7,7,44.95162117452477
7,8,44.95162117452477
7,9,44.95162117452477
7,10,80.18321753515339
7,11,80.18321753515339
7,12,80.18321753515339
7,13,89.64558312655123
7,14,89.64558312655123
7,15,89.64558312655123
7,16,89.64558312655123
7,17,89.64558312655123
7,18,89.64558312655123
7,19,80.18321753515339
7,20,80.18321753515339
7,21,80.18321753515339
7,22,44.95162117452477
7,23,44.95162117452477
8,0,44.836236559140154
8,1,44.836236559140154
