Month,Hour,Cost
1,0,292.0685000000002
1,1,292.0685000000002
1,2,292.0685000000002
1,3,292.0685000000002
1,4,292.0685000000002
1,5,292.0685000000002
1,6,292.0685000000002
1,7,298.1323387096776
1,8,298.1323387096776
1,9,298.1323387096776
1,10,298.1323387096776
1,11,298.1323387096776
1,12,298.1323387096776
1,13,298.1323387096776
1,14,298.1323387096776
1,15,298.1323387096776
1,16,298.1323387096776
1,17,298.1323387096776
1,18,298.1323387096776
1,19,298.1323387096776
1,20,298.1323387096776
1,21,298.1323387096776
1,22,292.0685000000002
1,23,292.0685000000002
2,0,292.06850000000014
2,1,292.06850000000014
2,2,292.06850000000014
2,3,292.06850000000014
2,4,292.06850000000014
2,5,292.06850000000014
2,6,292.06850000000014
2,7,297.98687931034493
2,8,297.98687931034493
2,9,297.98687931034493
2,10,297.98687931034493
2,11,297.98687931034493
2,12,297.98687931034493
2,13,297.98687931034493
2,14,297.98687931034493
2,15,297.98687931034493
2,16,297.98687931034493
2,17,297.98687931034493
2,18,297.98687931034493
2,19,297.98687931034493
2,20,297.98687931034493
2,21,297.98687931034493
2,22,292.06850000000014
2,23,292.06850000000014
3,0,292.06850000000026
3,1,292.06850000000026
3,2,292.06850000000026
3,3,292.06850000000026
3,4,292.06850000000026
3,5,292.06850000000026
3,6,292.06850000000026
3,7,297.60504838709693
3,8,297.60504838709693
3,9,297.60504838709693
3,10,297.60504838709693
3,11,297.60504838709693
3,12,297.60504838709693
3,13,297.60504838709693
3,14,297.60504838709693
3,15,297.60504838709693
3,16,297.60504838709693
3,17,297.60504838709693
3,18,297.60504838709693
3,19,297.60504838709693
3,20,297.60504838709693
3,21,297.60504838709693
3,22,292.06850000000026
3,23,292.06850000000026
4,0,292.0685000000002
4,1,292.0685000000002
4,2,292.0685000000002
4,3,292.0685000000002
4,4,292.0685000000002
4,5,292.0685000000002
4,6,292.0685000000002
4,7,298.0620333333335
4,8,298.0620333333335
4,9,298.0620333333335
4,10,298.0620333333335
4,11,298.0620333333335
4,12,298.0620333333335
4,13,298.0620333333335
4,14,298.0620333333335
4,15,298.0620333333335
4,16,298.0620333333335
4,17,298.0620333333335
4,18,298.0620333333335
4,19,298.0620333333335
4,20,298.0620333333335
4,21,298.0620333333335
4,22,292.0685000000002
4,23,292.0685000000002
5,0,292.0685000000002
5,1,292.0685000000002
5,2,292.0685000000002
5,3,292.0685000000002
5,4,292.0685000000002
5,5,292.0685000000002
5,6,292.0685000000002
5,7,298.1323387096776
5,8,298.1323387096776
5,9,298.1323387096776
5,10,298.1323387096776
5,11,298.1323387096776
5,12,298.1323387096776
5,13,298.1323387096776
5,14,298.1323387096776
5,15,298.1323387096776
5,16,298.1323387096776
5,17,298.1323387096776
5,18,298.1323387096776
5,19,298.1323387096776
5,20,298.1323387096776
5,21,298.1323387096776
5,22,292.0685000000002
5,23,292.0685000000002
6,0,292.06850000000026
6,1,292.06850000000026
6,2,292.06850000000026
6,3,292.06850000000026
6,4,292.06850000000026
6,5,292.06850000000026
6,6,292.06850000000026
6,7,297.5171666666668
6,8,297.5171666666668
6,9,297.5171666666668
6,10,297.5171666666668
6,11,297.5171666666668
6,12,297.5171666666668
6,13,297.5171666666668
6,14,297.5171666666668
6,15,297.5171666666668
6,16,297.5171666666668
6,17,297.5171666666668
6,18,297.5171666666668
6,19,297.5171666666668
6,20,297.5171666666668
6,21,297.5171666666668
6,22,292.06850000000026
6,23,292.06850000000026
7,0,292.0685000000002
7,1,292.0685000000002
7,2,292.0685000000002
7,3,292.0685000000002
7,4,292.0685000000002
7,5,292.0685000000002
7,6,292.0685000000002
7,7,298.1323387096776
7,8,298.1323387096776
7,9,298.1323387096776
7,10,298.1323387096776
7,11,298.1323387096776
7,12,298.1323387096776
7,13,298.1323387096776
7,14,298.1323387096776
7,15,298.1323387096776
7,16,298.1323387096776
7,17,298.1323387096776
7,18,298.1323387096776
7,19,298.1323387096776
7,20,298.1323387096776
7,21,298.1323387096776
7,22,292.0685000000002
7,23,292.0685000000002
8,0,292.06850000000026
8,1,292.06850000000026
8,2,292.06850000000026
8,3,292.06850000000026
8,4,292.06850000000026
8,5,292.06850000000026
8,6,292.06850000000026
8,7,297.8686935483872
8,8,297.8686935483872
8,9,297.8686935483872
8,10,297.8686935483872
8,11,297.8686935483872
8,12,297.8686935483872
8,13,297.8686935483872
8,14,297.8686935483872
8,15,297.8686935483872
8,16,297.8686935483872
8,17,297.8686935483872
8,18,297.8686935483872
8,19,297.8686935483872
8,20,297.8686935483872
8,21,297.8686935483872
8,22,292.06850000000026
8,23,292.06850000000026
9,0,292.0685000000002
9,1,292.0685000000002
9,2,292.0685000000002
9,3,292.0685000000002
9,4,292.0685000000002
9,5,292.0685000000002
9,6,292.0685000000002
9,7,297.7896000000001
9,8,297.7896000000001
9,9,297.7896000000001
9,10,297.7896000000001
9,11,297.7896000000001
9,12,297.7896000000001
9,13,297.7896000000001
9,14,297.7896000000001
9,15,297.7896000000001
9,16,297.7896000000001
9,17,297.7896000000001
9,18,297.7896000000001
9,19,297.7896000000001
9,20,297.7896000000001
9,21,297.7896000000001
9,22,292.0685000000002
9,23,292.0685000000002
10,0,292.0685000000002
10,1,292.0685000000002
10,2,292.0685000000002
10,3,292.0685000000002
10,4,292.0685000000002
10,5,292.0685000000002
10,6,292.0685000000002
10,7,298.1323387096776
10,8,298.1323387096776
10,9,298.1323387096776
10,10,298.1323387096776
10,11,298.1323387096776
10,12,298.1323387096776
10,13,298.1323387096776
10,14,298.1323387096776
10,15,298.1323387096776
10,16,298.1323387096776
10,17,298.1323387096776
10,18,298.1323387096776
10,19,298.1323387096776
