Month,Hour,Cost
1,0,1385.7461529737895
1,1,1385.7461529737895
1,2,1385.7461529737895
1,3,1385.7461529737895
1,4,1385.7461529737895
1,5,1385.7461529737895
1,6,1385.7461529737895
1,7,1385.7461529737895
1,8,1385.7461529737895
1,9,1385.7461529737895
1,10,1385.7461529737895
1,11,1385.7461529737895
1,12,1385.7461529737895
1,13,1385.7461529737895
1,14,1385.7461529737895
1,15,1385.7461529737895
1,16,1385.7461529737895
1,17,1385.7461529737895
1,18,1385.7461529737895
1,19,1385.7461529737895
1,20,1385.7461529737895
1,21,1385.7461529737895
1,22,1385.7461529737895
1,23,1385.7461529737895
2,0,1385.7443359374995
2,1,1385.7443359374995
2,2,1385.7443359374995
2,3,1385.7443359374995
2,4,1385.7443359374995
2,5,1385.7443359374995
2,6,1385.7443359374995
2,7,1385.7443359374995
2,8,1385.7443359374995
2,9,1385.7443359374995
2,10,1385.7443359374995
2,11,1385.7443359374995
2,12,1385.7443359374995
2,13,1385.7443359374995
2,14,1385.7443359374995
2,15,1385.7443359374995
2,16,1385.7443359374995
2,17,1385.7443359374995
2,18,1385.7443359374995
2,19,1385.7443359374995
2,20,1385.7443359374995
2,21,1385.7443359374995
2,22,1385.7443359374995
2,23,1385.7443359374995
3,0,1385.7461529737895
3,1,1385.7461529737895
3,2,1385.7461529737895
3,3,1385.7461529737895
3,4,1385.7461529737895
3,5,1385.7461529737895
3,6,1385.7461529737895
3,7,1385.7461529737895
3,8,1385.7461529737895
3,9,1385.7461529737895
3,10,1385.7461529737895
3,11,1385.7461529737895
3,12,1385.7461529737895
3,13,1385.7461529737895
3,14,1385.7461529737895
3,15,1385.7461529737895
3,16,1385.7461529737895
3,17,1385.7461529737895
3,18,1385.7461529737895
3,19,1385.7461529737895
3,20,1385.7461529737895
3,21,1385.7461529737895
3,22,1385.7461529737895
3,23,1385.7461529737895
4,0,1385.7452747395828
4,1,1385.7452747395828
4,2,1385.7452747395828
4,3,1385.7452747395828
4,4,1385.7452747395828
4,5,1385.7452747395828
4,6,1385.7452747395828
4,7,1385.7452747395828
4,8,1385.7452747395828
4,9,1385.7452747395828
4,10,1385.7452747395828
4,11,1385.7452747395828
4,12,1385.7452747395828
4,13,1385.7452747395828
4,14,1385.7452747395828
4,15,1385.7452747395828
4,16,1385.7452747395828
