Month,Hour,Cost
1,0,13.141250000000312
1,1,13.141250000000312
1,2,13.141250000000312
1,3,13.141250000000312
1,4,13.141250000000312
1,5,13.141250000000312
1,6,13.141250000000312
1,7,1627.3341129032256
1,8,1627.3341129032256
1,9,1627.3341129032256
1,10,1627.3341129032256
1,11,1627.3341129032256
1,12,1627.3341129032256
1,13,1627.3341129032256
1,14,1627.3341129032256
1,15,1627.3341129032256
1,16,1627.3341129032256
1,17,1627.3341129032256
1,18,1627.3341129032256
1,19,1627.3341129032256
1,20,1627.3341129032256
1,21,13.141250000000312
1,22,13.141250000000312
1,23,13.141250000000312
2,0,13.1412500000003
2,1,13.1412500000003
2,2,13.1412500000003
2,3,13.1412500000003
2,4,13.1412500000003
2,5,13.1412500000003
2,6,13.1412500000003
2,7,1588.6128448275858
2,8,1588.6128448275858
2,9,1588.6128448275858
2,10,1588.6128448275858
2,11,1588.6128448275858
2,12,1588.6128448275858
2,13,1588.6128448275858
2,14,1588.6128448275858
2,15,1588.6128448275858
2,16,1588.6128448275858
2,17,1588.6128448275858
2,18,1588.6128448275858
2,19,1588.6128448275858
2,20,1588.6128448275858
2,21,13.1412500000003
2,22,13.1412500000003
2,23,13.1412500000003
3,0,13.14125000000033
3,1,13.14125000000033
3,2,13.14125000000033
3,3,13.14125000000033
3,4,13.14125000000033
3,5,13.14125000000033
3,6,13.14125000000033
3,7,1486.969516129032
3,8,1486.969516129032
3,9,1486.969516129032
3,10,1486.969516129032
3,11,1486.969516129032
3,12,1486.969516129032
3,13,1486.969516129032
3,14,1486.969516129032
3,15,1486.969516129032
3,16,1486.969516129032
3,17,1486.969516129032
3,18,1486.969516129032
3,19,1486.969516129032
3,20,1486.969516129032
3,21,13.14125000000033
3,22,13.14125000000033
3,23,13.14125000000033
4,0,13.141250000000309
4,1,13.141250000000309
4,2,13.141250000000309
4,3,13.141250000000309
4,4,13.141250000000309
4,5,13.141250000000309
4,6,13.141250000000309
4,7,1608.6188333333332
4,8,1608.6188333333332
4,9,1608.6188333333332
4,10,1608.6188333333332
4,11,1608.6188333333332
4,12,1608.6188333333332
4,13,1608.6188333333332
4,14,1608.6188333333332
4,15,1608.6188333333332
4,16,1608.6188333333332
4,17,1608.6188333333332
4,18,1608.6188333333332
4,19,1608.6188333333332
4,20,1608.6188333333332
4,21,13.141250000000309
