Month,Hour,Cost
1,0,7143.524999999644
1,1,7143.524999999644
1,2,7143.524999999644
1,3,7143.524999999644
1,4,7143.524999999644
1,5,7143.524999999644
1,6,7143.524999999644
1,7,6669.726854838347
1,8,6669.726854838347
1,9,6669.726854838347
1,10,6669.726854838347
1,11,6669.726854838347
1,12,6669.726854838347
1,13,6669.726854838347
1,14,6669.726854838347
1,15,6669.726854838347
1,16,6669.726854838347
1,17,6669.726854838347
1,18,6669.726854838347
1,19,6669.726854838347
1,20,6669.726854838347
1,21,7143.524999999644
1,22,7143.524999999644
1,23,7143.524999999644
2,0,7143.524999999672
2,1,7143.524999999672
2,2,7143.524999999672
2,3,7143.524999999672
2,4,7143.524999999672
2,5,7143.524999999672
2,6,7143.524999999672
2,7,6681.092327585872
2,8,6681.092327585872
2,9,6681.092327585872
2,10,6681.092327585872
2,11,6681.092327585872
2,12,6681.092327585872
2,13,6681.092327585872
2,14,6681.092327585872
2,15,6681.092327585872
2,16,6681.092327585872
2,17,6681.092327585872
2,18,6681.092327585872
2,19,6681.092327585872
2,20,6681.092327585872
2,21,7143.524999999672
2,22,7143.524999999672
2,23,7143.524999999672
3,0,7143.524999999639
3,1,7143.524999999639
3,2,7143.524999999639
3,3,7143.524999999639
3,4,7143.524999999639
3,5,7143.524999999639
3,6,7143.524999999639
3,7,6710.926693548024
3,8,6710.926693548024
3,9,6710.926693548024
3,10,6710.926693548024
3,11,6710.926693548024
3,12,6710.926693548024
3,13,6710.926693548024
3,14,6710.926693548024
3,15,6710.926693548024
3,16,6710.926693548024
3,17,6710.926693548024
3,18,6710.926693548024
3,19,6710.926693548024
3,20,6710.926693548024
3,21,7143.524999999639
3,22,7143.524999999639
3,23,7143.524999999639
4,0,7143.5249999996595
4,1,7143.5249999996595
4,2,7143.5249999996595
4,3,7143.5249999996595
4,4,7143.5249999996595
4,5,7143.5249999996595
4,6,7143.5249999996595
4,7,6675.220166666319
4,8,6675.220166666319
4,9,6675.220166666319
4,10,6675.220166666319
4,11,6675.220166666319
4,12,6675.220166666319
4,13,6675.220166666319
4,14,6675.220166666319
4,15,6675.220166666319
4,16,6675.220166666319
4,17,6675.220166666319
4,18,6675.220166666319
4,19,6675.220166666319
4,20,6675.220166666319
4,21,7143.5249999996595
4,22,7143.5249999996595
4,23,7143.5249999996595
5,0,7143.524999999644
5,1,7143.524999999644
5,2,7143.524999999644
5,3,7143.524999999644
5,4,7143.524999999644
5,5,7143.524999999644
5,6,7143.524999999644
5,7,6669.726854838347
5,8,6669.726854838347
5,9,6669.726854838347
5,10,6669.726854838347
5,11,6669.726854838347
5,12,6669.726854838347
5,13,6669.726854838347
5,14,6669.726854838347
5,15,6669.726854838347
5,16,6669.726854838347
5,17,6669.726854838347
5,18,6669.726854838347
5,19,6669.726854838347
5,20,6669.726854838347
5,21,7143.524999999644
5,22,7143.524999999644
5,23,7143.524999999644
6,0,7143.524999999653
6,1,7143.524999999653
6,2,7143.524999999653
6,3,7143.524999999653
6,4,7143.524999999653
6,5,7143.524999999653
6,6,7143.524999999653
6,7,6717.793333332984
6,8,6717.793333332984
6,9,6717.793333332984
6,10,6717.793333332984
6,11,6717.793333332984
6,12,6717.793333332984
6,13,6717.793333332984
6,14,6717.793333332984
6,15,6717.793333332984
6,16,6717.793333332984
6,17,6717.793333332984
6,18,6717.793333332984
6,19,6717.793333332984
6,20,6717.793333332984
6,21,7143.524999999653
6,22,7143.524999999653
6,23,7143.524999999653
7,0,7143.524999999644
7,1,7143.524999999644
7,2,7143.524999999644
7,3,7143.524999999644
7,4,7143.524999999644
7,5,7143.524999999644
7,6,7143.524999999644
7,7,6669.726854838347
7,8,6669.726854838347
7,9,6669.726854838347
7,10,6669.726854838347
7,11,6669.726854838347
7,12,6669.726854838347
7,13,6669.726854838347
7,14,6669.726854838347
7,15,6669.726854838347
7,16,6669.726854838347
7,17,6669.726854838347
7,18,6669.726854838347
7,19,6669.726854838347
7,20,6669.726854838347
7,21,7143.524999999644
7,22,7143.524999999644
7,23,7143.524999999644
8,0,7143.524999999641
8,1,7143.524999999641
8,2,7143.524999999641
8,3,7143.524999999641
8,4,7143.524999999641
8,5,7143.524999999641
8,6,7143.524999999641
8,7,6690.326774193186
8,8,6690.326774193186
8,9,6690.326774193186
8,10,6690.326774193186
8,11,6690.326774193186
8,12,6690.326774193186
8,13,6690.326774193186
8,14,6690.326774193186
8,15,6690.326774193186
8,16,6690.326774193186
8,17,6690.326774193186
8,18,6690.326774193186
8,19,6690.326774193186
8,20,6690.326774193186
8,21,7143.524999999641
8,22,7143.524999999641
8,23,7143.524999999641
9,0,7143.524999999656
9,1,7143.524999999656
9,2,7143.524999999656
9,3,7143.524999999656
9,4,7143.524999999656
9,5,7143.524999999656
9,6,7143.524999999656
9,7,6696.506749999651
9,8,6696.506749999651
9,9,6696.506749999651
9,10,6696.506749999651
9,11,6696.506749999651
9,12,6696.506749999651
9,13,6696.506749999651
9,14,6696.506749999651
9,15,6696.506749999651
9,16,6696.506749999651
9,17,6696.506749999651
9,18,6696.506749999651
9,19,6696.506749999651
9,20,6696.506749999651
9,21,7143.524999999656
9,22,7143.524999999656
9,23,7143.524999999656
10,0,7143.524999999644
10,1,7143.524999999644
10,2,7143.524999999644
10,3,7143.524999999644
10,4,7143.524999999644
10,5,7143.524999999644
10,6,7143.524999999644
10,7,6669.726854838347
10,8,6669.726854838347
10,9,6669.726854838347
10,10,6669.726854838347
10,11,6669.726854838347
10,12,6669.726854838347
10,13,6669.726854838347
10,14,6669.726854838347
10,15,6669.726854838347
10,16,6669.726854838347
10,17,6669.726854838347
10,18,6669.726854838347
10,19,6669.726854838347
10,20,6669.726854838347
10,21,7143.524999999644
10,22,7143.524999999644
10,23,7143.524999999644
11,0,7143.524999999656
11,1,7143.524999999656
11,2,7143.524999999656
11,3,7143.524999999656
11,4,7143.524999999656
11,5,7143.524999999656
11,6,7143.524999999656
11,7,6696.506749999651
11,8,6696.506749999651
11,9,6696.506749999651
11,10,6696.506749999651
11,11,6696.506749999651
11,12,6696.506749999651
11,13,6696.506749999651
11,14,6696.506749999651
11,15,6696.506749999651
11,16,6696.506749999651
11,17,6696.506749999651
11,18,6696.506749999651
11,19,6696.506749999651
11,20,6696.506749999651
11,21,7143.524999999656
11,22,7143.524999999656
11,23,7143.524999999656
12,0,7143.524999999641
12,1,7143.524999999641
12,2,7143.524999999641
12,3,7143.524999999641
12,4,7143.524999999641
12,5,7143.524999999641
12,6,7143.524999999641
12,7,6690.326774193186
12,8,6690.326774193186
12,9,6690.326774193186
12,10,6690.326774193186
12,11,6690.326774193186
12,12,6690.326774193186
