Month,Hour,Cost
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,1.0975345622119816
1,8,1.0975345622119816
1,9,1.0975345622119816
1,10,1.0975345622119816
1,11,1.0975345622119816
1,12,1.0975345622119816
1,13,1.0975345622119816
1,14,1.0975345622119816
1,15,1.0975345622119816
1,16,1.0975345622119816
1,17,1.0975345622119816
1,18,1.0975345622119816
1,19,1.0975345622119816
1,20,1.0975345622119816
1,21,0.0
1,22,0.0
1,23,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,1.1732266009852217
2,8,1.1732266009852217
2,9,1.1732266009852217
2,10,1.1732266009852217
2,11,1.1732266009852217
2,12,1.1732266009852217
2,13,1.1732266009852217
2,14,1.1732266009852217
2,15,1.1732266009852217
2,16,1.1732266009852217
2,17,1.1732266009852217
2,18,1.1732266009852217
2,19,1.1732266009852217
2,20,1.1732266009852217
2,21,0.0
2,22,0.0
2,23,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,1.0975345622119816
3,8,1.0975345622119816
3,9,1.0975345622119816
3,10,1.0975345622119816
3,11,1.0975345622119816
3,12,1.0975345622119816
3,13,1.0975345622119816
3,14,1.0975345622119816
3,15,1.0975345622119816
3,16,1.0975345622119816
3,17,1.0975345622119816
3,18,1.0975345622119816
3,19,1.0975345622119816
3,20,1.0975345622119816
3,21,0.0
3,22,0.0
3,23,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,1.1341190476190477
4,8,1.1341190476190477
4,9,1.1341190476190477
4,10,1.1341190476190477
4,11,1.1341190476190477
4,12,1.1341190476190477
4,13,1.1341190476190477
4,14,1.1341190476190477
4,15,1.1341190476190477
4,16,1.1341190476190477
4,17,1.1341190476190477
4,18,1.1341190476190477
4,19,1.1341190476190477
4,20,1.1341190476190477
4,21,0.0
4,22,0.0
4,23,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,1.0975345622119816
5,8,1.0975345622119816
5,9,1.0975345622119816
5,10,1.0975345622119816
5,11,1.0975345622119816
5,12,1.0975345622119816
5,13,1.0975345622119816
5,14,1.0975345622119816
5,15,1.0975345622119816
5,16,1.0975345622119816
5,17,1.0975345622119816
5,18,1.0975345622119816
5,19,1.0975345622119816
5,20,1.0975345622119816
5,21,0.0
5,22,0.0
5,23,0.0
6,0,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,1.1341190476190477
6,8,1.1341190476190477
6,9,1.1341190476190477
6,10,1.1341190476190477
6,11,1.1341190476190477
6,12,1.1341190476190477
6,13,1.1341190476190477
6,14,1.1341190476190477
6,15,1.1341190476190477
6,16,1.1341190476190477
6,17,1.1341190476190477
6,18,1.1341190476190477
6,19,1.1341190476190477
6,20,1.1341190476190477
6,21,0.0
6,22,0.0
6,23,0.0
7,0,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,1.0975345622119816
7,8,1.0975345622119816
7,9,1.0975345622119816
7,10,1.0975345622119816
7,11,1.0975345622119816
7,12,1.0975345622119816
7,13,1.0975345622119816
7,14,1.0975345622119816
7,15,1.0975345622119816
7,16,1.0975345622119816
7,17,1.0975345622119816
7,18,1.0975345622119816
