Month,Hour,Cost
1,0,1357.4189012096776
1,1,1357.4189012096776
1,2,1357.4189012096776
1,3,1357.4189012096776
1,4,1357.4189012096776
1,5,1357.4189012096776
1,6,1357.4189012096776
1,7,1357.4189012096776
1,8,1357.4189012096776
1,9,1357.4189012096776
1,10,1357.4189012096776
1,11,1357.4189012096776
1,12,1357.4189012096776
1,13,1357.4189012096776
1,14,1357.4189012096776
1,15,1357.4189012096776
1,16,1357.4189012096776
1,17,1357.4189012096776
1,18,1357.4189012096776
1,19,1357.4189012096776
1,20,1357.4189012096776
1,21,1357.4189012096776
1,22,1357.4189012096776
1,23,1357.4189012096776
2,0,1357.4167564655177
2,1,1357.4167564655177
2,2,1357.4167564655177
2,3,1357.4167564655177
2,4,1357.4167564655177
2,5,1357.4167564655177
2,6,1357.4167564655177
2,7,1357.4167564655177
2,8,1357.4167564655177
2,9,1357.4167564655177
2,10,1357.4167564655177
2,11,1357.4167564655177
2,12,1357.4167564655177
2,13,1357.4167564655177
2,14,1357.4167564655177
2,15,1357.4167564655177
2,16,1357.4167564655177
2,17,1357.4167564655177
2,18,1357.4167564655177
2,19,1357.4167564655177
2,20,1357.4167564655177
2,21,1357.4167564655177
2,22,1357.4167564655177
2,23,1357.4167564655177
3,0,1357.4189012096776
3,1,1357.4189012096776
3,2,1357.4189012096776
3,3,1357.4189012096776
3,4,1357.4189012096776
3,5,1357.4189012096776
3,6,1357.4189012096776
3,7,1357.4189012096776
3,8,1357.4189012096776
3,9,1357.4189012096776
3,10,1357.4189012096776
3,11,1357.4189012096776
3,12,1357.4189012096776
3,13,1357.4189012096776
3,14,1357.4189012096776
3,15,1357.4189012096776
3,16,1357.4189012096776
3,17,1357.4189012096776
3,18,1357.4189012096776
3,19,1357.4189012096776
3,20,1357.4189012096776
3,21,1357.4189012096776
3,22,1357.4189012096776
3,23,1357.4189012096776
4,0,1357.4178645833335
4,1,1357.4178645833335
4,2,1357.4178645833335
4,3,1357.4178645833335
4,4,1357.4178645833335
4,5,1357.4178645833335
4,6,1357.4178645833335
4,7,1357.4178645833335
4,8,1357.4178645833335
4,9,1357.4178645833335
4,10,1357.4178645833335
4,11,1357.4178645833335
4,12,1357.4178645833335
4,13,1357.4178645833335
4,14,1357.4178645833335
4,15,1357.4178645833335
4,16,1357.4178645833335
4,17,1357.4178645833335
4,18,1357.4178645833335
4,19,1357.4178645833335
4,20,1357.4178645833335
4,21,1357.4178645833335
4,22,1357.4178645833335
4,23,1357.4178645833335
5,0,1357.4189012096776
5,1,1357.4189012096776
5,2,1357.4189012096776
5,3,1357.4189012096776
5,4,1357.4189012096776
5,5,1357.4189012096776
5,6,1357.4189012096776
5,7,1357.4189012096776
5,8,1357.4189012096776
5,9,1357.4189012096776
5,10,1357.4189012096776
5,11,1357.4189012096776
5,12,1357.4189012096776
5,13,1357.4189012096776
5,14,1357.4189012096776
5,15,1357.4189012096776
5,16,1357.4189012096776
5,17,1357.4189012096776
5,18,1357.4189012096776
5,19,1357.4189012096776
5,20,1357.4189012096776
5,21,1357.4189012096776
5,22,1357.4189012096776
5,23,1357.4189012096776
6,0,1380.3266354166667
6,1,1380.3266354166667
6,2,1380.3266354166667
6,3,1380.3266354166667
6,4,1380.3266354166667
6,5,1380.3266354166667
6,6,1380.3266354166667
6,7,1380.3266354166667
6,8,1380.3266354166667
6,9,1380.3266354166667
6,10,1380.3266354166667
6,11,1380.3266354166667
6,12,1380.3266354166667
6,13,1380.3266354166667
6,14,1380.3266354166667
6,15,1380.3266354166667
6,16,1380.3266354166667
6,17,1380.3266354166667
6,18,1380.3266354166667
6,19,1380.3266354166667
6,20,1380.3266354166667
6,21,1380.3266354166667
6,22,1380.3266354166667
6,23,1380.3266354166667
7,0,1380.328195564516
7,1,1380.328195564516
7,2,1380.328195564516
7,3,1380.328195564516
7,4,1380.328195564516
7,5,1380.328195564516
7,6,1380.328195564516
7,7,1380.328195564516
7,8,1380.328195564516
7,9,1380.328195564516
7,10,1380.328195564516
7,11,1380.328195564516
7,12,1380.328195564516
7,13,1380.328195564516
7,14,1380.328195564516
7,15,1380.328195564516
7,16,1380.328195564516
7,17,1380.328195564516
7,18,1380.328195564516
7,19,1380.328195564516
7,20,1380.328195564516
7,21,1380.328195564516
7,22,1380.328195564516
7,23,1380.328195564516
8,0,1380.328195564516
8,1,1380.328195564516
8,2,1380.328195564516
8,3,1380.328195564516
8,4,1380.328195564516
8,5,1380.328195564516
8,6,1380.328195564516
8,7,1380.328195564516
8,8,1380.328195564516
8,9,1380.328195564516
8,10,1380.328195564516
8,11,1380.328195564516
8,12,1380.328195564516
8,13,1380.328195564516
8,14,1380.328195564516
8,15,1380.328195564516
8,16,1380.328195564516
8,17,1380.328195564516
8,18,1380.328195564516
8,19,1380.328195564516
