Month,Hour,Cost
1,0,8.770050269905468
1,1,8.770050269905468
1,2,8.770050269905468
1,3,8.770050269905468
1,4,8.770050269905468
1,5,8.770050269905468
1,6,8.770050269905468
1,7,8.770050269905468
1,8,8.770050269905468
1,9,19.761706521266078
1,10,19.761706521266078
1,11,19.761706521266078
1,12,19.761706521266078
1,13,19.761706521266078
1,14,19.761706521266078
1,15,19.761706521266078
1,16,19.761706521266078
1,17,19.761706521266078
1,18,19.761706521266078
1,19,19.761706521266078
1,20,19.761706521266078
1,21,2.2716521374776724
1,22,2.2716521374776724
1,23,2.2716521374776724
2,0,8.770247978293188
2,1,8.770247978293188
2,2,8.770247978293188
2,3,8.770247978293188
2,4,8.770247978293188
2,5,8.770247978293188
2,6,8.770247978293188
2,7,8.770247978293188
2,8,8.770247978293188
2,9,20.116533925046536
2,10,20.116533925046536
2,11,20.116533925046536
2,12,20.116533925046536
2,13,20.116533925046536
2,14,20.116533925046536
2,15,20.116533925046536
2,16,20.116533925046536
2,17,20.116533925046536
2,18,20.116533925046536
2,19,20.116533925046536
2,20,20.116533925046536
2,21,2.4280341580380087
2,22,2.4280341580380087
2,23,2.4280341580380087
3,0,8.77011176019096
3,1,8.77011176019096
3,2,8.77011176019096
3,3,8.77011176019096
3,4,8.77011176019096
3,5,8.77011176019096
3,6,8.77011176019096
3,7,8.77011176019096
3,8,8.77011176019096
3,9,19.3844715355456
3,10,19.3844715355456
3,11,19.3844715355456
3,12,19.3844715355456
3,13,19.3844715355456
3,14,19.3844715355456
3,15,19.3844715355456
3,16,19.3844715355456
3,17,19.3844715355456
3,18,19.3844715355456
3,19,19.3844715355456
3,20,19.3844715355456
3,21,2.836375351438469
3,22,2.836375351438469
3,23,2.836375351438469
4,0,8.770145850202363
4,1,8.770145850202363
4,2,8.770145850202363
4,3,8.770145850202363
4,4,8.770145850202363
4,5,8.770145850202363
4,6,8.770145850202363
4,7,8.770145850202363
4,8,8.770145850202363
4,9,19.933205560054105
4,10,19.933205560054105
4,11,19.933205560054105
4,12,19.933205560054105
4,13,19.933205560054105
4,14,19.933205560054105
4,15,19.933205560054105
4,16,19.933205560054105
4,17,19.933205560054105
4,18,19.933205560054105
4,19,19.933205560054105
4,20,19.933205560054105
4,21,2.3472402091767703
4,22,2.3472402091767703
4,23,2.3472402091767703
5,0,8.770050269905468
5,1,8.770050269905468
5,2,8.770050269905468
5,3,8.770050269905468
5,4,8.770050269905468
5,5,8.770050269905468
5,6,8.770050269905468
5,7,8.770050269905468
5,8,8.770050269905468
5,9,19.761706521266078
5,10,19.761706521266078
5,11,19.761706521266078
5,12,19.761706521266078
5,13,19.761706521266078
5,14,19.761706521266078
5,15,19.761706521266078
5,16,19.761706521266078
5,17,19.761706521266078
5,18,19.761706521266078
5,19,19.761706521266078
5,20,19.761706521266078
5,21,2.2716521374776724
5,22,2.2716521374776724
5,23,2.2716521374776724
6,0,2.928685416666646
6,1,2.928685416666646
6,2,2.928685416666646
6,3,2.928685416666646
6,4,2.928685416666646
6,5,2.928685416666646
6,6,2.928685416666646
6,7,2.928685416666646
6,8,2.928685416666646
6,9,21.54131458333344
6,10,21.54131458333344
6,11,21.54131458333344
6,12,21.54131458333344
6,13,21.54131458333344
6,14,21.54131458333344
6,15,21.54131458333344
6,16,21.54131458333344
6,17,21.54131458333344
6,18,21.54131458333344
6,19,21.54131458333344
6,20,21.54131458333344
6,21,2.928685416666646
6,22,2.928685416666646
6,23,2.928685416666646
7,0,2.270074234904865
7,1,2.270074234904865
7,2,2.270074234904865
7,3,2.270074234904865
