Month,Hour,Cost
1,0,15.432532258065104
1,1,15.432532258065104
1,2,15.432532258065104
1,3,15.432532258065104
1,4,15.432532258065104
1,5,15.432532258065104
1,6,15.432532258065104
1,7,24.848806451612948
1,8,24.848806451612948
1,9,24.848806451612948
1,10,24.848806451612948
1,11,24.848806451612948
1,12,24.848806451612948
1,13,24.848806451612948
1,14,24.848806451612948
1,15,24.848806451612948
1,16,24.848806451612948
1,17,24.848806451612948
1,18,24.848806451612948
1,19,24.848806451612948
1,20,24.848806451612948
1,21,15.432532258065104
1,22,15.432532258065104
1,23,15.432532258065104
2,0,15.495310344828114
2,1,15.495310344828114
2,2,15.495310344828114
2,3,15.495310344828114
2,4,15.495310344828114
2,5,15.495310344828114
2,6,15.495310344828114
2,7,24.68570689655164
2,8,24.68570689655164
2,9,24.68570689655164
2,10,24.68570689655164
2,11,24.68570689655164
2,12,24.68570689655164
2,13,24.68570689655164
2,14,24.68570689655164
2,15,24.68570689655164
2,16,24.68570689655164
2,17,24.68570689655164
2,18,24.68570689655164
2,19,24.68570689655164
2,20,24.68570689655164
2,21,15.495310344828114
2,22,15.495310344828114
2,23,15.495310344828114
3,0,15.43253225806518
3,1,15.43253225806518
3,2,15.43253225806518
3,3,15.43253225806518
3,4,15.43253225806518
3,5,15.43253225806518
3,6,15.43253225806518
3,7,24.03
3,8,24.03
3,9,24.03
3,10,24.03
3,11,24.03
3,12,24.03
3,13,24.03
3,14,24.03
3,15,24.03
3,16,24.03
3,17,24.03
3,18,24.03
3,19,24.03
3,20,24.03
3,21,15.43253225806518
3,22,15.43253225806518
3,23,15.43253225806518
4,0,15.46287500000056
4,1,15.46287500000056
4,2,15.46287500000056
4,3,15.46287500000056
4,4,15.46287500000056
4,5,15.46287500000056
4,6,15.46287500000056
4,7,24.769974999999953
4,8,24.769974999999953
4,9,24.769974999999953
4,10,24.769974999999953
4,11,24.769974999999953
4,12,24.769974999999953
4,13,24.769974999999953
4,14,24.769974999999953
4,15,24.769974999999953
4,16,24.769974999999953
4,17,24.769974999999953
4,18,24.769974999999953
4,19,24.769974999999953
4,20,24.769974999999953
4,21,15.46287500000056
4,22,15.46287500000056
4,23,15.46287500000056
5,0,15.432532258065104
5,1,15.432532258065104
5,2,15.432532258065104
5,3,15.432532258065104
5,4,15.432532258065104
5,5,15.432532258065104
5,6,15.432532258065104
5,7,24.848806451612948
5,8,24.848806451612948
5,9,24.848806451612948
5,10,24.848806451612948
5,11,24.848806451612948
5,12,24.848806451612948
5,13,24.848806451612948
5,14,24.848806451612948
5,15,24.848806451612948
5,16,24.848806451612948
5,17,24.848806451612948
5,18,24.848806451612948
5,19,24.848806451612948
5,20,24.848806451612948
5,21,15.432532258065104
5,22,15.432532258065104
5,23,15.432532258065104
6,0,15.46287500000064
6,1,15.46287500000064
6,2,15.46287500000064
6,3,15.46287500000064
6,4,15.46287500000064
6,5,15.46287500000064
6,6,15.46287500000064
6,7,23.923875000000027
6,8,23.923875000000027
6,9,23.923875000000027
6,10,23.923875000000027
6,11,23.923875000000027
6,12,23.923875000000027
6,13,23.923875000000027
6,14,23.923875000000027
6,15,23.923875000000027
6,16,23.923875000000027
6,17,23.923875000000027
6,18,23.923875000000027
6,19,23.923875000000027
6,20,23.923875000000027
6,21,15.46287500000064
6,22,15.46287500000064
6,23,15.46287500000064
7,0,15.432532258065104
7,1,15.432532258065104
7,2,15.432532258065104
7,3,15.432532258065104
