Month,Hour,Cost
1,0,2245.9882499999035
1,1,2245.9882499999035
1,2,2245.9882499999035
1,3,2245.9882499999035
1,4,2245.9882499999035
1,5,2245.9882499999035
1,6,2245.9882499999035
1,7,2251.7872177418385
1,8,2251.7872177418385
1,9,2251.7872177418385
1,10,2251.7872177418385
1,11,2251.7872177418385
1,12,2251.7872177418385
1,13,2251.7872177418385
1,14,2251.7872177418385
1,15,2251.7872177418385
1,16,2251.7872177418385
1,17,2251.7872177418385
1,18,2251.7872177418385
1,19,2251.7872177418385
1,20,2251.7872177418385
1,21,2245.9882499999035
1,22,2245.9882499999035
1,23,2245.9882499999035
2,0,2245.9882499999226
2,1,2245.9882499999226
2,2,2245.9882499999226
2,3,2245.9882499999226
2,4,2245.9882499999226
2,5,2245.9882499999226
2,6,2245.9882499999226
2,7,2251.648112068888
2,8,2251.648112068888
2,9,2251.648112068888
2,10,2251.648112068888
2,11,2251.648112068888
2,12,2251.648112068888
2,13,2251.648112068888
2,14,2251.648112068888
2,15,2251.648112068888
2,16,2251.648112068888
2,17,2251.648112068888
2,18,2251.648112068888
2,19,2251.648112068888
2,20,2251.648112068888
2,21,2245.9882499999226
2,22,2245.9882499999226
2,23,2245.9882499999226
3,0,2245.9882499999035
3,1,2245.9882499999035
3,2,2245.9882499999035
3,3,2245.9882499999035
3,4,2245.9882499999035
3,5,2245.9882499999035
3,6,2245.9882499999035
3,7,2251.282959677323
3,8,2251.282959677323
3,9,2251.282959677323
3,10,2251.282959677323
3,11,2251.282959677323
3,12,2251.282959677323
3,13,2251.282959677323
3,14,2251.282959677323
3,15,2251.282959677323
3,16,2251.282959677323
3,17,2251.282959677323
3,18,2251.282959677323
3,19,2251.282959677323
3,20,2251.282959677323
3,21,2245.9882499999035
3,22,2245.9882499999035
3,23,2245.9882499999035
4,0,2245.988249999913
4,1,2245.988249999913
4,2,2245.988249999913
4,3,2245.988249999913
4,4,2245.988249999913
4,5,2245.988249999913
4,6,2245.988249999913
4,7,2251.719983333246
4,8,2251.719983333246
4,9,2251.719983333246
4,10,2251.719983333246
4,11,2251.719983333246
4,12,2251.719983333246
4,13,2251.719983333246
4,14,2251.719983333246
4,15,2251.719983333246
4,16,2251.719983333246
4,17,2251.719983333246
4,18,2251.719983333246
4,19,2251.719983333246
4,20,2251.719983333246
4,21,2245.988249999913
4,22,2245.988249999913
4,23,2245.988249999913
5,0,2245.9882499999035
5,1,2245.9882499999035
5,2,2245.9882499999035
5,3,2245.9882499999035
5,4,2245.9882499999035
5,5,2245.9882499999035
5,6,2245.9882499999035
5,7,2251.7872177418385
5,8,2251.7872177418385
5,9,2251.7872177418385
5,10,2251.7872177418385
5,11,2251.7872177418385
5,12,2251.7872177418385
5,13,2251.7872177418385
5,14,2251.7872177418385
5,15,2251.7872177418385
5,16,2251.7872177418385
5,17,2251.7872177418385
5,18,2251.7872177418385
5,19,2251.7872177418385
5,20,2251.7872177418385
5,21,2245.9882499999035
5,22,2245.9882499999035
5,23,2245.9882499999035
6,0,2245.988249999913
6,1,2245.988249999913
6,2,2245.988249999913
6,3,2245.988249999913
6,4,2245.988249999913
6,5,2245.988249999913
6,6,2245.988249999913
6,7,2251.1989166665794
6,8,2251.1989166665794
6,9,2251.1989166665794
6,10,2251.1989166665794
6,11,2251.1989166665794
6,12,2251.1989166665794
6,13,2251.1989166665794
6,14,2251.1989166665794
6,15,2251.1989166665794
6,16,2251.1989166665794
6,17,2251.1989166665794
6,18,2251.1989166665794
6,19,2251.1989166665794
6,20,2251.1989166665794
6,21,2245.988249999913
6,22,2245.988249999913
6,23,2245.988249999913
7,0,2245.9882499999035
7,1,2245.9882499999035
7,2,2245.9882499999035
7,3,2245.9882499999035
7,4,2245.9882499999035
7,5,2245.9882499999035
7,6,2245.9882499999035
7,7,2251.7872177418385
7,8,2251.7872177418385
7,9,2251.7872177418385
7,10,2251.7872177418385
7,11,2251.7872177418385
7,12,2251.7872177418385
7,13,2251.7872177418385
7,14,2251.7872177418385
7,15,2251.7872177418385
7,16,2251.7872177418385
7,17,2251.7872177418385
7,18,2251.7872177418385
7,19,2251.7872177418385
