Month,Hour,Cost
1,0,4700.431750000002
1,1,4700.431750000002
1,2,4700.431750000002
1,3,4700.431750000002
1,4,4700.431750000002
1,5,4700.431750000002
1,6,4700.431750000002
1,7,4700.431750000002
1,8,4700.431750000002
1,9,4700.431750000002
1,10,4700.431750000002
1,11,4700.431750000002
1,12,4700.431750000002
1,13,4700.431750000002
1,14,4700.431750000002
1,15,4700.431750000002
1,16,4700.431750000002
1,17,4700.431750000002
1,18,4700.431750000002
1,19,4700.431750000002
1,20,4700.431750000002
1,21,4700.431750000002
1,22,4700.431750000002
1,23,4700.431750000002
2,0,4700.431750000001
2,1,4700.431750000001
2,2,4700.431750000001
2,3,4700.431750000001
2,4,4700.431750000001
2,5,4700.431750000001
2,6,4700.431750000001
2,7,4700.431750000001
2,8,4700.431750000001
2,9,4700.431750000001
2,10,4700.431750000001
2,11,4700.431750000001
2,12,4700.431750000001
2,13,4700.431750000001
2,14,4700.431750000001
2,15,4700.431750000001
2,16,4700.431750000001
2,17,4700.431750000001
2,18,4700.431750000001
2,19,4700.431750000001
2,20,4700.431750000001
2,21,4700.431750000001
2,22,4700.431750000001
2,23,4700.431750000001
3,0,4700.431750000002
3,1,4700.431750000002
3,2,4700.431750000002
3,3,4700.431750000002
3,4,4700.431750000002
3,5,4700.431750000002
3,6,4700.431750000002
3,7,4700.431750000002
3,8,4700.431750000002
3,9,4700.431750000002
3,10,4700.431750000002
3,11,4700.431750000002
3,12,4700.431750000002
3,13,4700.431750000002
3,14,4700.431750000002
3,15,4700.431750000002
3,16,4700.431750000002
3,17,4700.431750000002
3,18,4700.431750000002
3,19,4700.431750000002
3,20,4700.431750000002
3,21,4700.431750000002
3,22,4700.431750000002
3,23,4700.431750000002
4,0,4700.431750000001
4,1,4700.431750000001
4,2,4700.431750000001
4,3,4700.431750000001
4,4,4700.431750000001
4,5,4700.431750000001
4,6,4700.431750000001
4,7,4700.431750000001
4,8,4700.431750000001
4,9,4700.431750000001
4,10,4700.431750000001
4,11,4700.431750000001
4,12,4700.431750000001
4,13,4700.431750000001
4,14,4700.431750000001
4,15,4700.431750000001
4,16,4700.431750000001
4,17,4700.431750000001
4,18,4700.431750000001
4,19,4700.431750000001
4,20,4700.431750000001
4,21,4700.431750000001
4,22,4700.431750000001
4,23,4700.431750000001
5,0,4700.431750000002
5,1,4700.431750000002
5,2,4700.431750000002
5,3,4700.431750000002
5,4,4700.431750000002
5,5,4700.431750000002
5,6,4700.431750000002
5,7,4700.431750000002
5,8,4700.431750000002
5,9,4700.431750000002
5,10,4700.431750000002
5,11,4700.431750000002
5,12,4700.431750000002
5,13,4700.431750000002
5,14,4700.431750000002
5,15,4700.431750000002
5,16,4700.431750000002
5,17,4700.431750000002
5,18,4700.431750000002
5,19,4700.431750000002
5,20,4700.431750000002
5,21,4700.431750000002
5,22,4700.431750000002
5,23,4700.431750000002
6,0,6543.13375
6,1,6543.13375
6,2,6543.13375
6,3,6543.13375
6,4,6543.13375
6,5,6543.13375
6,6,6543.13375
6,7,6543.13375
6,8,6543.13375
6,9,6543.13375
6,10,6543.13375
6,11,6543.13375
6,12,6543.13375
6,13,6543.13375
6,14,6543.13375
6,15,6543.13375
6,16,6543.13375
6,17,6543.13375
6,18,6543.13375
6,19,6543.13375
6,20,6543.13375
6,21,6543.13375
6,22,6543.13375
6,23,6543.13375
7,0,6543.133750000001
7,1,6543.133750000001
7,2,6543.133750000001
7,3,6543.133750000001
7,4,6543.133750000001
7,5,6543.133750000001
7,6,6543.133750000001
7,7,6543.133750000001
7,8,6543.133750000001
7,9,6543.133750000001
7,10,6543.133750000001
7,11,6543.133750000001
7,12,6543.133750000001
7,13,6543.133750000001
7,14,6543.133750000001
7,15,6543.133750000001
7,16,6543.133750000001
7,17,6543.133750000001
7,18,6543.133750000001
7,19,6543.133750000001
7,20,6543.133750000001
7,21,6543.133750000001
7,22,6543.133750000001
7,23,6543.133750000001
8,0,6543.133750000001
8,1,6543.133750000001
8,2,6543.133750000001
8,3,6543.133750000001
8,4,6543.133750000001
8,5,6543.133750000001
8,6,6543.133750000001
8,7,6543.133750000001
8,8,6543.133750000001
8,9,6543.133750000001
8,10,6543.133750000001
8,11,6543.133750000001
8,12,6543.133750000001
8,13,6543.133750000001
8,14,6543.133750000001
8,15,6543.133750000001
8,16,6543.133750000001
8,17,6543.133750000001
8,18,6543.133750000001
8,19,6543.133750000001
8,20,6543.133750000001
8,21,6543.133750000001
8,22,6543.133750000001
8,23,6543.133750000001
9,0,6543.13375
9,1,6543.13375
9,2,6543.13375
9,3,6543.13375
9,4,6543.13375
9,5,6543.13375
9,6,6543.13375
9,7,6543.13375
9,8,6543.13375
9,9,6543.13375
9,10,6543.13375
9,11,6543.13375
9,12,6543.13375
9,13,6543.13375
9,14,6543.13375
9,15,6543.13375
9,16,6543.13375
9,17,6543.13375
9,18,6543.13375
9,19,6543.13375
9,20,6543.13375
9,21,6543.13375
9,22,6543.13375
9,23,6543.13375
10,0,4700.431750000002
10,1,4700.431750000002
10,2,4700.431750000002
10,3,4700.431750000002
10,4,4700.431750000002
10,5,4700.431750000002
10,6,4700.431750000002
10,7,4700.431750000002
10,8,4700.431750000002
10,9,4700.431750000002
10,10,4700.431750000002
10,11,4700.431750000002
10,12,4700.431750000002
10,13,4700.431750000002
10,14,4700.431750000002
10,15,4700.431750000002
10,16,4700.431750000002
10,17,4700.431750000002
10,18,4700.431750000002
10,19,4700.431750000002
10,20,4700.431750000002
10,21,4700.431750000002
10,22,4700.431750000002
10,23,4700.431750000002
11,0,4700.431750000001
11,1,4700.431750000001
11,2,4700.431750000001
11,3,4700.431750000001
11,4,4700.431750000001
11,5,4700.431750000001
11,6,4700.431750000001
11,7,4700.431750000001
11,8,4700.431750000001
11,9,4700.431750000001
11,10,4700.431750000001
11,11,4700.431750000001
11,12,4700.431750000001
11,13,4700.431750000001
11,14,4700.431750000001
11,15,4700.431750000001
11,16,4700.431750000001
11,17,4700.431750000001
11,18,4700.431750000001
11,19,4700.431750000001
11,20,4700.431750000001
11,21,4700.431750000001
11,22,4700.431750000001
11,23,4700.431750000001
12,0,4700.431750000002
12,1,4700.431750000002
12,2,4700.431750000002
12,3,4700.431750000002
12,4,4700.431750000002
12,5,4700.431750000002
12,6,4700.431750000002
12,7,4700.431750000002
12,8,4700.431750000002
12,9,4700.431750000002
12,10,4700.431750000002
12,11,4700.431750000002
12,12,4700.431750000002
12,13,4700.431750000002
12,14,4700.431750000002
12,15,4700.431750000002
12,16,4700.431750000002
12,17,4700.431750000002
12,18,4700.431750000002
12,19,4700.431750000002
12,20,4700.431750000002
12,21,4700.431750000002
12,22,4700.431750000002
12,23,4700.431750000002
