Month,Hour,Cost
1,0,148.38552553763267
1,1,148.38552553763267
1,2,148.38552553763267
1,3,148.38552553763267
1,4,148.38552553763267
1,5,148.38552553763267
1,6,148.38552553763267
1,7,148.38552553763267
1,8,148.38552553763267
1,9,148.38552553763267
1,10,148.38552553763267
1,11,148.38552553763267
1,12,148.38552553763267
1,13,148.38552553763267
1,14,148.38552553763267
1,15,148.38552553763267
1,16,148.38552553763267
1,17,148.38552553763267
1,18,148.38552553763267
1,19,148.38552553763267
1,20,148.38552553763267
1,21,148.38552553763267
1,22,148.38552553763267
1,23,148.38552553763267
2,0,148.38556178160772
2,1,148.38556178160772
2,2,148.38556178160772
2,3,148.38556178160772
2,4,148.38556178160772
2,5,148.38556178160772
2,6,148.38556178160772
2,7,148.38556178160772
2,8,148.38556178160772
2,9,148.38556178160772
2,10,148.38556178160772
2,11,148.38556178160772
2,12,148.38556178160772
2,13,148.38556178160772
2,14,148.38556178160772
2,15,148.38556178160772
2,16,148.38556178160772
2,17,148.38556178160772
2,18,148.38556178160772
2,19,148.38556178160772
2,20,148.38556178160772
2,21,148.38556178160772
2,22,148.38556178160772
2,23,148.38556178160772
3,0,148.38552553763267
3,1,148.38552553763267
3,2,148.38552553763267
3,3,148.38552553763267
3,4,148.38552553763267
3,5,148.38552553763267
3,6,148.38552553763267
3,7,148.38552553763267
3,8,148.38552553763267
3,9,148.38552553763267
3,10,148.38552553763267
3,11,148.38552553763267
3,12,148.38552553763267
3,13,148.38552553763267
3,14,148.38552553763267
3,15,148.38552553763267
3,16,148.38552553763267
3,17,148.38552553763267
3,18,148.38552553763267
3,19,148.38552553763267
3,20,148.38552553763267
3,21,148.38552553763267
3,22,148.38552553763267
3,23,148.38552553763267
4,0,148.38554305555394
4,1,148.38554305555394
4,2,148.38554305555394
4,3,148.38554305555394
4,4,148.38554305555394
4,5,148.38554305555394
4,6,148.38554305555394
4,7,148.38554305555394
4,8,148.38554305555394
4,9,148.38554305555394
4,10,148.38554305555394
4,11,148.38554305555394
4,12,148.38554305555394
4,13,148.38554305555394
4,14,148.38554305555394
4,15,148.38554305555394
4,16,148.38554305555394
4,17,148.38554305555394
4,18,148.38554305555394
4,19,148.38554305555394
4,20,148.38554305555394
4,21,148.38554305555394
4,22,148.38554305555394
4,23,148.38554305555394
5,0,161.38552553763242
5,1,161.38552553763242
5,2,161.38552553763242
5,3,161.38552553763242
5,4,161.38552553763242
5,5,161.38552553763242
5,6,161.38552553763242
5,7,161.38552553763242
5,8,161.38552553763242
5,9,161.38552553763242
5,10,161.38552553763242
5,11,161.38552553763242
5,12,161.38552553763242
5,13,161.38552553763242
5,14,161.38552553763242
5,15,161.38552553763242
5,16,161.38552553763242
5,17,161.38552553763242
5,18,161.38552553763242
5,19,161.38552553763242
5,20,161.38552553763242
5,21,161.38552553763242
5,22,161.38552553763242
5,23,161.38552553763242
6,0,161.38554305555363
6,1,161.38554305555363
6,2,161.38554305555363
6,3,161.38554305555363
6,4,161.38554305555363
6,5,161.38554305555363
6,6,161.38554305555363
6,7,161.38554305555363
6,8,161.38554305555363
6,9,161.38554305555363
6,10,161.38554305555363
6,11,161.38554305555363
6,12,161.38554305555363
6,13,161.38554305555363
6,14,161.38554305555363
6,15,161.38554305555363
6,16,161.38554305555363
6,17,161.38554305555363
6,18,161.38554305555363
6,19,161.38554305555363
6,20,161.38554305555363
6,21,161.38554305555363
6,22,161.38554305555363
6,23,161.38554305555363
7,0,161.38552553763242
7,1,161.38552553763242
7,2,161.38552553763242
7,3,161.38552553763242
7,4,161.38552553763242
7,5,161.38552553763242
7,6,161.38552553763242
7,7,161.38552553763242
7,8,161.38552553763242
7,9,161.38552553763242
7,10,161.38552553763242
7,11,161.38552553763242
7,12,161.38552553763242
7,13,161.38552553763242
7,14,161.38552553763242
7,15,161.38552553763242
7,16,161.38552553763242
