Month,Hour,Cost
1,0,71.44220867874817
1,1,71.44220867874817
1,2,71.44220867874817
1,3,71.44220867874817
1,4,71.44220867874817
1,5,71.44220867874817
1,6,71.44220867874817
1,7,71.44220867874817
1,8,71.44220867874817
1,9,2143.1154893364514
1,10,2143.1154893364514
1,11,2143.1154893364514
1,12,2143.1154893364514
1,13,2143.1154893364514
1,14,2143.1154893364514
1,15,2143.1154893364514
1,16,2143.1154893364514
1,17,2143.1154893364514
1,18,2143.1154893364514
1,19,2143.1154893364514
1,20,2143.1154893364514
1,21,62.96297575773595
1,22,62.96297575773595
1,23,62.96297575773595
2,0,71.44240616797909
2,1,71.44240616797909
2,2,71.44240616797909
2,3,71.44240616797909
2,4,71.44240616797909
2,5,71.44240616797909
2,6,71.44240616797909
2,7,71.44240616797909
2,8,71.44240616797909
2,9,2093.4202327359944
2,10,2093.4202327359944
2,11,2093.4202327359944
2,12,2093.4202327359944
2,13,2093.4202327359944
2,14,2093.4202327359944
2,15,2093.4202327359944
2,16,2093.4202327359944
2,17,2093.4202327359944
2,18,2093.4202327359944
2,19,2093.4202327359944
2,20,2093.4202327359944
2,21,63.16696549461492
2,22,63.16696549461492
2,23,63.16696549461492
3,0,71.44234349593488
3,1,71.44234349593488
3,2,71.44234349593488
3,3,71.44234349593488
3,4,71.44234349593488
3,5,71.44234349593488
3,6,71.44234349593488
3,7,71.44234349593488
3,8,71.44234349593488
3,9,1962.9700301599792
3,10,1962.9700301599792
3,11,1962.9700301599792
3,12,1962.9700301599792
3,13,1962.9700301599792
3,14,1962.9700301599792
3,15,1962.9700301599792
3,16,1962.9700301599792
3,17,1962.9700301599792
3,18,1962.9700301599792
3,19,1962.9700301599792
3,20,1962.9700301599792
3,21,63.69989188303171
3,22,63.69989188303171
3,23,63.69989188303171
4,0,71.44230394736847
4,1,71.44230394736847
4,2,71.44230394736847
4,3,71.44230394736847
4,4,71.44230394736847
4,5,71.44230394736847
4,6,71.44230394736847
4,7,71.44230394736847
4,8,71.44230394736847
4,9,2119.096114385965
4,10,2119.096114385965
4,11,2119.096114385965
4,12,2119.096114385965
4,13,2119.096114385965
4,14,2119.096114385965
4,15,2119.096114385965
4,16,2119.096114385965
4,17,2119.096114385965
4,18,2119.096114385965
4,19,2119.096114385965
4,20,2119.096114385965
4,21,63.06157505847955
4,22,63.06157505847955
4,23,63.06157505847955
5,0,71.44220867874817
5,1,71.44220867874817
5,2,71.44220867874817
5,3,71.44220867874817
5,4,71.44220867874817
5,5,71.44220867874817
5,6,71.44220867874817
5,7,71.44220867874817
5,8,71.44220867874817
5,9,2143.1154893364514
5,10,2143.1154893364514
5,11,2143.1154893364514
5,12,2143.1154893364514
5,13,2143.1154893364514
5,14,2143.1154893364514
5,15,2143.1154893364514
5,16,2143.1154893364514
5,17,2143.1154893364514
5,18,2143.1154893364514
5,19,2143.1154893364514
5,20,2143.1154893364514
5,21,62.96297575773595
5,22,62.96297575773595
5,23,62.96297575773595
6,0,71.44244017857137
6,1,71.44244017857137
6,2,71.44244017857137
6,3,71.44244017857137
6,4,71.44244017857137
6,5,71.44244017857137
6,6,71.44244017857137
6,7,71.44244017857137
6,8,71.44244017857137
6,9,2697.9458133928574
6,10,2697.9458133928574
6,11,2697.9458133928574
6,12,2697.9458133928574
6,13,2697.9458133928574
6,14,2697.9458133928574
6,15,2697.9458133928574
6,16,2697.9458133928574
6,17,2697.9458133928574
6,18,2697.9458133928574
6,19,2697.9458133928574
6,20,2697.9458133928574
6,21,63.82303700396823
6,22,63.82303700396823
6,23,63.82303700396823
7,0,71.44220867874817
7,1,71.44220867874817
7,2,71.44220867874817
7,3,71.44220867874817
7,4,71.44220867874817
7,5,71.44220867874817
7,6,71.44220867874817
7,7,71.44220867874817
7,8,71.44220867874817
7,9,2994.486457078386
7,10,2994.486457078386
7,11,2994.486457078386
7,12,2994.486457078386
7,13,2994.486457078386
7,14,2994.486457078386
7,15,2994.486457078386
7,16,2994.486457078386
7,17,2994.486457078386
7,18,2994.486457078386
7,19,2994.486457078386
7,20,2994.486457078386
7,21,62.96297575773595
7,22,62.96297575773595
7,23,62.96297575773595
8,0,71.44228227657001
8,1,71.44228227657001
8,2,71.44228227657001
8,3,71.44228227657001
8,4,71.44228227657001
8,5,71.44228227657001
8,6,71.44228227657001
8,7,71.44228227657001
8,8,71.44228227657001
8,9,2867.397598080294
8,10,2867.397598080294
8,11,2867.397598080294
8,12,2867.397598080294
8,13,2867.397598080294
8,14,2867.397598080294
8,15,2867.397598080294
8,16,2867.397598080294
8,17,2867.397598080294
8,18,2867.397598080294
8,19,2867.397598080294
8,20,2867.397598080294
8,21,63.33141676309022
8,22,63.33141676309022
8,23,63.33141676309022
9,0,71.44237858499524
9,1,71.44237858499524
9,2,71.44237858499524
9,3,71.44237858499524
9,4,71.44237858499524
9,5,71.44237858499524
9,6,71.44237858499524
9,7,71.44237858499524
9,8,71.44237858499524
9,9,2829.270963575499
9,10,2829.270963575499
9,11,2829.270963575499
9,12,2829.270963575499
9,13,2829.270963575499
9,14,2829.270963575499
9,15,2829.270963575499
9,16,2829.270963575499
9,17,2829.270963575499
9,18,2829.270963575499
9,19,2829.270963575499
9,20,2829.270963575499
9,21,63.44228772079772
9,22,63.44228772079772
9,23,63.44228772079772
10,0,71.44220867874817
10,1,71.44220867874817
10,2,71.44220867874817
10,3,71.44220867874817
10,4,71.44220867874817
10,5,71.44220867874817
10,6,71.44220867874817
10,7,71.44220867874817
10,8,71.44220867874817
10,9,2143.1154893364514
10,10,2143.1154893364514
10,11,2143.1154893364514
10,12,2143.1154893364514
10,13,2143.1154893364514
10,14,2143.1154893364514
10,15,2143.1154893364514
10,16,2143.1154893364514
