Month,Hour,Cost
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
6,0,3.311290322580632
6,1,3.311290322580632
6,2,3.311290322580632
6,3,3.311290322580632
6,4,3.311290322580632
6,5,3.311290322580632
6,6,3.311290322580632
6,7,3.311290322580632
6,8,3.311290322580632
6,9,3.311290322580632
6,10,3.311290322580632
6,11,3.311290322580632
6,12,3.311290322580632
6,13,3.311290322580632
6,14,26.926763440859602
6,15,26.926763440859602
6,16,26.926763440859602
6,17,26.926763440859602
6,18,26.926763440859602
6,19,3.311290322580632
6,20,3.311290322580632
6,21,3.311290322580632
6,22,3.311290322580632
6,23,3.311290322580632
7,0,3.753497615262324
7,1,3.753497615262324
7,2,3.753497615262324
7,3,3.753497615262324
7,4,3.753497615262324
7,5,3.753497615262324
7,6,3.753497615262324
7,7,3.753497615262324
7,8,3.753497615262324
7,9,3.753497615262324
7,10,3.753497615262324
7,11,3.753497615262324
7,12,3.753497615262324
7,13,3.753497615262324
7,14,26.32140261038966
7,15,26.32140261038966
7,16,26.32140261038966
7,17,26.32140261038966
7,18,26.32140261038966
7,19,3.753497615262324
7,20,3.753497615262324
7,21,3.753497615262324
7,22,3.753497615262324
7,23,3.753497615262324
8,0,3.5619873817034677
8,1,3.5619873817034677
8,2,3.5619873817034677
8,3,3.5619873817034677
8,4,3.5619873817034677
8,5,3.5619873817034677
8,6,3.5619873817034677
8,7,3.5619873817034677
8,8,3.5619873817034677
8,9,3.5619873817034677
8,10,3.5619873817034677
8,11,3.5619873817034677
8,12,3.5619873817034677
8,13,3.5619873817034677
8,14,26.588415691461663
8,15,26.588415691461663
8,16,26.588415691461663
8,17,26.588415691461663
8,18,26.588415691461663
